Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10
,,,,,,,,23,16114.578032027961,89638.79140323808,4048.700444253698,3104.4805526609634,83195.35827766087,1577.8769489570768,64166.99592425446,24599.342602295736,16648.14047563419,19874.76098074591
,,,,,,,,24,17406.962569712283,106797.35524416227,4601.146839452672,3528.087859226962,96418.74745716547,1803.1264500663665,73327.14230269889,26944.305462219265,17208.57165024905,21759.17246234142
,,,,,,,,25,16651.439653589117,107493.03575566597,4686.8614489115225,3593.812489094702,97286.34694466603,1702.4876157747376,69234.49637483932,25413.55759309119,17055.13019,21534.051981515684
,,,,,,,,26,16143.302353664865,103576.37735075393,4647.856791046688,3563.904324,94551.50374814944,1656.2991746384857,67356.16643529842,25087.829961532396,16951.040270347657,21415.76797947836
,,,,,,,,27,15761.489430379665,100722.58533516942,4617.2405594855445,3540.4282735277857,93330.47530263374,1589.340773613743,64633.191460292204,25005.617623855032,16928.81602333737,21390.513153330307
,,,,,,,,28,14938.267799867259,94072.81545661691,4430.563286775199,3397.287043216319,86036.76335442247,1421.6289183919016,57812.909347937326,24224.598655375907,16773.519540093705,20832.101296853594
,,,,,,,,29,14216.992894138602,88757.70289755793,4367.571241798547,3348.9857225098403,78105.14301633649,1253.1994141823277,50963.442843414654,23882.80751473971,16997.910492691084,20705.15244
,,,,,,,,30,14185.040080328965,84091.64977679621,4570.100490505871,3504.2820015539723,79007.75210514391,1173.6794189984062,47729.62970593518,24371.202867008225,17690.09139378098,21109.783061371316
,,,,,,,,31,14066.15276428088,78076.45262529646,4732.180997,3628.5628139809323,78416.87695339805,1118.2777740129418,45476.62948,24865.06299753457,18134.454476606727,21041.83323994176
,,,,,,,,32,14480.316884917425,83539.21442521112,4919.101415,3771.8904843437185,82136.37731904017,1229.286759177959,49990.994873236996,26120.004696164382,18518.038093024523,21477.723713143798
,,,,,,,,33,14855.759046282245,89896.16392246648,4968.014485,3809.3962656975245,83873.45593976005,1326.4685628049688,53943.05488740206,26732.829788966013,18758.59562489172,21751.084544811067
