Time_Index,None,east_north_central_reference_naturalgas,south_atlantic_reference_naturalgas,east_north_central_reference_uranium,south_atlantic_reference_uranium,middle_atlantic_reference_naturalgas,middle_atlantic_reference_uranium,east_south_central_reference_naturalgas,east_south_central_reference_uranium,east_north_central_reference_coal,south_atlantic_reference_coal,middle_atlantic_reference_coal,east_south_central_reference_coal
74,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
75,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
76,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
77,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
78,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
79,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
80,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
81,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
82,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
83,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
84,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
85,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
86,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
87,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
88,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
89,0,3.48,4.2,0.7,0.7,3.34,0.7,3.69,0.7,1.82,2.42,1.95,1.96
