,Generation,Biohydrogen Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Biohydrogen Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Biohydrogen Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
t15,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t16,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t17,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t18,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t19,176.49916204642287,225.18389206220613,0.0,-0.0,409.316945891371,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,56.48001519682124,-0.0,0.0,0.0,0,23.283528689165294,-406.0
t20,96.17578770486111,225.18389206220613,0.0,-0.0,489.64032023293464,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t21,272.674949751284,225.18389206220613,0.0,-0.0,313.14115818650987,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t22,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650764498,-0.0,0.0,0.0,0,0.0,-406.0
t23,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t24,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t25,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,404.4291888633636,0.0,0,0,1.5708111366363937,-0.0,0.0,0.0,0,0.0,-406.0
t26,883.8674220710902,225.18389206220613,0.0,-0.0,0.0,-298.05131413329616,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t27,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t28,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,466.68644023877937,0.0,0,0,0.0,-60.686440238779355,0.0,0.0,0,0.0,-406.0
t29,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t30,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t31,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t32,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t33,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t34,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t35,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t36,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t37,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t38,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t39,608.7111336799444,225.18389206220613,0.0,-0.0,0.0,-22.895025742150462,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t40,578.0944325035432,225.18389206220613,0.0,-0.0,7.72167543425644,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t41,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t42,176.49916204642287,225.18389206220613,0.0,-0.0,409.316945891371,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,56.48001519682124,-0.0,0.0,0.0,0,23.283528689165294,-406.0
t43,0.0,225.18389206220613,0.0,-0.0,585.8161079377938,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,37.04660651461245,-0.0,0.0,0.0,0,3.8501200069564887,-406.0
t44,0.0,225.18389206220613,0.0,-0.0,585.8161079377938,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,60.33013520377767,-0.0,0.0,0.0,0,27.13364869612178,-406.0
t45,176.49916204642287,225.18389206220613,0.0,-0.0,409.316945891371,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t46,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t47,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.4586703493208,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t48,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494987,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t49,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,43.17514166015536,-0.0,0.0,0.0,0,9.978655152499414,-406.0
t50,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,56.48001519682124,-0.0,0.0,0.0,0,23.283528689165294,-406.0
t51,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765629,-0.0,0.0,0.0,0,0.0,-406.0
t52,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t53,435.57961075224006,225.18389206220613,0.0,-0.0,150.23649718555376,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t54,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t55,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t56,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t57,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t58,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t59,893.3011255346503,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t60,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,33.19648650765595,-0.0,0.0,0.0,0,0.0,-406.0
t61,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,56.48001519682124,-0.0,0.0,0.0,0,23.283528689165294,-406.0
t62,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t63,787.9850148111605,225.18389206220613,0.0,-0.0,0.0,-202.16890687336553,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t64,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t65,585.8161079377938,225.18389206220613,0.0,-0.0,0.0,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t66,585.8161079377938,225.18389206220613,0.0,-0.0,0.0,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t67,370.24610244547694,225.18389206220613,0.0,-0.0,215.57000549231694,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t68,358.9256135341895,225.18389206220613,0.0,-0.0,226.89049440360395,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t69,585.8161079377938,225.18389206220613,0.0,-0.0,0.0,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034931926,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t70,585.8161079377938,225.18389206220613,0.0,-0.0,0.0,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t71,585.8161079377938,225.18389206220613,0.0,-0.0,0.0,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,66.45867034932066,-0.0,0.0,0.0,0,33.26218384166471,-406.0
t72,737.8733039503663,225.18389206220613,0.0,-0.0,0.0,-152.05719601257255,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,372.80351349234405,0.0,0,0,56.48001519682124,-0.0,0.0,0.0,0,23.283528689165294,-406.0
t73,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968562,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,423.57536827469676,0.0,0,0,0.0,-17.575368274696782,0.0,0.0,0,0.0,-406.0
t74,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,467.1022009552415,0.0,0,0,0.0,-61.10220095524153,0.0,0.0,0,0.0,-406.0
t75,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t76,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t77,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,-1.1368683772161603e-13,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t78,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t79,893.30112553465,225.18389206220613,0.0,-0.0,1.77351466845721e-11,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t80,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t81,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t82,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t83,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t84,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,-1.7053025658242404e-13,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t85,893.30112553465,225.18389206220613,0.0,-0.0,0.0,-307.4850175968563,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t86,514.8013165364398,225.18389206220613,0.0,-0.0,71.01479140135493,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,0.0,-74.04145710912877,0.0,0.0,0,0.0,-406.0
t87,352.99832409284573,225.18389206220613,0.0,-0.0,232.81778384494814,-0.0,0.0,0.0,0,0.0,-811.0,773.0,0.0,0,0,0.0,-0.0,0.0,0.0,0,0.0,-773.0,480.04145710912877,0.0,0,0,1.7053025658242404e-12,-74.04145710912877,0.0,0.0,0,0.0,-406.0
