,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
t48,0.0,0,0,0.0,-4.860721267617902,0.0,8.810721267617902,0,0.0,-3.95,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,43.670833333333334,0,0.0,-23.23,172.20242275285062,0,0,0.0,-44.72011653654247,0.0,-118.73230621630813,0,0.0,-8.75
t49,0.0,0,0,0.0,-4.860721267617902,0.0,6.550721267617902,0,0.0,-1.69,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,30.360833333333346,0,0.0,-9.92,190.70460500944043,0,0,0.0,-68.23229879313233,0.0,-118.73230621630813,0,0.0,-3.74
t50,0.0,0,0,0.0,-4.860721267617902,0.0,6.100721267617903,0,0.0,-1.24,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,27.72083333333333,0,0.0,-7.28,174.26218717232157,0,0,0.0,-52.789880956013434,0.0,-118.73230621630813,0,0.0,-2.74
t51,0.0,0,0,0.0,-4.860721267617902,0.0,6.600721267617903,0,0.0,-1.74,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,30.69083333333333,0,0.0,-10.25,184.97514370712884,0,0,0.0,-62.38283749082075,0.0,-118.73230621630813,0,0.0,-3.86
t52,0.0,0,0,0.0,-4.860721267617902,0.0,8.910721267617902,0,0.0,-4.05,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,44.26083333333334,0,0.0,-23.82,173.90603536041087,0,0,0.0,-46.203729144102695,0.0,-118.73230621630813,0,0.0,-8.97
t53,0.0,0,0,0.0,-4.860721267617902,0.0,13.570721267617902,0,0.0,-8.71,0.0,0.0,-0.0,0.0,-20.440833333333337,0.0,71.71083333333334,0,0.0,-51.27,99.90226746110703,0,0,0.0,-0.0,0.0,-80.59226746110701,0,0.0,-19.31
t54,0.0,0,0,0.0,-4.860721267617902,0.0,18.8607212676179,0,0.0,-14.0,0.0,0.0,-0.0,0.0,-16.843148148147975,0.0,99.21314814814798,0,0.0,-82.37,143.50302449390176,0,0,0.0,-0.0,0.0,-112.48302449390174,0,0.0,-31.02
t55,0.0,0,0,0.0,-2.0514728829747817,0.0,19.371472882974782,0,0.0,-17.32,2.5191666666666492,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-101.88,103.73498762033887,0,0,0.0,-0.0,0.0,-65.36498762033887,0,0.0,-38.37
t56,0.0,0,0,0.47852711702521944,-0.0,0.0,19.371472882974782,0,0.0,-19.85,17.40916666666665,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-116.77,145.2723042454404,0,0,0.0,-0.0,0.0,-101.30230424544041,0,0.0,-43.97
t57,0.0,0,0,1.5385271170252182,-0.0,0.0,19.371472882974782,0,0.0,-20.91,19.710185185185168,0.0,-0.0,3.9889814814814883,-0.0,0.0,99.36083333333335,0,0.0,-123.06,166.16182587095545,0,0,0.0,-1.0895196546473473,0.0,-118.73230621630813,0,0.0,-46.34
t58,0.0,0,0,0.6385271170252054,-0.0,0.0,19.371472882974782,0,0.0,-20.01,18.39916666666666,0.0,-0.0,0.0,-0.0,0.0,99.36083333333335,0,0.0,-117.76,167.42511139303951,0,0,0.0,-4.342805176731408,0.0,-118.73230621630813,0,0.0,-44.35
