Zone,1,2,3,Total
t54,0.0,0.0,0.0,0.0
t55,0.0,0.02267753831494326,0.0,0.02267753831494326
t56,0.0,0.15671731820624626,0.0,0.15671731820624626
t57,0.0,0.1774310868931525,0.0,0.1774310868931525
t58,0.0,0.16562929819901936,0.0,0.16562929819901936
t59,0.0,0.1596879782038373,0.0,0.1596879782038373
t60,0.0,0.19839657817244735,0.0,0.19839657817244735
t61,0.0,0.22891335814770022,0.0,0.22891335814770022
t62,0.0,0.22891335814770022,0.0,0.22891335814770022
t63,0.0,0.22891335814770022,0.0,0.22891335814770022
t64,0.0,0.22891335814770022,0.0,0.22891335814770022
t65,0.0,0.22891335814770022,0.0,0.22891335814770022
t66,0.0,0.22891335814770022,0.0,0.22891335814770022
t67,0.0,0.1478053382134733,0.0,0.1478053382134733
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0
t79,0.0,0.06318653828209327,0.0,0.06318653828209327
t80,0.0,0.20307761816865133,0.0,0.20307761816865133
t81,0.0,0.22891335814770022,0.0,0.22891335814770022
t82,0.0,0.21243969816105926,0.0,0.21243969816105926
t83,0.0,0.20622831816609627,0.0,0.20622831816609627
t84,0.0,0.22891335814770022,0.0,0.22891335814770022
t85,0.0,0.22891335814770022,0.0,0.22891335814770022
t86,0.0,0.22891335814770022,0.0,0.22891335814770022
t87,0.0,0.22891335814770022,0.0,0.22891335814770022
t88,0.0,0.22891335814770022,0.0,0.22891335814770022
t89,0.0,0.22891335814770022,0.0,0.22891335814770022
t90,0.0,0.22891335814770022,0.0,0.22891335814770022
t91,0.0,0.19380555817617032,0.0,0.19380555817617032
t92,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0
t102,0.0,0.14202394491930406,0.0,0.14202394491930406
t103,0.0,0.22891335814770022,0.0,0.22891335814770022
t104,0.0,0.22891335814770022,0.0,0.22891335814770022
t105,0.0,0.22891335814770022,0.0,0.22891335814770022
t106,0.0,0.22891335814770022,0.0,0.22891335814770022
t107,0.0,0.22891335814770022,0.0,0.22891335814770022
t108,0.0,0.22891335814770022,0.0,0.22891335814770022
t109,0.0,0.22891335814770022,0.0,0.22891335814770022
t110,0.0,0.22891335814770022,0.0,0.22891335814770022
t111,0.0,0.22891335814770022,0.0,0.22891335814770022
t112,0.0,0.22891335814770022,0.0,0.22891335814770022
t113,0.0,0.22891335814770022,0.0,0.22891335814770022
t114,0.0,0.22891335814770022,0.0,0.22891335814770022
t115,0.0,0.22891335814770022,0.0,0.22891335814770022
t116,0.0,0.22891335814770022,0.0,0.22891335814770022
t117,0.0,0.22891335814770022,0.0,0.22891335814770022
t118,0.0,0.22891335814770022,0.0,0.22891335814770022
t119,0.0,0.22891335814770022,0.0,0.22891335814770022
t120,0.0,0.22891335814770022,0.0,0.22891335814770022
t121,0.0,0.22891335814770022,0.0,0.22891335814770022
t122,0.0,0.22891335814770022,0.0,0.22891335814770022
t123,0.0,0.22891335814770022,0.0,0.22891335814770022
t124,0.0,0.22891335814770022,0.0,0.22891335814770022
t125,0.0,0.22891335814770022,0.0,0.22891335814770022
t126,0.0,0.22891335814770022,0.0,0.22891335814770022
