Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
,,,263,1569.36,881.63,315.01
,,,264,1569.36,881.63,315.01
,,,265,1569.36,881.63,315.01
,,,266,1569.36,881.63,315.01
,,,267,1569.36,881.63,315.01
,,,268,1569.36,881.63,315.01
,,,269,1569.36,881.63,315.01
,,,270,1569.36,881.63,315.01
,,,271,1569.36,881.63,315.01
,,,272,1569.36,881.63,315.01
,,,273,1569.36,881.63,315.01
,,,274,1569.36,881.63,315.01
,,,275,1569.36,881.63,315.01
,,,276,1569.36,881.63,315.01
,,,277,1569.36,881.63,315.01
,,,278,1569.36,881.63,315.01
,,,279,1569.36,881.63,315.01
,,,280,1569.36,881.63,315.01
,,,281,1569.36,881.63,315.01
,,,282,1569.36,881.63,315.01
,,,283,1569.36,881.63,315.01
,,,284,1569.36,881.63,315.01
,,,285,1569.36,881.63,315.01
,,,286,1569.36,881.63,315.01
,,,287,1569.36,881.63,315.01
,,,288,1569.36,881.63,315.01
,,,289,1569.36,881.63,315.01
,,,290,1569.36,881.63,315.01
,,,291,1569.36,881.63,315.01
,,,292,1569.36,881.63,315.01
,,,293,1569.36,881.63,315.01
,,,294,1569.36,881.63,315.01
,,,295,1569.36,881.63,315.01
,,,296,1569.36,881.63,315.01
,,,297,1569.36,881.63,315.01
,,,298,1569.36,881.63,315.01
,,,299,1569.36,881.63,315.01
,,,300,1569.36,881.63,315.01
,,,301,1569.36,881.63,315.01
,,,302,1569.36,881.63,315.01
,,,303,1569.36,881.63,315.01
,,,304,1569.36,881.63,315.01
,,,305,1569.36,881.63,315.01
,,,306,1569.36,881.63,315.01
,,,307,1569.36,881.63,315.01
,,,308,1569.36,881.63,315.01
,,,309,1569.36,881.63,315.01
,,,310,1569.36,881.63,315.01
,,,311,1569.36,881.63,315.01
,,,312,1569.36,881.63,315.01
,,,313,1569.36,881.63,315.01
,,,314,1569.36,881.63,315.01
,,,315,1569.36,881.63,315.01
,,,316,1569.36,881.63,315.01
