Biomass_cost_z1,Biomass_cost_z2,Biomass_cost_z3
570994.1503,,
571258.0204,,
571375.5883,,
576412.1599,,
577714.1235,,
577748.6432,,
580489.1555,,
581768.6204,,
581775.4093,,
582244.1007,,
582807.1446,,
583524.2209,,
584406.5726,,
587905.0852,,
588071.8499,,
588657.1779,,
589485.0063,,
592638.7189,,
593436.9043,,
598255.7738,,
599862.2762,,
601109.8075,,
601597.5927,,
601920.4879,,
604452.7449,,
605371.7974,,
605841.2986,,
606618.951,,
609038.5421,,
609103.3766,,
610502.9483,,
611395.9516,,
611672.1918,,
611677.4885,,
612453.2189,,
615783.2477,,
616106.7763,,
616486.1333,,
617077.1604,,
617625.2072,,
618177.0553,,
618182.4371,,
624561.9219,,
624607.8031,,
624649.8382,,
625518.2684,,
626083.1577,,
626893.5358,,
628270.5416,,
629846.9015,,
629898.1664,,
629905.8528,,
630378.1485,,
630780.2144,,
632970.0037,,
633470.3677,,
633785.0205,,
634990.6035,,
635052.3343,,
635059.358,,
635595.562,,
636335.4373,,
636337.8213,,
637755.2224,,
640923.4837,,
640941.7605,,
640957.5964,,
640988.4094,,
642743.5116,,
642745.5999,,
644207.4315,,
645280.9534,,
645692.0384,,
645715.3662,,
647020.0833,,
648916.211,,
651079.5388,,
651425.5024,,
651429.2155,,
652544.7193,,
652588.4857,,
654204.1873,,
655125.6358,,
656266.2051,,
657663.1948,,
657676.1176,,
658421.9239,,
659414.4282,,
660272.8489,,
661870.5149,,
661956.3178,,
662008.3314,,
663314.3029,,
664293.1279,,
665416.7523,,
665468.6371,,
665857.7733,,
666148.2662,,
666203.1613,,
670769.1059,,
670773.8245,,
670793.7498,,
670793.7848,,
671018.8107,,
675291.7041,,
676833.7754,,
678644.5428,,
679416.5378,,
680515.8132,,
680518.2569,,
680520.2607,,
681608.3102,,
682552.2291,,
682555.6903,,
683440.8548,,
690938.9147,,
699637.2191,,
699641.705,,
700375.2033,,
701480.9898,,
701491.8293,,
701493.9805,,
702015.8539,,
703044.0708,,
705727.4324,,
707566.9431,,
707572.9715,,
709510.9501,,
709727.3311,,
712367.2202,,
713394.4194,,
714357.7172,,
726459.9119,,
726466.509,,
726561.5808,,
727332.7849,,
737172.9979,,
737981.5054,,
739906.895,,
739938.0689,,
742070.5848,,
742695.157,,
743051.4947,,
743060.2139,,
743644.9943,,
744498.4267,,
744500.9239,,
744997.0018,,
752398.5507,,
752449.1257,,
755914.3562,,
756055.3106,,
757284.9219,,
757968.3008,,
759648.56,,
761348.8881,,
761481.8862,,
761484.1805,,
761684.5666,,
761726.2466,,
762294.7084,,
762305.0673,,
764028.8603,,
764080.8268,,
765476.055,,
769380.1404,,
769381.8593,,
772619.9936,,
772622.8036,,
775321.9687,,
776136.9418,,
778123.9413,,
778544.2253,,
778866.8472,,
779946.9087,,
779971.0458,,
783628.2871,,
787282.9403,,
787460.6537,,
790132.3243,,
790562.2026,,
