Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
t28,0.001267331164854113,-24.705329425556556,-1582.1424609156463,3.797270437644329e-6,-203.4855205095855,-1556.709777114303,-2787.9740888025367,0.0,-145.951044719371,0.0,-0.00014919858290340926,-599.9761952913543,255.45938681325117,0.0,-699.9978234793954,0.0,5.290682218759656,5.290682218759656,-67.33989729160152,-116.85479629464169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9973959316917,-8459.09245659506
t29,0.001281385367292387,-26.851159266580908,-1577.364134660066,4.76886907563312e-6,-204.83190737162204,-1554.0295581645137,-2793.8583121504175,0.0,-139.22237475799807,0.0,-0.0001410875470355677,-599.9762095437779,255.3052664295692,0.0,-699.9978264031669,0.0,5.052664644557382,5.052664644557382,-66.8773419578167,-115.60887387774943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9973979660037,-8453.203355334339
t30,0.0012907618020108202,-35.167924021126964,-1641.5566736875094,-3.902441676473245e-5,-178.69739333707093,-1635.963598154749,-2808.117687437164,0.0,-141.3504873433949,0.0,-7.453490866282664e-5,-599.9762088900359,257.8975265699613,0.0,-699.9978325158918,0.0,5.069633358506309,5.069633358506309,-65.77354763603759,-112.69512364476395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974008484354,-8591.255907026729
t31,0.0012738060040646815,-39.61097305594376,-1772.3597633164436,-0.0001934353413162171,-167.81022395948912,-1798.340475604722,-2774.463568692416,0.0,-124.24138703348558,0.0,-9.73029723354557e-5,-599.9763104910205,263.58050095412204,0.0,-699.9978431028145,0.0,5.657930982806107,5.657930982806107,-64.58383423810884,-109.6435229360448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974125195798,-8816.127968962644
t32,0.0012688361575783347,-38.948245558805866,-1781.6214999911542,-0.00019660021462186705,-156.87958359687218,-1810.975257068737,-2776.8451201703892,0.0,-119.30691496189877,0.0,-0.00012027530033265066,-599.9762902960815,264.0236231733264,0.0,-699.9978450894197,0.0,6.477762165818376,6.477762165818376,-64.15354557485563,-108.54617691790003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974134158264,-8820.267793176334
t33,0.0012566134828375652,-40.078895039639065,-1776.5068075527943,-0.0002107283398800064,-150.98428563172365,-1804.958541303519,-2776.599229477496,0.0,-116.55697005080901,0.0,-0.0001409899152804428,-599.9762802973477,263.78078039531454,0.0,-699.9978475594615,0.0,7.022445144223184,7.022445144223184,-64.08564615282975,-108.37830010548578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974162872412,-8800.293643879359
t34,0.001250790613994468,-42.135686373944736,-1695.7605224367758,-0.00010944145196845056,-146.29544345602062,-1707.4531845290564,-2806.707307434694,0.0,-117.04553269870769,0.0,-0.0001129785471221112,-599.9761782571906,260.21005140366685,0.0,-699.9978426030847,0.0,7.4419534053441225,7.4419534053441225,-63.92518268119977,-107.99475331109875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974078399548,-8652.194055036758
t35,0.0012526876244010055,-42.33113473969934,-1691.3021899313712,-0.00011229306164750597,-146.95786347719786,-1701.705815411582,-2803.2768553481556,0.0,-116.94963517411463,0.0,-0.0001294639230309258,-599.9761496359893,260.0517967286314,0.0,-699.9978476142933,0.0,7.517592803522689,7.517592803522689,-64.04353116786359,-108.30735460312894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974126579119,-8639.757796494992
t36,0.001245176146767335,-40.05230685747756,-1690.873961995942,-0.00010067546281788964,-149.18133409891834,-1700.4671600085476,-2799.029528412143,0.0,-118.13127195477773,0.0,-0.00012329734249760804,-599.9761638180427,260.03481587179704,0.0,-699.9978446809679,0.0,7.55579627229497,7.55579627229497,-64.27303956602452,-108.88996867393757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974094730024,-8635.722559920054
t37,0.001244029369445343,-39.304532156254936,-1689.3985957067953,-0.00010031213332695188,-149.93604610759394,-1698.8162912930043,-2795.722907389045,0.0,-118.56459883384912,0.0,-0.00012137917110521812,-599.9761653439909,259.96234522269833,0.0,-699.9978445236637,0.0,7.5530243145751115,7.5530243145751115,-64.2270583517448,-108.7696055724669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-939.9974106846507,-8629.641639773146
