,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Biomass Emissions,Biomass Capture,Synfuel Production Emissions,Conventional Fuels,Synfuels,Biofuels,Total
t12,0.27770980061153255,0.040938448510505744,1.282516824704427,3403.826590910141,0.0,-26784.364735301348,0.006632329206930148,0.0,0.03127991835575916,0,-23378.899067069815
t13,0.2817828908973672,0.04093956211448584,1.2825343648502936,3403.826588570145,0.0,-26784.364715720054,0.006645038543280911,0.0,0.03134647895830511,0,-23378.894878814546
t14,0.2914857466725174,0.04094114784299884,1.2822936018762026,3403.8265880056238,0.0,-26784.364718696048,0.006595864282988126,0.0,0.031288960605273586,0,-23378.88552536914
t15,0.31017149180142994,0.040942643875113954,1.281885709915207,3403.826592557802,0.0,-26784.36475027204,0.006591172069928543,0.0,0.03126455444220419,0,-23378.867302142135
t16,0.3495715290477946,0.04094297505748717,1.2875035870978149,3403.8265907789296,0.0,-26784.36470704379,0.006646694520807956,0.0,0.03132616424525585,0,-23378.822125314895
t17,15176.051444600396,0.040884323643724164,1.1593261170062714,3403.8184968182945,0.0,-26784.300534471076,0.014450804050910263,0.0,0.050782232998742766,0,-8203.165149574686
t18,28406.209571622378,0.04090740401168609,1.1787610822998051,3403.8259458937605,0.0,-26784.358205867447,0.008316654780190584,0.0,0.03551781359736435,0,5026.94081460338
t19,27994.839980670033,0.04090845917734006,1.1768287771438801,3403.8259481661803,0.0,-26784.35822557318,0.008381765577197288,0.0,0.03573199409194152,0,4615.569554259023
t20,27994.87382234951,0.04090983820121682,1.1766606449287749,3403.8259538107086,0.0,-26784.358271689376,0.008379442325798748,0.0,0.03576947965268802,0,4615.603223875948
t21,27994.893658804383,0.04091070665992777,1.176658672385947,3403.8259530742703,0.0,-26784.35826597662,0.00839601529630862,0.0,0.03583334654775072,0,4615.623144642919
t22,27994.903506613435,0.04090606487541811,1.176703495678683,3403.825950757925,0.0,-26784.358231601673,0.008409659457328572,0.0,0.03586386519590044,0,4615.633108854893
t23,27994.903967854036,0.04090710056661173,1.1766529802199088,3403.825955448679,0.0,-26784.358270813904,0.008392750750533822,0.0,0.03582873061366681,0,4615.633434050961
t24,25920.014794820236,0.04090959579804065,1.1764301549141065,3403.8259753559128,0.0,-26784.35831108078,0.008372335136950104,0.0,0.03587003318663816,0,2540.744041214406
t25,25920.007702523097,0.040910724759789664,1.176427602572723,3403.825972647522,0.0,-26784.35829763536,0.008370502916854199,0.0,0.03583566620707754,0,2540.7369220317155
t26,25919.99569685518,0.04091151712777878,1.1764500387886263,3403.825968322107,0.0,-26784.358268367767,0.008384745625021218,0.0,0.035842988799971054,0,2540.7249860998622
t27,25919.97693191309,0.04090686218062482,1.1765020375820887,3403.825965971499,0.0,-26784.35824739024,0.008383203873323366,0.0,0.035796528789803564,0,2540.706239126778
t28,25919.94786608762,0.0409080887526448,1.1765419844567822,3403.825963192613,0.0,-26784.35823146261,0.008387760915223988,0.0,0.035787415549803414,0,2540.6772230672927
t29,25919.89670063907,0.040909836768177506,1.1765737778014946,3403.8259625821265,0.0,-26784.35824483837,0.008388350372695022,0.0,0.035771787874575675,0,2540.6260621356405
t30,25605.49451901633,0.04091123401949398,1.176568959829542,3403.82595882128,0.0,-26784.358321643525,0.008356967640919177,0.0,0.035714551300484,0,2226.223707906874
t31,2964.5668977613595,0.040922544662652396,1.3086416244987584,3403.8260389619145,0.0,-26784.36015165335,0.007942322109581531,0.0,0.035538128749497244,0,-20414.574170310054
t32,2964.493083139052,0.040921358446538054,1.2990109513447679,3403.8258652960053,0.0,-26784.36011309793,0.007961671376532305,0.0,0.03588160194255648,0,-20414.65738907976
t33,2964.463447287691,0.0409234491137414,1.2967216195652673,3403.825784669493,0.0,-26784.359758383518,0.007931970572375487,0.0,0.03592944491597194,0,-20414.689019942165
t34,2964.437647183253,0.040925617747912,1.2963213565792513,3403.825817913529,0.0,-26784.359980314,0.0077540098770380594,0.0,0.035376470581425457,0,-20414.716137762432
t35,969.9677453082916,0.04092832543874587,1.2960874527595057,3403.825852848067,0.0,-26784.360082102463,0.007765172261904863,0.0,0.035009819069006895,0,-22409.186693176576
t36,0.30143198453036424,0.040942827923000524,1.2834444251521722,3403.8265581674455,0.0,-26784.364535882218,0.006759686500455747,0.0,0.03171963983651585,0,-23378.87367915083
t37,0.2984712154928956,0.04093856534547144,1.2818883517111395,3403.826556713178,0.0,-26784.364508275263,0.006742986351870629,0.0,0.03164992701398338,0,-23378.87826051617
t38,0.30280944467394566,0.04093929729021327,1.2820059127579853,3403.826554842937,0.0,-26784.36449173731,0.006727525521668811,0.0,0.031610308059989226,0,-23378.87384440607
t39,0.3140647898514049,0.04094057977233633,1.2818382555398158,3403.82650993692,0.0,-26784.36429049469,0.00677357194642082,0.0,0.031813784456849264,0,-23378.862349576204
t40,0.34247216175465245,0.04094093336818395,1.2852121722485113,3403.8264972337843,0.0,-26784.364187098974,0.006832125413120885,0.0,0.03200295933363849,0,-23378.83022951307
t41,4418.5056199489845,0.04091800181877507,1.3155471741738272,3403.825995022574,0.0,-26784.359763843688,0.008197092206046187,0.0,0.03572178522423702,0,-18960.627764818702
t42,7184.673164568535,0.040851493113789446,1.1621991421384081,3403.3788301006584,0.0,-26780.997885608183,0.021638957307614014,0.0,0.06248748007120029,0,-16191.65871386636
t43,7106.823171558015,0.04090744642357024,1.1806869759455914,3403.8259096289335,0.0,-26784.358037753027,0.00871635080715032,1.5192808239138187e6,0.03704063510716295,0,1.5030083823086608e6
t44,7106.853539778296,0.04090876573775763,1.176866474399739,3403.8259100642113,0.0,-26784.358045172914,0.008709682233638067,0.0,0.03703968204780787,0,-16272.415070725989
t45,7106.871839062641,0.04090984531116232,1.1765151992726939,3403.8259118879137,0.0,-26784.358066498255,0.008695773257335494,0.0,0.03699307037826362,0,-16272.397201659482
t46,7106.87984279304,0.04091071242679306,1.1764914314014523,3403.825910955264,0.0,-26784.358056128065,0.00870946011200346,0.0,0.03703510177309664,0,-16272.389155674047
t47,7106.877540482791,0.04090603718589999,1.1765339180757903,3403.825908954834,0.0,-26784.35803261222,0.00871304305882406,0.0,0.037019898444611704,0,-16272.391410277833
