 111   1.86847586e+11  1.86842144e+11  1.09e+00 3.17e-05  1.06e+00   778s
 112   1.86847117e+11  1.86842155e+11  9.90e-01 3.27e-05  9.62e-01   789s
 113   1.86846696e+11  1.86842198e+11  9.01e-01 2.43e-05  8.73e-01   806s
 114   1.86846326e+11  1.86842229e+11  8.23e-01 2.22e-05  7.95e-01   820s
 115   1.86845983e+11  1.86842250e+11  7.51e-01 2.10e-05  7.25e-01   837s
 116   1.86845687e+11  1.86842262e+11  6.88e-01 1.85e-05  6.65e-01   853s
 117   1.86845429e+11  1.86842281e+11  6.34e-01 1.64e-05  6.11e-01   869s
 118   1.86844971e+11  1.86842307e+11  5.37e-01 1.35e-05  5.17e-01   885s
 119   1.86844854e+11  1.86842312e+11  5.13e-01 1.42e-05  4.93e-01   901s
 120   1.86844635e+11  1.86842335e+11  4.66e-01 1.10e-05  4.47e-01   916s
 121   1.86844402e+11  1.86842342e+11  4.17e-01 9.53e-06  4.00e-01   930s
 122   1.86844148e+11  1.86842358e+11  3.63e-01 7.59e-06  3.48e-01   938s
 123   1.86844028e+11  1.86842363e+11  3.37e-01 9.88e-04  3.23e-01   945s
 124   1.86843761e+11  1.86842372e+11  2.81e-01 8.60e-04  2.70e-01   956s
 125   1.86843641e+11  1.86842374e+11  2.73e-01 8.42e-04  2.46e-01   961s
 126   1.86843523e+11  1.86842382e+11  2.47e-01 7.00e-04  2.22e-01   970s
 127   1.86843448e+11  1.86842387e+11  2.30e-01 6.16e-04  2.06e-01   978s
 128   1.86843413e+11  1.86842390e+11  2.22e-01 5.77e-04  1.99e-01   985s
 129   1.86843232e+11  1.86842396e+11  1.80e-01 6.31e-04  1.62e-01   992s
 130   1.86843122e+11  1.86842403e+11  1.56e-01 4.65e-04  1.40e-01  1003s
 131   1.86842992e+11  1.86842405e+11  2.11e-01 1.28e-03  1.14e-01  1008s
 132   1.86842980e+11  1.86842409e+11  2.09e-01 1.18e-03  1.11e-01  1014s
 133   1.86842928e+11  1.86842410e+11  2.06e-01 1.11e-03  1.01e-01  1021s
 134   1.86842793e+11  1.86842414e+11  1.53e-01 1.37e-03  7.37e-02  1026s
 135   1.86842754e+11  1.86842419e+11  1.54e-01 1.43e-03  6.54e-02  1032s
 136   1.86842725e+11  1.86842419e+11  1.47e-01 1.33e-03  5.96e-02  1037s
