Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
94,1.0,0.0,1.0,0.067118898,0.0,1.0,0.625415683,1.0,1.0,1.0
95,1.0,0.0,1.0,0.083863556,0.0,1.0,0.80799073,1.0,1.0,1.0
96,1.0,0.0,1.0,0.224713877,0.0,1.0,0.827878237,1.0,1.0,1.0
97,1.0,0.0,1.0,0.295715094,0.0,1.0,0.795009732,1.0,1.0,1.0
98,1.0,0.0,1.0,0.475750923,0.0,1.0,0.806117177,1.0,1.0,1.0
99,1.0,0.0,1.0,0.429904968,0.0,1.0,0.751525283,1.0,1.0,1.0
100,1.0,0.0,1.0,0.133806333,0.0,1.0,0.688379347,1.0,1.0,1.0
101,1.0,0.0,1.0,0.097172618,0.0,1.0,0.590809584,1.0,1.0,1.0
102,1.0,0.187,1.0,0.178564966,0.1914,1.0,0.440276444,1.0,1.0,1.0
103,1.0,0.093,1.0,0.15810056,0.1356,1.0,0.206560731,1.0,1.0,1.0
104,1.0,0.2452,1.0,0.085907668,0.2812,1.0,0.076066189,1.0,1.0,1.0
105,1.0,0.4187,1.0,0.136811152,0.4427,1.0,0.052358244,1.0,1.0,1.0
106,1.0,0.5509,1.0,0.16231443,0.564,1.0,0.072258621,1.0,1.0,1.0
107,1.0,0.6487,1.0,0.265915275,0.6528,1.0,0.163257718,1.0,1.0,1.0
108,1.0,0.6968,1.0,0.404657096,0.7036,1.0,0.21888794,1.0,1.0,1.0
109,1.0,0.693,1.0,0.51797837,0.7014,1.0,0.174088746,1.0,1.0,1.0
110,1.0,0.6863,1.0,0.590401947,0.6962,1.0,0.271408796,1.0,1.0,1.0
111,1.0,0.6064,1.0,0.492305607,0.6233,1.0,0.288551986,1.0,1.0,1.0
112,1.0,0.4918,1.0,0.327540308,0.5182,1.0,0.327175796,1.0,1.0,1.0
113,1.0,0.343,1.0,0.226276025,0.3867,1.0,0.23930341,1.0,1.0,1.0
114,1.0,0.1604,1.0,0.203923002,0.2214,1.0,0.183847055,1.0,1.0,1.0
115,1.0,0.087,1.0,0.11941237,0.1234,1.0,0.155675009,1.0,1.0,1.0
116,1.0,0.2318,1.0,0.280301064,0.2254,1.0,0.147988319,1.0,1.0,1.0
117,1.0,0.0,1.0,0.350494742,0.0,1.0,0.283060133,1.0,1.0,1.0
118,1.0,0.0,1.0,0.308144778,0.0,1.0,0.354517639,1.0,1.0,1.0
119,1.0,0.0,1.0,0.317373067,0.0,1.0,0.417354345,1.0,1.0,1.0
120,1.0,0.0,1.0,0.228583589,0.0,1.0,0.352071643,1.0,1.0,1.0
121,1.0,0.0,1.0,0.126057819,0.0,1.0,0.384281546,1.0,1.0,1.0
122,1.0,0.0,1.0,0.145783231,0.0,1.0,0.439341187,1.0,1.0,1.0
123,1.0,0.0,1.0,0.1197372,0.0,1.0,0.447830498,1.0,1.0,1.0
124,1.0,0.0,1.0,0.130558938,0.0,1.0,0.448487759,1.0,1.0,1.0
125,1.0,0.0,1.0,0.122706443,0.0,1.0,0.378204077,1.0,1.0,1.0
126,1.0,0.1887,1.0,0.212007314,0.2121,1.0,0.328149706,1.0,1.0,1.0
127,1.0,0.0929,1.0,0.1003922,0.1401,1.0,0.142711937,1.0,1.0,1.0
128,1.0,0.2427,1.0,0.031912338,0.2791,1.0,0.020971987,1.0,1.0,1.0
129,1.0,0.4116,1.0,0.048532557,0.4387,1.0,0.03525766,1.0,1.0,1.0
130,1.0,0.5369,1.0,0.043898437,0.554,1.0,0.0197175,1.0,1.0,1.0
