Time_Index,NG,None,coal,uranium
179,2.031,0,2.467,0.699
180,2.031,0,2.467,0.699
181,2.031,0,2.467,0.699
182,2.031,0,2.467,0.699
183,2.031,0,2.467,0.699
184,2.031,0,2.467,0.699
185,2.031,0,2.467,0.699
186,2.031,0,2.467,0.699
187,2.031,0,2.467,0.699
188,2.031,0,2.467,0.699
189,2.031,0,2.467,0.699
190,2.031,0,2.467,0.699
191,2.031,0,2.467,0.699
192,2.031,0,2.467,0.699
193,2.031,0,2.467,0.699
194,2.031,0,2.467,0.699
195,2.031,0,2.467,0.699
196,2.031,0,2.467,0.699
197,2.031,0,2.467,0.699
198,2.031,0,2.467,0.699
199,2.031,0,2.467,0.699
200,2.031,0,2.467,0.699
201,2.031,0,2.467,0.699
202,2.031,0,2.467,0.699
203,2.031,0,2.467,0.699
204,2.031,0,2.467,0.699
205,2.031,0,2.467,0.699
206,2.031,0,2.467,0.699
207,2.031,0,2.467,0.699
208,2.031,0,2.467,0.699
209,2.031,0,2.467,0.699
210,2.031,0,2.467,0.699
211,2.031,0,2.467,0.699
212,2.031,0,2.467,0.699
213,2.031,0,2.467,0.699
214,2.031,0,2.467,0.699
215,2.031,0,2.467,0.699
216,2.031,0,2.467,0.699
217,2.031,0,2.467,0.699
218,2.031,0,2.467,0.699
219,2.031,0,2.467,0.699
220,2.031,0,2.467,0.699
221,2.031,0,2.467,0.699
222,2.031,0,2.467,0.699
223,2.031,0,2.467,0.699
224,2.031,0,2.467,0.699
225,2.031,0,2.467,0.699
226,2.031,0,2.467,0.699
227,2.031,0,2.467,0.699
228,2.031,0,2.467,0.699
229,2.031,0,2.467,0.699
230,2.031,0,2.467,0.699
231,2.031,0,2.467,0.699
232,2.031,0,2.467,0.699
233,2.031,0,2.467,0.699
234,2.031,0,2.467,0.699
235,2.031,0,2.467,0.699
236,2.031,0,2.467,0.699
237,2.031,0,2.467,0.699
238,2.031,0,2.467,0.699
239,2.031,0,2.467,0.699
240,2.031,0,2.467,0.699
241,2.031,0,2.467,0.699
242,2.031,0,2.467,0.699
243,2.031,0,2.467,0.699
244,2.031,0,2.467,0.699
245,2.031,0,2.467,0.699
246,2.031,0,2.467,0.699
247,2.031,0,2.467,0.699
248,2.031,0,2.467,0.699
249,2.031,0,2.467,0.699
250,2.031,0,2.467,0.699
251,2.031,0,2.467,0.699
252,2.031,0,2.467,0.699
253,2.031,0,2.467,0.699
254,2.031,0,2.467,0.699
255,2.031,0,2.467,0.699
256,2.031,0,2.467,0.699
257,2.031,0,2.467,0.699
258,2.031,0,2.467,0.699
259,2.031,0,2.467,0.699
260,2.031,0,2.467,0.699
261,2.031,0,2.467,0.699
262,2.031,0,2.467,0.699
263,2.031,0,2.467,0.699
264,2.031,0,2.467,0.699
265,2.031,0,2.467,0.699
266,2.031,0,2.467,0.699
267,2.031,0,2.467,0.699
268,2.031,0,2.467,0.699
269,2.031,0,2.467,0.699
270,2.031,0,2.467,0.699
271,2.031,0,2.467,0.699
272,2.031,0,2.467,0.699
273,2.031,0,2.467,0.699
274,2.031,0,2.467,0.699
275,2.031,0,2.467,0.699
276,2.031,0,2.467,0.699
277,2.031,0,2.467,0.699
278,2.031,0,2.467,0.699
279,2.031,0,2.467,0.699
280,2.031,0,2.467,0.699
281,2.031,0,2.467,0.699
282,2.031,0,2.467,0.699
283,2.031,0,2.467,0.699
284,2.031,0,2.467,0.699
285,2.031,0,2.467,0.699
286,2.031,0,2.467,0.699
287,2.031,0,2.467,0.699
288,2.031,0,2.467,0.699
289,2.031,0,2.467,0.699
290,2.031,0,2.467,0.699
291,2.031,0,2.467,0.699
292,2.031,0,2.467,0.699
293,2.031,0,2.467,0.699
294,2.031,0,2.467,0.699
295,2.031,0,2.467,0.699
296,2.031,0,2.467,0.699
297,2.031,0,2.467,0.699
298,2.031,0,2.467,0.699
299,2.031,0,2.467,0.699
300,2.031,0,2.467,0.699
301,2.031,0,2.467,0.699
302,2.031,0,2.467,0.699
303,2.031,0,2.467,0.699
304,2.031,0,2.467,0.699
305,2.031,0,2.467,0.699
306,2.031,0,2.467,0.699
307,2.031,0,2.467,0.699
308,2.031,0,2.467,0.699
309,2.031,0,2.467,0.699
310,2.031,0,2.467,0.699
311,2.031,0,2.467,0.699
312,2.031,0,2.467,0.699
313,2.031,0,2.467,0.699
314,2.031,0,2.467,0.699
315,2.031,0,2.467,0.699
316,2.031,0,2.467,0.699
317,2.031,0,2.467,0.699
318,2.031,0,2.467,0.699
319,2.031,0,2.467,0.699
320,2.031,0,2.467,0.699
321,2.031,0,2.467,0.699
322,2.031,0,2.467,0.699
323,2.031,0,2.467,0.699
324,2.031,0,2.467,0.699
325,2.031,0,2.467,0.699
326,2.031,0,2.467,0.699
327,2.031,0,2.467,0.699
328,2.031,0,2.467,0.699
329,2.031,0,2.467,0.699
330,2.031,0,2.467,0.699
331,2.031,0,2.467,0.699
332,2.031,0,2.467,0.699
333,2.031,0,2.467,0.699
334,2.031,0,2.467,0.699
335,2.031,0,2.467,0.699
336,2.031,0,2.467,0.699
337,2.031,0,2.467,0.699
338,2.031,0,2.467,0.699
339,2.031,0,2.467,0.699
340,2.031,0,2.467,0.699
341,2.031,0,2.467,0.699
342,2.031,0,2.467,0.699
343,2.031,0,2.467,0.699
344,2.031,0,2.467,0.699
345,2.031,0,2.467,0.699
346,2.031,0,2.467,0.699
347,2.031,0,2.467,0.699
348,2.031,0,2.467,0.699
349,2.031,0,2.467,0.699
350,2.031,0,2.467,0.699
351,2.031,0,2.467,0.699
352,2.031,0,2.467,0.699
353,2.031,0,2.467,0.699
354,2.031,0,2.467,0.699
355,2.031,0,2.467,0.699
356,2.031,0,2.467,0.699
357,2.031,0,2.467,0.699
358,2.031,0,2.467,0.699
359,2.031,0,2.467,0.699
360,2.031,0,2.467,0.699
361,2.031,0,2.467,0.699
362,2.031,0,2.467,0.699
363,2.031,0,2.467,0.699
364,2.031,0,2.467,0.699
365,2.031,0,2.467,0.699
366,2.031,0,2.467,0.699
367,2.031,0,2.467,0.699
368,2.031,0,2.467,0.699
369,2.031,0,2.467,0.699
370,2.031,0,2.467,0.699
371,2.031,0,2.467,0.699
372,2.031,0,2.467,0.699
373,2.031,0,2.467,0.699
374,2.031,0,2.467,0.699
375,2.031,0,2.467,0.699
376,2.031,0,2.467,0.699
377,2.031,0,2.467,0.699
378,2.031,0,2.467,0.699
379,2.031,0,2.467,0.699
380,2.031,0,2.467,0.699
381,2.031,0,2.467,0.699
382,2.031,0,2.467,0.699
383,2.031,0,2.467,0.699
384,2.031,0,2.467,0.699
385,2.031,0,2.467,0.699
386,2.031,0,2.467,0.699
387,2.031,0,2.467,0.699
388,2.031,0,2.467,0.699
389,2.031,0,2.467,0.699
390,2.031,0,2.467,0.699
391,2.031,0,2.467,0.699
392,2.031,0,2.467,0.699
393,2.031,0,2.467,0.699
394,2.031,0,2.467,0.699
395,2.031,0,2.467,0.699
396,2.031,0,2.467,0.699
397,2.031,0,2.467,0.699
398,2.031,0,2.467,0.699
399,2.031,0,2.467,0.699
400,2.031,0,2.467,0.699
401,2.031,0,2.467,0.699
402,2.031,0,2.467,0.699
403,2.031,0,2.467,0.699
404,2.031,0,2.467,0.699
405,2.031,0,2.467,0.699
406,2.031,0,2.467,0.699
407,2.031,0,2.467,0.699
408,2.031,0,2.467,0.699
409,2.031,0,2.467,0.699
410,2.031,0,2.467,0.699
411,2.031,0,2.467,0.699
412,2.031,0,2.467,0.699
413,2.031,0,2.467,0.699
414,2.031,0,2.467,0.699
415,2.031,0,2.467,0.699
416,2.031,0,2.467,0.699
417,2.031,0,2.467,0.699
418,2.031,0,2.467,0.699
419,2.031,0,2.467,0.699
420,2.031,0,2.467,0.699
421,2.031,0,2.467,0.699
422,2.031,0,2.467,0.699
423,2.031,0,2.467,0.699
424,2.031,0,2.467,0.699
425,2.031,0,2.467,0.699
426,2.031,0,2.467,0.699
427,2.031,0,2.467,0.699
428,2.031,0,2.467,0.699
429,2.031,0,2.467,0.699
430,2.031,0,2.467,0.699
431,2.031,0,2.467,0.699
432,2.031,0,2.467,0.699
433,2.031,0,2.467,0.699
434,2.031,0,2.467,0.699
435,2.031,0,2.467,0.699
436,2.031,0,2.467,0.699
437,2.031,0,2.467,0.699
438,2.031,0,2.467,0.699
439,2.031,0,2.467,0.699
440,2.031,0,2.467,0.699
441,2.031,0,2.467,0.699
442,2.031,0,2.467,0.699
443,2.031,0,2.467,0.699
444,2.031,0,2.467,0.699
445,2.031,0,2.467,0.699
446,2.031,0,2.467,0.699
447,2.031,0,2.467,0.699
448,2.031,0,2.467,0.699
449,2.031,0,2.467,0.699
450,2.031,0,2.467,0.699
451,2.031,0,2.467,0.699
452,2.031,0,2.467,0.699
453,2.031,0,2.467,0.699
454,2.031,0,2.467,0.699
455,2.031,0,2.467,0.699
456,2.031,0,2.467,0.699
457,2.031,0,2.467,0.699
458,2.031,0,2.467,0.699
459,2.031,0,2.467,0.699
460,2.031,0,2.467,0.699
461,2.031,0,2.467,0.699
462,2.031,0,2.467,0.699
463,2.031,0,2.467,0.699
464,2.031,0,2.467,0.699
465,2.031,0,2.467,0.699
466,2.031,0,2.467,0.699
467,2.031,0,2.467,0.699
468,2.031,0,2.467,0.699
469,2.031,0,2.467,0.699
470,2.031,0,2.467,0.699
471,2.031,0,2.467,0.699
472,2.031,0,2.467,0.699
473,2.031,0,2.467,0.699
474,2.031,0,2.467,0.699
475,2.031,0,2.467,0.699
476,2.031,0,2.467,0.699
477,2.031,0,2.467,0.699
478,2.031,0,2.467,0.699
479,2.031,0,2.467,0.699
480,2.031,0,2.467,0.699
481,2.031,0,2.467,0.699
482,2.031,0,2.467,0.699
483,2.031,0,2.467,0.699
484,2.031,0,2.467,0.699
485,2.031,0,2.467,0.699
486,2.031,0,2.467,0.699
487,2.031,0,2.467,0.699
488,2.031,0,2.467,0.699
489,2.031,0,2.467,0.699
490,2.031,0,2.467,0.699
491,2.031,0,2.467,0.699
492,2.031,0,2.467,0.699
493,2.031,0,2.467,0.699
494,2.031,0,2.467,0.699
495,2.031,0,2.467,0.699
496,2.031,0,2.467,0.699
497,2.031,0,2.467,0.699
498,2.031,0,2.467,0.699
499,2.031,0,2.467,0.699
500,2.031,0,2.467,0.699
501,2.031,0,2.467,0.699
502,2.031,0,2.467,0.699
503,2.031,0,2.467,0.699
504,2.031,0,2.467,0.699
505,2.031,0,2.467,0.699
506,2.031,0,2.467,0.699
507,2.031,0,2.467,0.699
508,2.031,0,2.467,0.699
509,2.031,0,2.467,0.699
510,2.031,0,2.467,0.699
511,2.031,0,2.467,0.699
512,2.031,0,2.467,0.699
513,2.031,0,2.467,0.699
514,2.031,0,2.467,0.699
515,2.031,0,2.467,0.699
516,2.031,0,2.467,0.699
517,2.031,0,2.467,0.699
518,2.031,0,2.467,0.699
519,2.031,0,2.467,0.699
520,2.031,0,2.467,0.699
521,2.031,0,2.467,0.699
522,2.031,0,2.467,0.699
523,2.031,0,2.467,0.699
524,2.031,0,2.467,0.699
525,2.031,0,2.467,0.699
526,2.031,0,2.467,0.699
527,2.031,0,2.467,0.699
528,2.031,0,2.467,0.699
529,2.031,0,2.467,0.699
530,2.031,0,2.467,0.699
531,2.031,0,2.467,0.699
532,2.031,0,2.467,0.699
533,2.031,0,2.467,0.699
534,2.031,0,2.467,0.699
535,2.031,0,2.467,0.699
536,2.031,0,2.467,0.699
537,2.031,0,2.467,0.699
538,2.031,0,2.467,0.699
539,2.031,0,2.467,0.699
540,2.031,0,2.467,0.699
541,2.031,0,2.467,0.699
542,2.031,0,2.467,0.699
543,2.031,0,2.467,0.699
544,2.031,0,2.467,0.699
545,2.031,0,2.467,0.699
546,2.031,0,2.467,0.699
547,2.031,0,2.467,0.699
548,2.031,0,2.467,0.699
549,2.031,0,2.467,0.699
550,2.031,0,2.467,0.699
551,2.031,0,2.467,0.699
552,2.031,0,2.467,0.699
553,2.031,0,2.467,0.699
554,2.031,0,2.467,0.699
555,2.031,0,2.467,0.699
556,2.031,0,2.467,0.699
557,2.031,0,2.467,0.699
558,2.031,0,2.467,0.699
559,2.031,0,2.467,0.699
560,2.031,0,2.467,0.699
561,2.031,0,2.467,0.699
562,2.031,0,2.467,0.699
563,2.031,0,2.467,0.699
564,2.031,0,2.467,0.699
565,2.031,0,2.467,0.699
566,2.031,0,2.467,0.699
567,2.031,0,2.467,0.699
568,2.031,0,2.467,0.699
569,2.031,0,2.467,0.699
570,2.031,0,2.467,0.699
571,2.031,0,2.467,0.699
572,2.031,0,2.467,0.699
573,2.031,0,2.467,0.699
574,2.031,0,2.467,0.699
575,2.031,0,2.467,0.699
576,2.031,0,2.467,0.699
577,2.031,0,2.467,0.699
578,2.031,0,2.467,0.699
579,2.031,0,2.467,0.699
580,2.031,0,2.467,0.699
581,2.031,0,2.467,0.699
582,2.031,0,2.467,0.699
583,2.031,0,2.467,0.699
584,2.031,0,2.467,0.699
585,2.031,0,2.467,0.699
586,2.031,0,2.467,0.699
587,2.031,0,2.467,0.699
588,2.031,0,2.467,0.699
589,2.031,0,2.467,0.699
590,2.031,0,2.467,0.699
591,2.031,0,2.467,0.699
592,2.031,0,2.467,0.699
593,2.031,0,2.467,0.699
594,2.031,0,2.467,0.699
595,2.031,0,2.467,0.699
596,2.031,0,2.467,0.699
597,2.031,0,2.467,0.699
598,2.031,0,2.467,0.699
599,2.031,0,2.467,0.699
600,2.031,0,2.467,0.699
601,2.031,0,2.467,0.699
602,2.031,0,2.467,0.699
603,2.031,0,2.467,0.699
604,2.031,0,2.467,0.699
605,2.031,0,2.467,0.699
606,2.031,0,2.467,0.699
607,2.031,0,2.467,0.699
608,2.031,0,2.467,0.699
609,2.031,0,2.467,0.699
610,2.031,0,2.467,0.699
611,2.031,0,2.467,0.699
612,2.031,0,2.467,0.699
613,2.031,0,2.467,0.699
614,2.031,0,2.467,0.699
615,2.031,0,2.467,0.699
616,2.031,0,2.467,0.699
617,2.031,0,2.467,0.699
618,2.031,0,2.467,0.699
619,2.031,0,2.467,0.699
620,2.031,0,2.467,0.699
621,2.031,0,2.467,0.699
622,2.031,0,2.467,0.699
623,2.031,0,2.467,0.699
624,2.031,0,2.467,0.699
625,2.031,0,2.467,0.699
626,2.031,0,2.467,0.699
627,2.031,0,2.467,0.699
628,2.031,0,2.467,0.699
629,2.031,0,2.467,0.699
630,2.031,0,2.467,0.699
631,2.031,0,2.467,0.699
632,2.031,0,2.467,0.699
633,2.031,0,2.467,0.699
634,2.031,0,2.467,0.699
635,2.031,0,2.467,0.699
636,2.031,0,2.467,0.699
637,2.031,0,2.467,0.699
638,2.031,0,2.467,0.699
639,2.031,0,2.467,0.699
640,2.031,0,2.467,0.699
641,2.031,0,2.467,0.699
642,2.031,0,2.467,0.699
643,2.031,0,2.467,0.699
644,2.031,0,2.467,0.699
645,2.031,0,2.467,0.699
646,2.031,0,2.467,0.699
647,2.031,0,2.467,0.699
648,2.031,0,2.467,0.699
649,2.031,0,2.467,0.699
650,2.031,0,2.467,0.699
651,2.031,0,2.467,0.699
652,2.031,0,2.467,0.699
653,2.031,0,2.467,0.699
654,2.031,0,2.467,0.699
655,2.031,0,2.467,0.699
656,2.031,0,2.467,0.699
657,2.031,0,2.467,0.699
658,2.031,0,2.467,0.699
659,2.031,0,2.467,0.699
660,2.031,0,2.467,0.699
661,2.031,0,2.467,0.699
662,2.031,0,2.467,0.699
663,2.031,0,2.467,0.699
664,2.031,0,2.467,0.699
665,2.031,0,2.467,0.699
666,2.031,0,2.467,0.699
667,2.031,0,2.467,0.699
668,2.031,0,2.467,0.699
669,2.031,0,2.467,0.699
670,2.031,0,2.467,0.699
671,2.031,0,2.467,0.699
672,2.031,0,2.467,0.699
673,2.031,0,2.467,0.699
674,2.031,0,2.467,0.699
675,2.031,0,2.467,0.699
676,2.031,0,2.467,0.699
677,2.031,0,2.467,0.699
678,2.031,0,2.467,0.699
679,2.031,0,2.467,0.699
680,2.031,0,2.467,0.699
681,2.031,0,2.467,0.699
682,2.031,0,2.467,0.699
683,2.031,0,2.467,0.699
684,2.031,0,2.467,0.699
685,2.031,0,2.467,0.699
686,2.031,0,2.467,0.699
687,2.031,0,2.467,0.699
688,2.031,0,2.467,0.699
689,2.031,0,2.467,0.699
690,2.031,0,2.467,0.699
691,2.031,0,2.467,0.699
692,2.031,0,2.467,0.699
693,2.031,0,2.467,0.699
694,2.031,0,2.467,0.699
695,2.031,0,2.467,0.699
696,2.031,0,2.467,0.699
697,2.031,0,2.467,0.699
698,2.031,0,2.467,0.699
699,2.031,0,2.467,0.699
700,2.031,0,2.467,0.699
701,2.031,0,2.467,0.699
702,2.031,0,2.467,0.699
703,2.031,0,2.467,0.699
704,2.031,0,2.467,0.699
705,2.031,0,2.467,0.699
706,2.031,0,2.467,0.699
707,2.031,0,2.467,0.699
708,2.031,0,2.467,0.699
709,2.031,0,2.467,0.699
710,2.031,0,2.467,0.699
711,2.031,0,2.467,0.699
712,2.031,0,2.467,0.699
713,2.031,0,2.467,0.699
714,2.031,0,2.467,0.699
715,2.031,0,2.467,0.699
716,2.031,0,2.467,0.699
717,2.031,0,2.467,0.699
718,2.031,0,2.467,0.699
719,2.031,0,2.467,0.699
720,2.031,0,2.467,0.699
721,2.031,0,2.467,0.699
722,2.031,0,2.467,0.699
723,2.031,0,2.467,0.699
724,2.031,0,2.467,0.699
725,2.031,0,2.467,0.699
726,2.031,0,2.467,0.699
727,2.031,0,2.467,0.699
728,2.031,0,2.467,0.699
729,2.031,0,2.467,0.699
730,2.031,0,2.467,0.699
731,2.031,0,2.467,0.699
732,2.031,0,2.467,0.699
733,2.031,0,2.467,0.699
734,2.031,0,2.467,0.699
735,2.031,0,2.467,0.699
736,2.031,0,2.467,0.699
737,2.031,0,2.467,0.699
738,2.031,0,2.467,0.699
739,2.031,0,2.467,0.699
740,2.031,0,2.467,0.699
741,2.031,0,2.467,0.699
742,2.031,0,2.467,0.699
743,2.031,0,2.467,0.699
744,2.031,0,2.467,0.699
745,2.031,0,2.467,0.699
746,2.031,0,2.467,0.699
747,2.031,0,2.467,0.699
748,2.031,0,2.467,0.699
749,2.031,0,2.467,0.699
750,2.031,0,2.467,0.699
751,2.031,0,2.467,0.699
752,2.031,0,2.467,0.699
753,2.031,0,2.467,0.699
754,2.031,0,2.467,0.699
755,2.031,0,2.467,0.699
756,2.031,0,2.467,0.699
757,2.031,0,2.467,0.699
758,2.031,0,2.467,0.699
759,2.031,0,2.467,0.699
760,2.031,0,2.467,0.699
761,2.031,0,2.467,0.699
762,2.031,0,2.467,0.699
763,2.031,0,2.467,0.699
764,2.031,0,2.467,0.699
765,2.031,0,2.467,0.699
766,2.031,0,2.467,0.699
767,2.031,0,2.467,0.699
768,2.031,0,2.467,0.699
769,2.031,0,2.467,0.699
770,2.031,0,2.467,0.699
771,2.031,0,2.467,0.699
772,2.031,0,2.467,0.699
773,2.031,0,2.467,0.699
774,2.031,0,2.467,0.699
775,2.031,0,2.467,0.699
776,2.031,0,2.467,0.699
777,2.031,0,2.467,0.699
778,2.031,0,2.467,0.699
779,2.031,0,2.467,0.699
780,2.031,0,2.467,0.699
781,2.031,0,2.467,0.699
782,2.031,0,2.467,0.699
783,2.031,0,2.467,0.699
784,2.031,0,2.467,0.699
785,2.031,0,2.467,0.699
786,2.031,0,2.467,0.699
787,2.031,0,2.467,0.699
788,2.031,0,2.467,0.699
789,2.031,0,2.467,0.699
790,2.031,0,2.467,0.699
791,2.031,0,2.467,0.699
792,2.031,0,2.467,0.699
793,2.031,0,2.467,0.699
794,2.031,0,2.467,0.699
795,2.031,0,2.467,0.699
796,2.031,0,2.467,0.699
797,2.031,0,2.467,0.699
798,2.031,0,2.467,0.699
799,2.031,0,2.467,0.699
800,2.031,0,2.467,0.699
801,2.031,0,2.467,0.699
802,2.031,0,2.467,0.699
803,2.031,0,2.467,0.699
804,2.031,0,2.467,0.699
805,2.031,0,2.467,0.699
806,2.031,0,2.467,0.699
807,2.031,0,2.467,0.699
808,2.031,0,2.467,0.699
809,2.031,0,2.467,0.699
810,2.031,0,2.467,0.699
811,2.031,0,2.467,0.699
812,2.031,0,2.467,0.699
813,2.031,0,2.467,0.699
814,2.031,0,2.467,0.699
815,2.031,0,2.467,0.699
816,2.031,0,2.467,0.699
817,2.031,0,2.467,0.699
818,2.031,0,2.467,0.699
819,2.031,0,2.467,0.699
820,2.031,0,2.467,0.699
821,2.031,0,2.467,0.699
822,2.031,0,2.467,0.699
823,2.031,0,2.467,0.699
824,2.031,0,2.467,0.699
825,2.031,0,2.467,0.699
826,2.031,0,2.467,0.699
827,2.031,0,2.467,0.699
828,2.031,0,2.467,0.699
829,2.031,0,2.467,0.699
830,2.031,0,2.467,0.699
831,2.031,0,2.467,0.699
832,2.031,0,2.467,0.699
833,2.031,0,2.467,0.699
834,2.031,0,2.467,0.699
835,2.031,0,2.467,0.699
836,2.031,0,2.467,0.699
837,2.031,0,2.467,0.699
838,2.031,0,2.467,0.699
839,2.031,0,2.467,0.699
840,2.031,0,2.467,0.699
841,2.031,0,2.467,0.699
842,2.031,0,2.467,0.699
843,2.031,0,2.467,0.699
844,2.031,0,2.467,0.699
845,2.031,0,2.467,0.699
846,2.031,0,2.467,0.699
847,2.031,0,2.467,0.699
848,2.031,0,2.467,0.699
849,2.031,0,2.467,0.699
850,2.031,0,2.467,0.699
851,2.031,0,2.467,0.699
852,2.031,0,2.467,0.699
853,2.031,0,2.467,0.699
854,2.031,0,2.467,0.699
855,2.031,0,2.467,0.699
856,2.031,0,2.467,0.699
857,2.031,0,2.467,0.699
858,2.031,0,2.467,0.699
859,2.031,0,2.467,0.699
860,2.031,0,2.467,0.699
861,2.031,0,2.467,0.699
862,2.031,0,2.467,0.699
863,2.031,0,2.467,0.699
864,2.031,0,2.467,0.699
865,2.031,0,2.467,0.699
866,2.031,0,2.467,0.699
867,2.031,0,2.467,0.699
868,2.031,0,2.467,0.699
869,2.031,0,2.467,0.699
870,2.031,0,2.467,0.699
871,2.031,0,2.467,0.699
