Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1
,,,,,,,642,725.22208
,,,,,,,643,725.22208
,,,,,,,644,725.22208
,,,,,,,645,725.22208
,,,,,,,646,725.22208
,,,,,,,647,725.22208
,,,,,,,648,725.22208
,,,,,,,649,725.22208
,,,,,,,650,725.22208
,,,,,,,651,725.22208
,,,,,,,652,725.22208
,,,,,,,653,725.22208
,,,,,,,654,725.22208
,,,,,,,655,725.22208
,,,,,,,656,725.22208
,,,,,,,657,725.22208
,,,,,,,658,725.22208
,,,,,,,659,725.22208
,,,,,,,660,725.22208
,,,,,,,661,725.22208
,,,,,,,662,725.22208
,,,,,,,663,725.22208
,,,,,,,664,725.22208
,,,,,,,665,725.22208
,,,,,,,666,725.22208
,,,,,,,667,725.22208
,,,,,,,668,725.22208
,,,,,,,669,725.22208
,,,,,,,670,725.22208
,,,,,,,671,725.22208
,,,,,,,672,725.22208
,,,,,,,673,725.22208
,,,,,,,674,725.22208
,,,,,,,675,725.22208
,,,,,,,676,725.22208
,,,,,,,677,725.22208
,,,,,,,678,725.22208
,,,,,,,679,725.22208
,,,,,,,680,725.22208
,,,,,,,681,725.22208
,,,,,,,682,725.22208
,,,,,,,683,725.22208
,,,,,,,684,725.22208
,,,,,,,685,725.22208
,,,,,,,686,725.22208
,,,,,,,687,725.22208
,,,,,,,688,725.22208
,,,,,,,689,725.22208
,,,,,,,690,725.22208
,,,,,,,691,725.22208
,,,,,,,692,725.22208
,,,,,,,693,725.22208
,,,,,,,694,725.22208
,,,,,,,695,725.22208
,,,,,,,696,725.22208
,,,,,,,697,725.22208
,,,,,,,698,725.22208
,,,,,,,699,725.22208
,,,,,,,700,725.22208
,,,,,,,701,725.22208
,,,,,,,702,725.22208
,,,,,,,703,725.22208
,,,,,,,704,725.22208
,,,,,,,705,725.22208
,,,,,,,706,725.22208
,,,,,,,707,725.22208
,,,,,,,708,725.22208
,,,,,,,709,725.22208
,,,,,,,710,725.22208
,,,,,,,711,725.22208
,,,,,,,712,725.22208
,,,,,,,713,725.22208
,,,,,,,714,725.22208
,,,,,,,715,725.22208
,,,,,,,716,725.22208
,,,,,,,717,725.22208
,,,,,,,718,725.22208
,,,,,,,719,725.22208
,,,,,,,720,725.22208
,,,,,,,721,725.22208
,,,,,,,722,725.22208
,,,,,,,723,725.22208
,,,,,,,724,725.22208
,,,,,,,725,725.22208
,,,,,,,726,725.22208
,,,,,,,727,725.22208
,,,,,,,728,725.22208
,,,,,,,729,725.22208
,,,,,,,730,725.22208
,,,,,,,731,725.22208
,,,,,,,732,725.22208
,,,,,,,733,725.22208
,,,,,,,734,725.22208
,,,,,,,735,725.22208
,,,,,,,736,725.22208
,,,,,,,737,725.22208
,,,,,,,738,725.22208
,,,,,,,739,725.22208
,,,,,,,740,725.22208
,,,,,,,741,725.22208
,,,,,,,742,725.22208
,,,,,,,743,725.22208
,,,,,,,744,725.22208
,,,,,,,745,725.22208
,,,,,,,746,725.22208
,,,,,,,747,725.22208
,,,,,,,748,725.22208
,,,,,,,749,725.22208
,,,,,,,750,725.22208
,,,,,,,751,725.22208
,,,,,,,752,725.22208
,,,,,,,753,725.22208
,,,,,,,754,725.22208
,,,,,,,755,725.22208
,,,,,,,756,725.22208
,,,,,,,757,725.22208
,,,,,,,758,725.22208
,,,,,,,759,725.22208
,,,,,,,760,725.22208
,,,,,,,761,725.22208
,,,,,,,762,725.22208
,,,,,,,763,725.22208
,,,,,,,764,725.22208
,,,,,,,765,725.22208
,,,,,,,766,725.22208
,,,,,,,767,725.22208
,,,,,,,768,725.22208
,,,,,,,769,725.22208
,,,,,,,770,725.22208
,,,,,,,771,725.22208
,,,,,,,772,725.22208
,,,,,,,773,725.22208
,,,,,,,774,725.22208
,,,,,,,775,725.22208
,,,,,,,776,725.22208
,,,,,,,777,725.22208
,,,,,,,778,725.22208
,,,,,,,779,725.22208
,,,,,,,780,725.22208
,,,,,,,781,725.22208
,,,,,,,782,725.22208
,,,,,,,783,725.22208
,,,,,,,784,725.22208
,,,,,,,785,725.22208
,,,,,,,786,725.22208
,,,,,,,787,725.22208
,,,,,,,788,725.22208
,,,,,,,789,725.22208
,,,,,,,790,725.22208
,,,,,,,791,725.22208
,,,,,,,792,725.22208
,,,,,,,793,725.22208
,,,,,,,794,725.22208
,,,,,,,795,725.22208
,,,,,,,796,725.22208
,,,,,,,797,725.22208
,,,,,,,798,725.22208
,,,,,,,799,725.22208
,,,,,,,800,725.22208
,,,,,,,801,725.22208
,,,,,,,802,725.22208
,,,,,,,803,725.22208
,,,,,,,804,725.22208
,,,,,,,805,725.22208
,,,,,,,806,725.22208
,,,,,,,807,725.22208
,,,,,,,808,725.22208
,,,,,,,809,725.22208
,,,,,,,810,725.22208
,,,,,,,811,725.22208
,,,,,,,812,725.22208
,,,,,,,813,725.22208
,,,,,,,814,725.22208
,,,,,,,815,725.22208
,,,,,,,816,725.22208
,,,,,,,817,725.22208
,,,,,,,818,725.22208
,,,,,,,819,725.22208
,,,,,,,820,725.22208
,,,,,,,821,725.22208
,,,,,,,822,725.22208
,,,,,,,823,725.22208
,,,,,,,824,725.22208
,,,,,,,825,725.22208
,,,,,,,826,725.22208
,,,,,,,827,725.22208
,,,,,,,828,725.22208
,,,,,,,829,725.22208
,,,,,,,830,725.22208
,,,,,,,831,725.22208
,,,,,,,832,725.22208
,,,,,,,833,725.22208
,,,,,,,834,725.22208
,,,,,,,835,725.22208
,,,,,,,836,725.22208
,,,,,,,837,725.22208
,,,,,,,838,725.22208
,,,,,,,839,725.22208
,,,,,,,840,725.22208
,,,,,,,841,725.22208
,,,,,,,842,725.22208
,,,,,,,843,725.22208
,,,,,,,844,725.22208
,,,,,,,845,725.22208
,,,,,,,846,725.22208
,,,,,,,847,725.22208
,,,,,,,848,725.22208
,,,,,,,849,725.22208
,,,,,,,850,725.22208
,,,,,,,851,725.22208
,,,,,,,852,725.22208
,,,,,,,853,725.22208
,,,,,,,854,725.22208
,,,,,,,855,725.22208
,,,,,,,856,725.22208
,,,,,,,857,725.22208
,,,,,,,858,725.22208
,,,,,,,859,725.22208
,,,,,,,860,725.22208
,,,,,,,861,725.22208
,,,,,,,862,725.22208
,,,,,,,863,725.22208
,,,,,,,864,725.22208
,,,,,,,865,725.22208
,,,,,,,866,725.22208
,,,,,,,867,725.22208
,,,,,,,868,725.22208
,,,,,,,869,725.22208
,,,,,,,870,725.22208
,,,,,,,871,725.22208
,,,,,,,872,725.22208
,,,,,,,873,725.22208
,,,,,,,874,725.22208
,,,,,,,875,725.22208
,,,,,,,876,725.22208
,,,,,,,877,725.22208
,,,,,,,878,725.22208
,,,,,,,879,725.22208
,,,,,,,880,725.22208
,,,,,,,881,725.22208
,,,,,,,882,725.22208
,,,,,,,883,725.22208
,,,,,,,884,725.22208
,,,,,,,885,725.22208
,,,,,,,886,725.22208
,,,,,,,887,725.22208
,,,,,,,888,725.22208
,,,,,,,889,725.22208
,,,,,,,890,725.22208
,,,,,,,891,725.22208
,,,,,,,892,725.22208
,,,,,,,893,725.22208
,,,,,,,894,725.22208
,,,,,,,895,725.22208
,,,,,,,896,725.22208
,,,,,,,897,725.22208
,,,,,,,898,725.22208
,,,,,,,899,725.22208
,,,,,,,900,725.22208
,,,,,,,901,725.22208
,,,,,,,902,725.22208
,,,,,,,903,725.22208
,,,,,,,904,725.22208
,,,,,,,905,725.22208
,,,,,,,906,725.22208
,,,,,,,907,725.22208
