CO2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_hr_Per_Pipe,Pipe_length_miles,CO2PipeLoss_tonne_per_mile_per_tonne,CO2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,CO2_len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,CO2Pipe_Inv_Cost_per_mile_yr,CO2Pipe_Fixed_OM_Cost_per_mile_yr,CO2Pipe_Energy_MWh_per_mile_per_tonne,transmission_path_name
32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1000,0,1141.552511,20,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_3_to_Mount_Simon9
33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1000,0,1141.552511,61.3,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_1_to_Mount_Simon9
34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1000,0,1141.552511,79.8,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_2_to_Mount_Simon9
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1000,0,1141.552511,67.1,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_4_to_Mount_Simon9
36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1000,0,1141.552511,36.8,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_2_to_St.Peter7
37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1000,0,1141.552511,147.3,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_1_to_St.Peter7
38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1000,0,1141.552511,89.1,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_3_to_St.Peter7
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1000,0,1141.552511,155,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_4_to_St.Peter7
40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1000,0,1141.552511,77.9,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_1_to_St.Peter8
41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1000,0,1141.552511,183.8,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,PJM_ATSI_to_St.Peter8
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1000,0,1141.552511,87.7,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_4_to_St.Peter8
43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1000,0,1141.552511,180.9,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_2_to_St.Peter8
44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1000,0,1141.552511,117.3,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_3_to_St.Peter8
45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1000,0,1141.552511,26.3,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_3_to_St.Peter9
46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1000,0,1141.552511,63.5,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_1_to_St.Peter9
47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1000,0,1141.552511,88.3,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_2_to_St.Peter9
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1000,0,1141.552511,54.3,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_4_to_St.Peter9
49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1000,0,1141.552511,20,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_3_to_St.Peter10
50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1000,0,1141.552511,73.3,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_1_to_St.Peter10
51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1000,0,1141.552511,66.6,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_2_to_St.Peter10
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1000,0,1141.552511,70.9,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_4_to_St.Peter10
53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1000,0,1141.552511,20,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_3_to_Sylvania1
54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1000,0,1141.552511,57.3,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_1_to_Sylvania1
55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1000,0,1141.552511,80.2,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_2_to_Sylvania1
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1000,0,1141.552511,73.1,0.000000374,0,0,3.3,0,0.0008379,162687.5887,21200,0.000027,MIS_LMI_4_to_Sylvania1
