Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Min_Charge_Cap_MW,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Fixed_OM_Cost_Charge_per_MWyr,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Var_OM_Cost_per_MWh_In,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Resource_Type,Reg_Cost,Rsv_Cost,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9,CapRes_10,CapRes_11,CapRes_12,CapRes_13,CapRes_14,CapRes_15,ESR_1,ESR_2,region,cluster,CCS_Rate
MIS_INKY_solar_photovoltaic_1,1,0,0,0,0,0,1,0,1,0,491.368,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,9.062,0,None,7.226,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Solar Photovoltaic,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,MIS_INKY,1,0
PJM_AP_conventional_hydroelectric_1,5,0,0,0,0,1,0,0,0,-1,96,0,0,0,-1,-1,0,0,0,0,0,46475,0,0,0,0,0,8.773,0,None,16,0,0,0,0,0.083,0.083,0,0.146,0,1,1,0,0,0,0,Conventional Hydroelectric,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,1,PJM_AP,1,0
PJM_AP_conventional_steam_coal_1,5,1,0,0,0,0,0,0,0,0,1020,0,0,0,-1,-1,0,0,0,0,0,65224.186,0,0,1.857,0,0,9.746,0,south_atlantic_reference_coal,255,122.396,16.5,24,24,0.57,0.57,1,0.376,0,1,1,0,0,0.095,0.19,Conventional Steam Coal,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,PJM_AP,1,0
PJM_AP_natural_gas_fired_combined_cycle_1,5,1,0,0,0,0,0,0,0,0,1472.2,0,0,0,-1,-1,0,0,0,0,0,12182,0,0,3.515,0,0,7.03,0,south_atlantic_reference_naturalgas,1472.2,90.959,2,6,6,0.64,0.64,1,0.393,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,PJM_AP,1,0
PJM_AP_natural_gas_fired_combined_cycle_2,5,1,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,16291,0,0,4.495,0,0,6.41,0,south_atlantic_reference_naturalgas,2,90.959,2,6,6,0.64,0.64,1,0.3,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,PJM_AP,2,0
PJM_AP_natural_gas_fired_combined_cycle_3,5,1,0,0,0,0,0,0,0,0,620,0,0,0,-1,-1,0,0,0,0,0,9668,0,0,3.567,0,0,6.41,0,south_atlantic_reference_naturalgas,620,90.959,2,6,6,0.64,0.64,1,0.3,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,PJM_AP,3,0
PJM_AP_natural_gas_fired_combined_cycle_4,5,1,0,0,0,0,0,0,0,0,1255.9,0,0,0,-1,-1,0,0,0,0,0,9668,0,0,3.567,0,0,7.026,0,south_atlantic_reference_naturalgas,627.95,90.959,2,6,6,0.64,0.64,1,0.56,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,PJM_AP,4,0
PJM_AP_natural_gas_fired_combustion_turbine_1,5,1,0,0,0,0,0,0,0,0,299.6,0,0,0,-1,-1,0,0,0,0,0,13830,0,0,5.06,0,0,10.694,0,south_atlantic_reference_naturalgas,29.96,117.941,3.5,1,1,0.64,0.64,1,0.126,0,1,1,0,0,0.63,1.26,Natural Gas Fired Combustion Turbine,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,PJM_AP,1,0
PJM_AP_natural_gas_fired_combustion_turbine_2,5,1,0,0,0,0,0,0,0,0,1169.298,0,0,0,-1,-1,0,0,0,0,0,9637,0,0,5.06,0,0,10.468,0,south_atlantic_reference_naturalgas,194.883,117.941,3.5,1,1,0.64,0.64,1,0.522,0,1,1,0,0,0.63,1.26,Natural Gas Fired Combustion Turbine,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,PJM_AP,2,0
PJM_AP_onshore_wind_turbine_1,5,0,0,0,0,0,1,0,1,0,1121.895,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,8.875,0,None,74.793,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Onshore Wind Turbine,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,1,1,PJM_AP,1,0
PJM_AP_small_hydroelectric_1,5,0,1,0,0,0,0,0,0,-1,114.38,0,0,0,-1,-1,0,0,0,0,0,46475,0,0,0,0,0,8.773,0,None,3.01,0,0,0,0,1,1,1,0.055,0,1,1,0,0,0,0,Small Hydroelectric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,PJM_AP,1,0
PJM_AP_solar_photovoltaic_1,5,0,0,0,0,0,1,0,1,0,213.808,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,9.126,0,None,7.636,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Solar Photovoltaic,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,1,1,PJM_AP,1,0
PJM_ATSI_conventional_hydroelectric_1,7,0,0,0,0,1,0,0,0,-1,0.4,0,0,0,-1,-1,0,0,0,0,0,46475,0,0,0,0,0,9.21,0,None,0.4,0,0,0,0,0.083,0.083,0,0,0,1,1,0,0,0,0,Conventional Hydroelectric,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,1,PJM_ATSI,1,0
PJM_ATSI_conventional_steam_coal_1,7,1,0,0,0,0,0,0,0,0,17.5,0,0,0,-1,-1,0,0,0,0,0,72227,0,0,1.857,0,0,15.782,0,east_north_central_reference_coal,17.5,122.396,16.5,24,24,0.57,0.57,1,0.343,0,1,1,0,0,0.095,0.19,Conventional Steam Coal,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,PJM_ATSI,1,0
PJM_ATSI_natural_gas_fired_combined_cycle_1,7,1,0,0,0,0,0,0,0,0,4880.196,0,0,0,-1,-1,0,0,0,0,0,10809.763,0,0,3.543,0,0,6.578,0,east_north_central_reference_naturalgas,406.683,90.959,2,6,6,0.64,0.64,1,0.246,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,PJM_ATSI,1,0
PJM_ATSI_natural_gas_fired_combined_cycle_2,7,1,0,0,0,0,0,0,0,0,442.701,0,0,0,-1,-1,0,0,0,0,0,16291,0,0,4.495,0,0,7.014,0,east_north_central_reference_naturalgas,63.243,90.959,2,6,6,0.64,0.64,1,0.103,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,PJM_ATSI,2,0
PJM_ATSI_natural_gas_fired_combined_cycle_3,7,1,0,0,0,0,0,0,0,0,28.6,0,0,0,-1,-1,0,0,0,0,0,16291,0,0,4.495,0,0,18.278,0,east_north_central_reference_naturalgas,28.6,90.959,2,6,6,0.64,0.64,1,0.294,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,PJM_ATSI,3,0
PJM_ATSI_natural_gas_fired_combined_cycle_4,7,1,0,0,0,0,0,0,0,0,685.1,0,0,0,-1,-1,0,0,0,0,0,9668,0,0,3.567,0,0,13.648,0,east_north_central_reference_naturalgas,685.1,90.959,2,6,6,0.64,0.64,1,0.463,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,PJM_ATSI,4,0
PJM_ATSI_natural_gas_fired_combustion_turbine_1,7,1,0,0,0,0,0,0,0,0,180.502,0,0,0,-1,-1,0,0,0,0,0,13830,0,0,5.06,0,0,15.427,0,east_north_central_reference_naturalgas,25.786,117.941,3.5,1,1,0.64,0.64,1,0.792,0,1,1,0,0,0.63,1.26,Natural Gas Fired Combustion Turbine,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,PJM_ATSI,1,0
PJM_ATSI_natural_gas_fired_combustion_turbine_2,7,1,0,0,0,0,0,0,0,0,1623.902,0,0,0,-1,-1,0,0,0,0,0,9671.341,0,0,5.06,0,0,11.641,0,east_north_central_reference_naturalgas,115.993,117.941,3.5,1,1,0.64,0.64,1,0.477,0,1,1,0,0,0.63,1.26,Natural Gas Fired Combustion Turbine,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,PJM_ATSI,2,0
PJM_ATSI_nuclear_1,7,1,0,0,0,0,0,0,0,0,1268,0,0,0,-1,-1,0,0,0,0,0,271818,0,0,0,0,0,10.446,0,east_north_central_reference_uranium,1268,1000,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0.041666667,0.083333333,Nuclear,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,1,PJM_ATSI,1,0
PJM_ATSI_nuclear_2,7,1,0,0,0,0,0,0,0,0,908,0,0,0,-1,-1,0,0,0,0,0,271818,0,0,0,0,0,10.446,0,east_north_central_reference_uranium,908,1000,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0.041666667,0.083333333,Nuclear,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,1,PJM_ATSI,2,0
PJM_ATSI_onshore_wind_turbine_1,7,0,0,0,0,0,1,0,1,0,8,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,8.773,0,None,1.6,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Onshore Wind Turbine,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,1,1,PJM_ATSI,1,0
PJM_ATSI_small_hydroelectric_1,7,0,1,0,0,0,0,0,0,-1,5.769,0,0,0,-1,-1,0,0,0,0,0,46475,0,0,0,0,0,8.773,0,None,0.641,0,0,0,0,1,1,1,0.094,0,1,1,0,0,0,0,Small Hydroelectric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,PJM_ATSI,1,0
PJM_ATSI_solar_photovoltaic_1,7,0,0,0,0,0,1,0,1,0,368.1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,9.159,0,None,18.405,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Solar Photovoltaic,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,1,1,PJM_ATSI,1,0
PJM_COMD_conventional_hydroelectric_1,6,0,0,0,0,1,0,0,0,-1,17.204,0,0,0,-1,-1,0,0,0,0,0,46475,0,0,0,0,0,9.21,0,None,1.564,0,0,0,0,0.083,0.083,0,0,0,1,1,0,0,0,0,Conventional Hydroelectric,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,1,PJM_COMD,1,0
PJM_COMD_conventional_steam_coal_1,6,1,0,0,0,0,0,0,0,0,42.4,0,0,0,-1,-1,0,0,0,0,0,75057,0,0,1.857,0,0,11.373,0,east_north_central_reference_coal,42.4,122.396,16.5,24,24,0.57,0.57,1,0.236,0,1,1,0,0,0.095,0.19,Conventional Steam Coal,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,PJM_COMD,1,0
PJM_COMD_natural_gas_fired_combined_cycle_1,6,1,0,0,0,0,0,0,0,0,2366,0,0,0,-1,-1,0,0,0,0,0,12182,0,0,3.515,0,0,6.41,0,east_north_central_reference_naturalgas,591.5,90.959,2,6,6,0.64,0.64,1,0.3,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,PJM_COMD,1,0
PJM_COMD_natural_gas_fired_combined_cycle_2,6,1,0,0,0,0,0,0,0,0,195,0,0,0,-1,-1,0,0,0,0,0,16291,0,0,4.495,0,0,12.698,0,east_north_central_reference_naturalgas,195,90.959,2,6,6,0.64,0.64,1,0.344,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,PJM_COMD,2,0
PJM_COMD_natural_gas_fired_combined_cycle_3,6,1,0,0,0,0,0,0,0,0,1213.2,0,0,0,-1,-1,0,0,0,0,0,9668,0,0,3.567,0,0,7.131,0,east_north_central_reference_naturalgas,404.4,90.959,2,6,6,0.64,0.64,1,0.625,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,PJM_COMD,3,0
PJM_COMD_natural_gas_fired_combined_cycle_4,6,1,0,0,0,0,0,0,0,0,1260,0,0,0,-1,-1,0,0,0,0,0,12182,0,0,3.515,0,0,7.67,0,east_north_central_reference_naturalgas,315,90.959,2,6,6,0.64,0.64,1,0.492,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,PJM_COMD,4,0
PJM_COMD_natural_gas_fired_combustion_turbine_1,6,1,0,0,0,0,0,0,0,0,8632.664,0,0,0,-1,-1,0,0,0,0,0,9678.266,0,0,5.06,0,0,11.553,0,east_north_central_reference_naturalgas,104.008,117.941,3.5,1,1,0.64,0.64,1,0.497,0,1,1,0,0,0.63,1.26,Natural Gas Fired Combustion Turbine,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,PJM_COMD,1,0
PJM_COMD_natural_gas_fired_combustion_turbine_2,6,1,0,0,0,0,0,0,0,0,74.802,0,0,0,-1,-1,0,0,0,0,0,13830,0,0,5.06,0,0,9.689,0,east_north_central_reference_naturalgas,5.754,117.941,3.5,1,1,0.64,0.64,1,0.31,0,1,1,0,0,0.63,1.26,Natural Gas Fired Combustion Turbine,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,PJM_COMD,2,0
PJM_COMD_nuclear_1,6,1,0,0,0,0,0,0,0,0,4203,0,0,0,-1,-1,0,0,0,0,0,190920,0,0,0,0,0,10.446,0,east_north_central_reference_uranium,1050.75,1000,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0.041666667,0.083333333,Nuclear,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,1,PJM_COMD,1,0
PJM_COMD_nuclear_2,6,1,0,0,0,0,0,0,0,0,2313,0,0,0,-1,-1,0,0,0,0,0,190920,0,0,0,0,0,10.446,0,east_north_central_reference_uranium,1156.5,1000,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0.041666667,0.083333333,Nuclear,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,1,PJM_COMD,2,0
PJM_COMD_onshore_wind_turbine_1,6,0,0,0,0,0,1,0,1,0,4396.284,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,8.941,0,None,122.119,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Onshore Wind Turbine,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,1,1,PJM_COMD,1,0
PJM_COMD_small_hydroelectric_1,6,0,1,0,0,0,0,0,0,-1,14.982,0,0,0,-1,-1,0,0,0,0,0,46475,0,0,0,0,0,8.773,0,None,0.681,0,0,0,0,1,1,1,0.219,0,1,1,0,0,0,0,Small Hydroelectric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,PJM_COMD,1,0
PJM_COMD_solar_photovoltaic_1,6,0,0,0,0,0,1,0,1,0,170.471,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,9.123,0,None,2.401,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Solar Photovoltaic,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,1,1,PJM_COMD,1,0
PJM_Dom_conventional_hydroelectric_1,8,0,0,0,0,1,0,0,0,-1,616.2,0,0,0,-1,-1,0,0,0,0,0,46475,0,0,0,0,0,8.776,0,None,25.675,0,0,0,0,0.083,0.083,0,0.0458,0,1,1,0,0,0,0,Conventional Hydroelectric,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,1,PJM_Dom,1,0
PJM_Dom_conventional_steam_coal_1,8,1,0,0,0,0,0,0,0,0,913.5,0,0,0,-1,-1,0,0,0,0,0,64246.862,0,0,1.857,0,0,10.729,0,south_atlantic_reference_coal,304.5,122.396,16.5,24,24,0.57,0.57,1,0.288,0,1,1,0,0,0.095,0.19,Conventional Steam Coal,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,PJM_Dom,1,0
PJM_Dom_hydroelectric_pumped_storage_1,8,0,0,1,0,0,0,1,0,-1,3003,46546.5,0,0,-1,-1,0,0,0,0,0,40113,0,0,0,0,0,0,0,None,500.5,0,0,0,0,1,1,1,0.414,0,0.866,0.866,0,200,0,0,Hydroelectric Pumped Storage,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,PJM_Dom,1,0
PJM_Dom_natural_gas_fired_combined_cycle_1,8,1,0,0,0,0,0,0,0,0,1466.2,0,0,0,-1,-1,0,0,0,0,0,12182,0,0,3.515,0,0,6.981,0,south_atlantic_reference_naturalgas,1466.2,90.959,2,6,6,0.64,0.64,1,0.474,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,PJM_Dom,1,0
PJM_Dom_natural_gas_fired_combined_cycle_2,8,1,0,0,0,0,0,0,0,0,2039.001,0,0,0,-1,-1,0,0,0,0,0,9668,0,0,3.567,0,0,7.139,0,south_atlantic_reference_naturalgas,679.667,90.959,2,6,6,0.64,0.64,1,0.488,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,PJM_Dom,2,0
PJM_Dom_natural_gas_fired_combined_cycle_3,8,1,0,0,0,0,0,0,0,0,3381.9,0,0,0,-1,-1,0,0,0,0,0,12182,0,0,3.515,0,0,6.509,0,south_atlantic_reference_naturalgas,845.475,90.959,2,6,6,0.64,0.64,1,0.148,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,PJM_Dom,3,0
PJM_Dom_natural_gas_fired_combined_cycle_4,8,1,0,0,0,0,0,0,0,0,1015.2,0,0,0,-1,-1,0,0,0,0,0,12182,0,0,3.515,0,0,7.248,0,south_atlantic_reference_naturalgas,1015.2,90.959,2,6,6,0.64,0.64,1,0.345,0,1,1,0,0,0.106666667,0.213333333,Natural Gas Fired Combined Cycle,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,PJM_Dom,4,0
PJM_Dom_natural_gas_fired_combustion_turbine_1,8,1,0,0,0,0,0,0,0,0,3359,0,0,0,-1,-1,0,0,0,0,0,9637,0,0,5.06,0,0,10.603,0,south_atlantic_reference_naturalgas,167.95,117.941,3.5,1,1,0.64,0.64,1,0.486,0,1,1,0,0,0.63,1.26,Natural Gas Fired Combustion Turbine,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,PJM_Dom,1,0
PJM_Dom_natural_gas_fired_combustion_turbine_2,8,1,0,0,0,0,0,0,0,0,59.5,0,0,0,-1,-1,0,0,0,0,0,13830,0,0,5.06,0,0,9.66,0,south_atlantic_reference_naturalgas,59.5,117.941,3.5,1,1,0.64,0.64,1,0.3,0,1,1,0,0,0.63,1.26,Natural Gas Fired Combustion Turbine,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,PJM_Dom,2,0
PJM_Dom_nuclear_1,8,1,0,0,0,0,0,0,0,0,1958,0,0,0,-1,-1,0,0,0,0,0,190920,0,0,0,0,0,10.446,0,south_atlantic_reference_uranium,979,1000,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0.041666667,0.083333333,Nuclear,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,1,PJM_Dom,1,0
PJM_Dom_nuclear_2,8,1,0,0,0,0,0,0,0,0,1750,0,0,0,-1,-1,0,0,0,0,0,190920,0,0,0,0,0,10.446,0,south_atlantic_reference_uranium,875,1000,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0.041666667,0.083333333,Nuclear,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,1,PJM_Dom,2,0
PJM_Dom_onshore_wind_turbine_1,8,0,0,0,0,0,1,0,1,0,208,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,8.773,0,None,208,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,Onshore Wind Turbine,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,1,1,PJM_Dom,1,0
