H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,H2PipeCompCapex,H2PipeCompEnergy
50,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1000,0,51.25,90608.5,201,0.36,0,31,5.07E+04,0.15,225784,0.289
51,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1000,0,51.25,90608.5,140,0.36,0,31,5.07E+04,0.15,225784,0.289
52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1000,0,51.25,90608.5,140,0.36,0,31,5.07E+04,0.15,225784,0.289
53,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1000,0,51.25,90608.5,75,0.36,0,31,5.07E+04,0.15,225784,0.289
54,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1000,0,51.25,90608.5,75,0.36,0,31,5.07E+04,0.15,225784,0.289
55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1000,0,51.25,90608.5,99,0.36,0,31,5.07E+04,0.15,225784,0.289
56,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1000,0,51.25,90608.5,99,0.36,0,31,5.07E+04,0.15,225784,0.289
57,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1000,0,51.25,90608.5,92,0.36,0,31,5.07E+04,0.15,225784,0.289
58,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1000,0,51.25,90608.5,92,0.36,0,31,5.07E+04,0.15,225784,0.289
59,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1000,0,51.25,90608.5,103,0.36,0,31,5.07E+04,0.15,225784,0.289
60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1000,0,51.25,90608.5,103,0.36,0,31,5.07E+04,0.15,225784,0.289
61,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,1000,0,51.25,90608.5,152,0.36,0,31,5.07E+04,0.15,225784,0.289
62,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,1000,0,51.25,90608.5,152,0.36,0,31,5.07E+04,0.15,225784,0.289
