,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture,Capture
t40,1.4810720316667612,95.09928816517252,0.167347226873372,0.24968120511516478,12.747782615810564,1.4953813950564696,224.31467331566063,298.01617760481025,0.11096092654925332,14.834306463291346
t41,1.4809032506223052,95.09909061933868,0.16730038639129952,0.24954647357767612,12.747652674543392,1.4953818342323102,224.314658014609,298.016162239117,0.11096345206055677,14.834243352520046
t42,1.4808894357305316,95.09908258004236,0.16730299714149333,0.24953706258062902,12.747670094463327,1.4953824463962961,224.3146663018504,298.016159145555,0.11096901577778284,14.834241016682949
t43,1.480885177548798,95.09908501288446,0.16734289216211448,0.24953538183678992,12.747656660691206,1.4953835860444875,224.31468352915462,298.01615747781,0.11096947250871136,14.834291450525697
t44,1.4808877405401977,95.09909449604773,0.16735154312248368,0.24953864611085838,12.747652994778829,1.4953851407695726,224.31467602911718,298.01614743422505,0.11097094572308176,14.834296969115973
t45,1.4810025356826018,95.09922229245745,0.16733862935900837,0.2496306571803525,12.747740857374476,1.4953901290823002,224.3146346775187,298.0161560478569,0.11097599327799795,14.834289524164157
t46,1.4809991533443492,95.09922696771069,0.16735497657060902,0.2496311376324264,12.747744790645386,1.495490797159196,224.31496104005552,298.01620429675353,0.11097668136032932,14.834282691571481
t47,1.480986564458124,95.09922020881257,0.16742899245435375,0.24963400809646338,12.747752647963031,1.4955696937203624,224.31520849133807,298.0161858951603,0.1109761793949226,14.834290708067716
t48,1.4810033083449334,95.09924170238355,0.16743444341784092,0.24964352889326125,12.747763356967793,1.4955763802048518,224.31522081353876,298.0162007493005,0.11098005783909465,14.83429041768346
t49,1.4813244023195293,95.0995798489483,0.1674524078522931,0.24982002429929262,12.748016760999102,1.4955781289859797,224.3152144721538,298.0164138256177,0.11099030716352813,14.834290862054113
t50,1.481672196627632,95.09994640849037,0.16747526972581475,0.25014920173483535,12.74830529630427,1.4955742605917506,224.3152065504352,298.01666407681813,0.11100297493650865,14.834287099102543
t51,1.48164842514999,95.09992349387802,0.16747599378585093,0.25013384300296454,12.748288906727298,1.4955887817206615,224.31521319218797,298.01664036013824,0.11100597239523927,14.834281230256192
t52,1.4816656552475653,95.09992734816487,0.1674692981393344,0.25016673604243606,12.748303234330349,1.4955859033081311,224.31521503571392,298.01664561419165,0.11100726509766909,14.834280397505214
t53,1.4810295031666707,95.09926147602118,0.16736288996949805,0.24969232540499314,12.747777064435642,1.495589201755914,224.3152090915748,298.01619826727904,0.11099308674534307,14.834283694654424
t54,1.4809080005628985,95.09913828858974,0.1673761741497627,0.24960361900594946,12.74769998317718,1.4955869479857002,224.31520118835275,298.0161217221209,0.11098929672171298,14.83431190504577
t55,1.4808493216209813,95.09904494628721,0.16730957756063755,0.2495137977469814,12.74763359006813,1.495587467824726,224.31520148992158,298.0160870999375,0.11098775010290012,14.834296141903499
t56,1.480871043082795,95.09906536167254,0.16718863264337325,0.24927768009909287,12.747635084702821,1.4954364162756166,224.314748562784,298.0161229024593,0.11099251582231025,14.834165588125982
t57,1.480831088734208,95.09907379262917,0.16712123566233333,0.24916746565029066,12.747617204211096,1.495392689472216,224.31467074130742,298.0161120851185,0.11099094116117258,14.834039095102083
t58,1.480830190686432,95.09907343789229,0.1671488266313521,0.24920909896507837,12.747601618262427,1.4953707670904837,224.3146824552298,298.0161245130764,0.11098795269330787,14.83404405926178
t59,1.4808336064893373,95.09906415054907,0.16715299739397396,0.24920446861512235,12.747597248049935,1.4953641347497975,224.31471421415438,298.01612978851455,0.11098495794871656,14.834022847614314
t60,1.480839966611011,95.09905904262261,0.16722459928509187,0.2492274179596231,12.747596257022465,1.4953636910817663,224.31472258843394,298.01613911799967,0.1109907535038478,14.83413250096187
t61,1.4808348810517615,95.09904615093234,0.1672021015059298,0.2491761209951919,12.747597853533968,1.4953671746967818,224.3147210989383,298.0161302216194,0.11099638458415965,14.83410320040907
t62,1.4808303553521456,95.09904887891891,0.16722014700276808,0.24923913274544843,12.747592022122396,1.4953660059486205,224.31472650112667,298.01612518678445,0.1110022057110227,14.834131864620764
t63,1.480735782742015,95.09905425017536,0.16724239342408753,0.24928476463761148,12.747586834300737,1.495366966674964,224.31470782315472,298.01605512801854,0.11100724527901445,14.834151668074853
t64,1.4808689266191282,95.09909261513042,0.16725143726422562,0.24931222247874868,12.74762227660951,1.4953669310072768,224.31467241114942,298.01615643048234,0.11101347515387328,14.834157886242386
t65,1.480878567196646,95.09903662827885,0.16717276708812823,0.2492820633073325,12.747600090999665,1.4953671873404983,224.31462643498432,298.01616854371775,0.1110171951975935,14.834046292889361
t66,1.4808800016524792,95.09871998369863,0.16684637236974767,0.24889523467332897,12.747387225443454,1.4953262601195532,224.3145823659781,298.0161796767978,0.1110183951033441,14.833695558627642
t67,1.480876251866106,95.09903351054855,0.16715045165853507,0.2492214718718921,12.747618945377296,1.4953259019778968,224.314595274906,298.01616585629864,0.11102322307208992,14.834126244245114
t68,1.4808799395397132,95.09906354640842,0.16726859788587736,0.24931048290336838,12.747627534849116,1.4953344064209408,224.31458907697487,298.0161704787598,0.11102352927888842,14.834167884461229
t69,1.4808970812984852,95.09911154722415,0.1673682358917561,0.24956797794443608,12.74765148085577,1.4953331802233776,224.31460328007225,298.0161904461582,0.11102590377798054,14.834281077624556
