,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions
t38,1.1693483203355748,75.40290484742549,0.13149568338389045,0.19276854971401666,10.103394558649711,1.1817924619509512,177.94388874861184,236.4110764123626,0.08177117151339261,11.763003979068749
t39,1.1693549139350115,75.40290876843368,0.13149748117963836,0.19277453593534935,10.103395811801136,1.181796222051305,177.94388512172705,236.41108275000724,0.08177232657084554,11.763006350912136
t40,1.1694185178217342,75.40295801879464,0.1315360066976265,0.1928165279583003,10.103437737189477,1.1817984466546596,177.94387179005452,236.41109491222446,0.08177247149967432,11.763013372190317
t41,1.1693622309102276,75.40289455733121,0.1315283980845756,0.19277732569553727,10.103409906145743,1.181794586276488,177.94386046643052,236.41108960251813,0.08176892255847527,11.763008009127365
t42,1.1693550892615716,75.40289298410693,0.13153007251474386,0.19277305165760686,10.103421093338023,1.181795429737101,177.94386457420995,236.41108807466,0.08177262834674469,11.763005986882476
t43,1.1693535317676205,75.40290559580863,0.13151180158804557,0.19277653585854812,10.10341375639608,1.1817976667896288,177.9438749540138,236.4110882170922,0.08177896150119028,11.76300279155338
t44,1.1693543217301723,75.40290971253154,0.13151297793456496,0.19277787838297059,10.103410949352147,1.1817989080233102,177.9438700434922,236.41108241688156,0.08178006481645325,11.76300597608767
t45,1.1693810949347843,75.4029290349574,0.13152801502852726,0.19279132227690263,10.10341938552953,1.1818038661968016,177.94384459858756,236.41108223193532,0.0817824356591555,11.763005715334675
t46,1.169383783579376,75.40293408616871,0.1315305112580936,0.19280056553295286,10.10342195257153,1.18170313415823,177.9438923919544,236.41110526863483,0.08179333795638985,11.763020205623654
t47,1.169388656902418,75.4029512181909,0.13149188996403313,0.19281257155074782,10.103417259586001,1.179102971201879,177.94171002141488,236.4111058777584,0.0819167020511326,11.763048101309808
t48,1.1693965112115428,75.40296115335805,0.13149451714376229,0.19281705093050513,10.103421871353161,1.1790287953924228,177.94164283300373,236.4111137535571,0.081920045552327,11.763048249846436
t49,1.169380248307937,75.40286679262059,0.1315756359051491,0.1928725517639566,10.103328868104477,1.1790043960103567,177.94161542594992,236.41113132830603,0.08195472854239928,11.763061584728556
t50,1.1682801912165124,75.4016081553742,0.1316518997424859,0.19201689704744035,10.101612961848847,1.1791328960203606,177.94159382178444,236.4102730164093,0.08222838506485096,11.763073449737481
t51,1.168169968539626,75.40149376898408,0.13165073001990082,0.1919129521439532,10.10136845540018,1.167793561659666,177.94162325644945,236.41023518625923,0.08225362765426832,11.763070343769511
t52,1.1680872471536374,75.40141877836362,0.1316489794319435,0.19184274086453165,10.101232891082862,1.1676987333114304,177.94162415198875,236.41029733476643,0.08226150173919283,11.763070454658722
t53,1.1693960186855692,75.40294018577347,0.13155158859952185,0.19282475306437707,10.103414907341053,1.1670446396507481,177.9416445302137,236.41110934710724,0.08191972632997492,11.763045566899676
t54,1.169370050865219,75.40292697318957,0.13154941965195502,0.19281482177660028,10.103417948025259,1.1674456947529157,177.94163964295646,236.41108590490987,0.08190970432365724,11.763056085281594
t55,1.1693300340654098,75.40289493365984,0.1315554272503124,0.1927767100864218,10.103403102512642,1.1679173335633801,177.9416577959327,236.4110690570274,0.0819002058235323,11.763051991567261
t56,1.1693298971207233,75.40282530495175,0.1315486338277648,0.19275194609712687,10.103411963131878,1.181786722989014,177.94387067066756,236.41107196920512,0.08175282734838596,11.76300502231641
t57,1.1693266762033796,75.40280779073932,0.13151850247262903,0.19270697515656807,10.103397664469842,1.181796492436158,177.94386053544454,236.41106541923892,0.081739072486677,11.76295900949845
t58,1.169326111220147,75.40280995773638,0.13153319897763144,0.19273023504144646,10.103388111674114,1.181800051146688,177.94388388802213,236.41106988825632,0.081737660903493,11.762963033191827
t59,1.1693282181360092,75.40280748556124,0.13153483720629366,0.19272751769916743,10.103385275943042,1.181798318987898,177.94390072878366,236.41107234193328,0.08173599326726003,11.762950866080082
t60,1.1693331203269,75.4028248004202,0.13153211636147874,0.1927465942536497,10.103385181605304,1.1818004602911478,177.94390651159307,236.41107870649535,0.08175075008269783,11.762988030623788
t61,1.1693293903281512,75.40281716970213,0.13151951168513615,0.19271954308150752,10.10338597593771,1.1818013320333907,177.94390581591688,236.41107381103285,0.08175469137190006,11.76297216613858
t62,1.1693280208739163,75.40281869877253,0.13152926183547367,0.19275418256596005,10.103382799680142,1.1818011133306188,177.9439100093341,236.41107222091588,0.0817585266991423,11.7629871713649
