,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage,Injection to Storage
Zone,1,2,3,4,5,6,7,8,9,10
t39,0.0,0.0,0.0,0.0,0.0,1.9581689068291728,235.99947373885595,319.51042455816724,75.04236213071044,15.962234445543341
t40,0.0,0.0,0.0,0.0,0.0,2.0125105508788286,236.11397589747602,319.3455790902143,74.9978976292913,16.003246956191425
t41,0.0,0.0,0.0,0.0,0.0,1.9492807836496446,235.99069803827123,319.48662488598217,75.06619347848945,15.97986265195765
t42,0.0,0.0,0.0,0.0,0.0,1.949639367773579,235.99112704590507,319.48546107291475,75.06598257308987,15.980447208041758
t43,0.0,0.0,0.0,0.0,0.0,1.9580475341720038,236.00273383814755,319.5049803467255,75.04364053808023,15.963298848861532
t44,0.0,0.0,0.0,0.0,0.0,1.9583477209853037,236.00421930292288,319.5054863945177,75.04074714252542,15.963909296664271
t45,0.0,0.0,0.0,0.0,0.0,2.004500564825558,236.10611978124788,319.3605510939461,75.00402998148155,15.997743367368836
t46,0.0,0.0,0.0,0.0,0.0,1.8810736177510259,236.02270027725643,319.4419851567325,75.04879121784096,16.078623562272924
t47,0.0,0.0,0.0,0.0,0.0,1.1131188853119987,235.17430895709538,319.8840184602265,75.36221226733242,16.935031204179932
t48,0.0,0.0,0.0,0.0,0.0,1.1032084974387042,235.16192730517616,319.88989499959933,75.36381139442764,16.94979590594222
t49,0.0,0.0,0.0,0.0,0.0,1.116635673657298,235.50031924684538,319.4900585338241,75.2891668197512,17.072980184788275
t50,0.0,0.0,0.0,0.0,0.0,2.741095465898855,236.08521544365612,316.0411083155827,74.26851343021906,19.328592144650347
t51,0.0,0.0,0.0,0.0,0.0,1.351255390127999,236.26135761038077,316.53064708339804,74.42988150359876,19.879454203312932
t52,0.0,0.0,0.0,0.0,0.0,1.4506435707950072,236.17187997917526,316.4471128977575,74.42245976670127,19.960124143343435
t53,0.0,0.0,0.0,0.0,0.0,0.6493214694036958,235.26032318085663,319.8976383799835,75.39598606846101,17.253434628433975
t54,0.0,0.0,0.0,0.0,0.0,0.6800154040840525,235.19395063144967,319.9431441444991,75.40996513908856,17.229733074369676
t55,0.0,0.0,0.0,0.0,0.0,0.6973248541001635,235.19065231213116,319.96297380859585,75.41596608608187,17.190043564089915
t56,0.0,0.0,0.0,0.0,0.0,1.893699775427932,235.97885855666175,319.45731273916743,75.21420795715403,15.928253110452202
t57,0.0,0.0,0.0,0.0,0.0,1.9152180496015192,235.9575828207709,319.43794299444187,75.22867447357194,15.932533593783882
t58,0.0,0.0,0.0,0.0,0.0,1.9315384711524297,235.95873955170623,319.4299924588599,75.22490738421732,15.926856993633038
t59,0.0,0.0,0.0,0.0,0.0,1.9313836960500848,235.95741502123437,319.4304206709511,75.22631576277861,15.926496407420112
t60,0.0,0.0,0.0,0.0,0.0,1.9377929873093078,235.96407849423017,319.46507515527935,75.20245945989296,15.902820967821889
t61,0.0,0.0,0.0,0.0,0.0,1.9374191918548842,235.96501914266003,319.4643126796681,75.20378276224821,15.901577614780495
t62,0.0,0.0,0.0,0.0,0.0,1.9381037612931014,235.9642144054895,319.4643994131653,75.20259022357943,15.902905809771712
t63,0.0,0.0,0.0,0.0,0.0,1.9304786324755328,235.93747000823763,319.4907311248196,75.21607425443649,15.897385295698479
t64,0.0,0.0,0.0,0.0,0.0,1.9535278570375039,235.99773843074146,319.423789699212,75.18836797606271,15.908968560545196
t65,0.0,0.0,0.0,0.0,0.0,1.9368273606140798,235.99357197953694,319.40788599319137,75.2102549793994,15.923605057691287
t66,0.0,0.0,0.0,0.0,0.0,1.9084953454114957,236.0122662017894,319.4598676623497,75.22169994830094,15.868371939914491
t67,0.0,0.0,0.0,0.0,0.0,1.9699871535757818,235.98787799903906,319.40711200764423,75.21198934635954,15.89511458641803
t68,0.0,0.0,0.0,0.0,0.0,1.9727233509968027,235.98644349781068,319.4391402096728,75.17813053717315,15.895929417345496
t69,0.0,0.0,0.0,0.0,0.0,2.0023264735323565,235.9973158418169,319.4916122180943,75.03579022353287,15.945741769493475
t70,0.0,0.0,0.0,0.0,0.0,2.014410664114494,235.99533103481835,319.4733706239854,75.03910214463845,15.95073489926543
t71,0.0,0.0,0.0,0.0,0.0,2.0065926058733474,235.93773969623408,319.45034160133946,75.10959989288148,15.96881435918132
t72,0.0,0.0,0.0,0.0,0.0,1.9665439314024837,235.96685633113626,319.43963658541713,75.09693222700719,16.003341727315643
t73,0.0,0.0,0.0,0.0,0.0,1.9451843312904789,235.9494670133819,319.4571430833992,75.10460733835158,16.016892015564018
t74,0.0,0.0,0.0,0.0,0.0,1.944863964595917,235.94981684607723,319.4575487201505,75.10412161163268,16.01692455635308
t75,0.0,0.0,0.0,0.0,0.0,1.960551838431987,235.980717711451,319.4031975463618,75.1137710411706,16.015002019067843
t76,0.0,0.0,0.0,0.0,0.0,1.979292336153887,236.0301941137901,319.3307117489297,75.11392376646312,16.01912088739778
t77,0.0,0.0,0.0,0.0,0.0,1.2732957630031225,235.21727681506727,319.8604896877808,75.39846703670396,16.720142904467846
t78,0.0,0.0,0.0,0.0,0.0,1.903474053293348,235.8911132600242,319.4815561142024,75.211197521932,15.985558922170354
t79,0.0,0.0,0.0,0.0,0.0,1.9205019655027495,235.89220929450792,319.4292588725051,75.24446792751525,15.985942907210061
t80,0.0,0.0,0.0,0.0,0.0,1.9701630804414207,235.95742047044507,319.3742898953098,75.22408580830987,15.945961210732586
t81,0.0,0.0,0.0,0.0,0.0,1.9627945637412707,235.96386340819583,319.3561273622296,75.2061920315958,15.922065828474848
t82,0.0,0.0,0.0,0.0,0.0,1.9442249522780475,235.98989930554,319.08580463852394,75.32779825520663,8.443244240587612
t83,0.0,0.0,0.0,0.0,0.0,1.9473623044294581,235.9552705855591,319.3973113540989,75.20889478279202,15.901989947717354
t84,0.0,0.0,0.0,0.0,0.0,1.9658564267778156,235.95927528482963,319.3787936277212,75.22459863918142,15.943551545816172
t85,0.0,0.0,0.0,0.0,0.0,1.9659801044016985,235.95893206105657,319.37957330311986,75.22467095192984,15.94334790996616
t86,0.0,0.0,0.0,0.0,0.0,1.9960658590648017,235.9516298943006,319.40881926706874,75.19964059017282,15.91643106901227
