Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0,Total
t12,0.0,0.0,0.0,0.3587027920010729,0.0,0.0,0.0,1.008591418491318,0.0,0.0,0.0,0.4378873252310499,0.0,0.0,0.0,0.459373333194712,0.0,0.0,0.0,1.1189446052802345,0.0,0.0,0.0,0.3378827030645074,0.0,0.0,0.0,0.8285155756230911,0.0,0.0,0.0,0.33176476100531804,0.0,0.0,0.0,0.389609574051769,0.0,0.0,0.0,0.7250458361820569,5.99631792412513
t13,0.0,0.0,0.0,0.3759265692342868,0.0,0.0,0.0,0.9589878570944828,0.0,0.0,0.0,0.44198208196735217,0.0,0.0,0.0,0.4318895921289936,0.0,0.0,0.0,1.7606183340458093,0.0,0.0,0.0,0.3464969536508401,0.0,0.0,0.0,0.8479159860629085,0.0,0.0,0.0,0.34543730674271456,0.0,0.0,0.0,0.38995269011317496,0.0,0.0,0.0,0.7290772979887621,6.628284669029323
t14,0.0,0.0,0.0,0.36980289361360097,0.0,0.0,0.0,0.8848270928572677,0.0,0.0,0.0,0.4500398068641207,0.0,0.0,0.0,0.4502594967027219,0.0,0.0,0.0,1.746538034777843,0.0,0.0,0.0,0.35282009131574277,0.0,0.0,0.0,0.8085897324022148,0.0,0.0,0.0,0.34944060918445263,0.0,0.0,0.0,0.3904749470240644,0.0,0.0,0.0,0.7330538854444864,6.535846590186516
t15,0.0,0.0,0.0,0.35627634625292226,0.0,0.0,0.0,0.7843177777978521,0.0,0.0,0.0,0.45501313919968167,0.0,0.0,0.0,0.4603061619081129,0.0,0.0,0.0,1.7085608864761115,0.0,0.0,0.0,0.35218690644225403,0.0,0.0,0.0,0.8143558212407631,0.0,0.0,0.0,0.34212188137176747,0.0,0.0,0.0,0.3885544163566799,0.0,0.0,0.0,0.7375504679213113,6.399243804967456
t16,0.0,0.0,0.0,0.34794055785083133,0.0,0.0,0.0,1.4458840088201992,0.0,0.0,0.0,0.47615682912848356,0.0,0.0,0.0,0.5404031939024849,0.0,0.0,0.0,3.085908673911531,0.0,0.0,0.0,0.3668699413659401,0.0,0.0,0.0,2.3410102680509777,0.0,0.0,0.0,0.35110206289727847,0.0,0.0,0.0,0.40354880535951665,0.0,0.0,0.0,0.8133889303458938,10.172213271633137
t17,0.0,0.0,0.0,0.3985374864925303,0.0,0.0,0.0,1.4714755242935726,0.0,0.0,0.0,0.4375306047318264,0.0,0.0,0.0,0.4556086457763513,0.0,0.0,0.0,2.9783773628326538,0.0,0.0,0.0,0.3495424862832583,0.0,0.0,0.0,2.0338228321710736,0.0,0.0,0.0,0.33684139527850787,0.0,0.0,0.0,0.3899999804530337,0.0,0.0,0.0,0.8047975670418166,9.656533885354627
t18,0.0,0.0,0.0,0.31006236833740225,0.0,0.0,0.0,1.446966148413439,0.0,0.0,0.0,0.4397084712950433,0.0,0.0,0.0,0.4291315690034921,0.0,0.0,0.0,0.9426645446327462,0.0,0.0,0.0,0.30718747821399855,0.0,0.0,0.0,1.1330638128340347,0.0,0.0,0.0,0.3187363976203766,0.0,0.0,0.0,0.39327410931668855,0.0,0.0,0.0,0.8188804393834814,6.539675339050704
t19,0.0,0.0,0.0,0.33659968839689686,0.0,0.0,0.0,1.4802507947604922,0.0,0.0,0.0,0.44458533939232847,0.0,0.0,0.0,0.4394673344466479,0.0,0.0,0.0,1.4629394998236651,0.0,0.0,0.0,0.021463800485871744,0.0,0.0,0.0,0.00810743078042359,0.0,0.0,0.0,0.32659595627160626,0.0,0.0,0.0,0.3946469400554112,0.0,0.0,0.0,0.8360194121707973,5.75067619658414
t20,0.0,0.0,0.0,0.3569262806288509,0.0,0.0,0.0,1.2902390657652945,0.0,0.0,0.0,0.4556188222161702,0.0,0.0,0.0,0.5242073111069819,0.0,0.0,0.0,1.4341712849487518,0.0,0.0,0.0,0.35104146139205217,0.0,0.0,0.0,0.7625945075960806,0.0,0.0,0.0,0.3933894776575614,0.0,0.0,0.0,0.39376994475812566,0.0,0.0,0.0,0.7439844671159155,6.705942623185784
t21,0.0,0.0,0.0,0.35214448593010744,0.0,0.0,0.0,1.52049932704514,0.0,0.0,0.0,0.47527760393740826,0.0,0.0,0.0,0.6140200522146215,0.0,0.0,0.0,1.5583441665143032,0.0,0.0,0.0,0.47482406983148867,0.0,0.0,0.0,0.882222163327778,0.0,0.0,0.0,0.485595938057407,0.0,0.0,0.0,0.40482931331093264,0.0,0.0,0.0,0.7700563241583617,7.53781344432755
