Resource,Small_Electrolyzer_1,Small_Electrolyzer_2,Small_Electrolyzer_3,Flex_Demand_1,Large_SMR_1,Large_SMR_2,Large_SMR_3,Large_SMR_wCCS_90pct_1,Large_SMR_wCCS_90pct_2,Large_SMR_wCCS_90pct_3,Above_ground_storage_1,Above_ground_storage_2,Above_ground_storage_3,Total
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.67578663849086,25.027374999999996,87.70316163849085
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,28.867083333333326,111.77862947129411
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,26.967374999999997,109.87892113796079
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,30.277083333333326,113.1886294712941
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,28.947083333333328,111.85862947129411
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,63.809033860713086,24.577083333333327,97.5366294712941
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,47.11103386071309,18.277083333333326,74.5386294712941
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.961438361509099,25.30103386071309,10.06708333333333,41.329555555555515
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9414383615090998,1.6597005273797565,1.1670833333333306,4.768222222222187
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0114383615091,0.0,1.3170833333333292,3.328521694842429
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.541438361509099,22.861033860713093,9.147083333333327,37.54955555555552
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1114383615091,37.94103386071309,13.927958333333606,59.9804305555558
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,53.43103386071309,20.657083333333325,83.2386294712941
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,66.68103386071309,25.647083333333327,101.4786294712941
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,69.95045713769605,27.217374999999997,106.31834441494374
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,30.277083333333326,113.1886294712941
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,27.097374999999996,110.00892113796078
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,66.0910338607131,25.42708333333333,100.66862947129411
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.231438361509099,38.64103386071309,15.087083333333329,61.95955555555551
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9414383615090998,7.541033860713085,3.377083333333328,13.859555555555513
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4914383615091005,4.901033860713085,2.3770833333333243,9.76955555555551
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.481438361509099,28.38103386071309,7.787374999999994,42.64984722222218
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.071438361509099,43.60103386071309,16.957083333333326,69.62955555555551
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,62.45103386071309,24.057083333333328,95.6586294712941
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,28.547083333333326,111.4586294712941
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,73.7610338607131,30.277083333333326,113.1886294712941
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,71.62578663849087,28.097374999999996,108.87367391573855
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.603192059797628,73.7610338607131,30.277083333333326,109.64130925384406
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.150512277247685,60.59658941626864,25.037083333333328,94.78418502684966
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8414383615091,31.926589416268655,14.237083333333327,54.00511111111108
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7880277777777618,0.0,2.007083333333327,3.7951111111110887
t79,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
t80,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
t81,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
