Zone,1,2,3,Total
t149,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t150,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t151,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t152,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t153,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t154,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t155,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t156,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t157,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t158,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t159,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t160,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t161,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t162,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t163,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t164,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t165,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t166,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t167,0.0,961.8859541644212,309.64254391556796,1271.528498079989
t168,0.0,961.8859541644212,309.64254391556796,1271.528498079989
