t,SE_Electrolyzer,MIDAT_Electrolyzer,NE_Electrolyzer,SE_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct,NE_Large_SMR_wCCS_96pct,SE_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct,NE_ATR_wCCS_94pct,SE_Above_ground_storage,MIDAT_Above_ground_storage,NE_Above_ground_storage
22,23736.25027272688,29872.88726695293,3866.380425268172,2.576036526633562e-12,2.3929750991098008e-12,1.7208385576887126e-12,2.5147705833119996e-12,2.416068971454543e-12,1.7579100780191947e-12,9.892050806518557e-12,1.1225972429158774e-11,1.1667365494137814e-11
23,23736.250272726877,29872.88726695292,3866.3804252680743,2.5762609611059183e-12,2.392108341784014e-12,1.7208411760735502e-12,2.5175947639995374e-12,2.41816797994743e-12,1.7652929319944227e-12,9.934872190634997e-12,1.1173076906218926e-11,1.1642452376449914e-11
24,23736.250272726877,29872.887266952952,3866.3804252681093,2.5757829263738055e-12,2.3913239199987398e-12,1.7198365386190838e-12,2.5159118501133146e-12,2.4152570267556556e-12,1.7648739591541316e-12,9.978305373783271e-12,1.1221909203845606e-11,1.1685219667426032e-11
25,23736.250272727386,29872.88726695322,3866.3804252681916,2.574890031131044e-12,2.3905604001045266e-12,1.7193418477104185e-12,2.5143067287342525e-12,2.4129183888753886e-12,1.7646456809301728e-12,9.914322139193528e-12,1.1155624727843973e-11,1.1593201662143076e-11
26,23736.250272726884,29872.887266952945,3866.3804252681257,2.577319977813448e-12,2.3927225915904992e-12,1.7205860485223816e-12,2.5128836082708587e-12,2.411103188323383e-12,1.7647154781787115e-12,9.859897504925254e-12,1.1107700873796031e-11,1.1499308097679226e-11
27,23736.25027272688,29872.887266952883,3866.380425268128,2.5763704826565168e-12,2.391986166192711e-12,1.7208788575563207e-12,2.5115664366549937e-12,2.4094685861555074e-12,1.7651792438950599e-12,9.926232577295173e-12,1.1272088649068587e-11,1.159522722720941e-11
28,23736.250272726877,29872.887266952934,3866.3804252680657,2.5745696994419534e-12,2.3906910502280744e-12,1.7195973643494999e-12,2.510119659583014e-12,2.407773307074819e-12,1.764650386991074e-12,9.882085857397162e-12,1.1157989884552192e-11,1.1499539655410443e-11
29,23736.25027272686,29872.8872669529,3866.3804252680657,2.5732022719954794e-12,2.389665352733854e-12,1.7188924419584938e-12,2.5088713808226637e-12,2.406153079698425e-12,1.7640864384671734e-12,9.883941389873684e-12,1.1169903646277118e-11,1.1479612224276844e-11
30,23736.250272727033,29872.887266952755,3866.3804252681375,2.573144432075848e-12,2.389738504103359e-12,1.7189028865838023e-12,2.5081903444290616e-12,2.4048431811655707e-12,1.7638577245810223e-12,9.89032208203266e-12,1.11588187219463e-11,1.1459844145645173e-11
31,23736.250272726877,29872.887266952945,3866.380425268099,2.5779121720291404e-12,2.3937975262807195e-12,1.7223009567023357e-12,2.507906584186353e-12,2.403293108065338e-12,1.761713039990535e-12,9.993608655757923e-12,1.1270792975507327e-11,1.1535945244348919e-11
32,23736.250272726877,29872.88726695295,3866.380425268351,2.5818059362587993e-12,2.3972138918584614e-12,1.724920194045618e-12,2.5083028055220164e-12,2.401945492713769e-12,1.7613136209314925e-12,9.890932003596115e-12,1.1335977706925438e-11,1.1525865205365315e-11
33,23736.250272726877,29872.887266952886,3866.3804252682353,2.5825961532713637e-12,2.3978850215081232e-12,1.7270217114461069e-12,2.509214664711337e-12,2.4004123419432847e-12,1.7603415353910403e-12,9.942006005330715e-12,1.1418855971573586e-11,1.1585330909541372e-11
34,23736.250272726928,29872.88726695293,3866.3804252681293,2.581348152520544e-12,2.396832436813168e-12,1.7258730447232979e-12,2.5103137454388548e-12,2.3982642435693856e-12,1.759185787363039e-12,9.955097702521073e-12,1.1430113398566367e-11,1.1526905965686243e-11
35,23736.25027272679,29872.887266952795,3866.3804252681016,2.5792604305741212e-12,2.3951015235265593e-12,1.7254964342954414e-12,2.5119946146906666e-12,2.3956454269728415e-12,1.7579867493732932e-12,9.727150241880482e-12,1.1107306889377573e-11,1.1343103699556439e-11
36,23736.250272726877,29872.88726695295,3866.3804252681116,2.5817878481033964e-12,2.3969084067229173e-12,1.7255648057061499e-12,2.5145422704268355e-12,2.392677719984862e-12,1.7562202520453599e-12,9.966426939223426e-12,1.1294913708426486e-11,1.1297798008772649e-11
37,23736.250272726877,29872.88726695297,3866.3804252681653,2.582470604723976e-12,2.3970659422670965e-12,1.7240652157838467e-12,2.518366190521066e-12,2.3897622760587458e-12,1.7547200065300095e-12,9.952197804051606e-12,1.134312266235269e-11,1.1253634224876446e-11
38,23736.250272726877,29872.88726695294,3866.3804252681225,2.582394499085531e-12,2.396220016413893e-12,1.7217961074730057e-12,2.523090394536852e-12,2.3862749335144044e-12,1.7537109653004936e-12,1.0155481396654781e-11,1.158883250796976e-11,1.1532595553605039e-11
39,23736.25027272688,29872.887266952956,3866.380425268111,2.577225193501465e-12,2.3906096901848617e-12,1.7186242884096826e-12,2.5350596761835518e-12,2.3902728771651813e-12,1.7680940594652461e-12,1.0144317146558524e-11,1.1562779387037956e-11,1.1581586615909325e-11
40,23736.250272726807,29872.887266952977,3866.380425268424,2.5665145623425586e-12,2.379746367456107e-12,1.7085346902105251e-12,2.5417072365382076e-12,2.385266295576473e-12,1.7652691643723028e-12,9.759790304100824e-12,1.132669082698637e-11,1.0829737989976478e-11
41,17762.91557279807,29872.887266953276,3866.3804252688465,2.552951459209055e-12,2.3669090259019337e-12,1.7032173050808611e-12,2.5497980163792872e-12,2.3795583160611626e-12,1.7629573626615006e-12,2.541978384062642e-11,1.0504258711640417e-11,1.0839511620283891e-11
42,17054.01979206708,29872.887266951784,3866.380425267209,2.5427871982834325e-12,2.3589360706546488e-12,1.699087196403357e-12,2.561944690893693e-12,2.3748751826420047e-12,1.7630661405365126e-12,2.5592244208719526e-11,1.0594833020195515e-11,1.088959420026659e-11
43,17563.339238354907,29872.887266952835,3866.3804252675022,2.5354993925886046e-12,2.3554521128551663e-12,1.6995124122497533e-12,2.5781823105660517e-12,2.370527736033383e-12,1.7634803736951223e-12,2.5567087378255193e-11,1.0538150108051374e-11,1.0832392068150623e-11
44,20782.407029139325,29872.887266953207,3866.380425268409,2.5282704778155968e-12,2.3552853816883303e-12,1.7011727313954687e-12,2.599032319530579e-12,2.3669139408060704e-12,1.7629977769935345e-12,2.537340782312861e-11,1.0528101098582892e-11,1.0780388164081438e-11
45,23736.250272726822,29872.88726695343,3866.3804252682817,2.5183974666642756e-12,2.358580248471849e-12,1.7063760522913337e-12,2.624922548255672e-12,2.363994542163625e-12,1.7633261359228769e-12,9.454213045167137e-12,1.0669612192504712e-11,1.0763612044558683e-11
46,23736.250272726942,29872.887266950987,3866.380425268167,2.5144892714160866e-12,2.3630757174901666e-12,1.7143503182999247e-12,2.65704796367664e-12,2.361009017646457e-12,1.7641747495547925e-12,9.425139083132639e-12,1.0607497313714269e-11,1.1374725853302966e-11
47,23736.250272726844,29872.887266953327,3866.3804252681975,2.509876248633638e-12,2.364209461919603e-12,1.71851429816337e-12,2.6978886920187196e-12,2.361315016869672e-12,1.7657870857496337e-12,9.461642868602344e-12,1.0734847304132273e-11,1.143860161362101e-11
48,23736.250272726833,29872.887266953112,3866.3804252680125,2.5089968480818418e-12,2.3643691656193816e-12,1.7196020767804225e-12,2.74468589013255e-12,2.3580727825078247e-12,1.765917960541593e-12,9.471178535356219e-12,1.0734026213627053e-11,1.1468697236804572e-11
49,23736.250272726895,29872.887266953203,3866.3804252680707,2.518831720900888e-12,2.3639381479231674e-12,1.7196611212623719e-12,2.8012764680652404e-12,2.354801741921134e-12,1.7659753108459153e-12,9.423687332547512e-12,1.0733061280408593e-11,1.1401791088128069e-11
50,23736.25027272711,29872.887266952894,3866.380425268214,2.5559800817812697e-12,2.36390507634751e-12,1.719129758875761e-12,2.8704796683789426e-12,2.3517259417269283e-12,1.7669195972447362e-12,9.378910929019912e-12,1.0744336071072213e-11,1.135246340138298e-11
51,23736.25027272698,29872.88726695274,3866.380425268052,2.6550534111147116e-12,2.366049146153662e-12,1.721271961583639e-12,2.9557727474384725e-12,2.3485356832032187e-12,1.767594246702222e-12,9.330793118960612e-12,1.0792652820896135e-11,1.1387213397985246e-11
52,22085.112794985922,29872.88726695354,3866.3804252682003,2.8566501812181586e-12,2.3656845557339456e-12,1.7197726852779223e-12,3.0631246461491126e-12,2.3451828925492623e-12,1.767647333640499e-12,2.5401185364472467e-11,1.1047424218516034e-11,1.1365686192679716e-11
53,14770.99999998494,25381.534546905186,3866.380425268169,3.2685602629975925e-12,2.3653021349448363e-12,1.7183254243354949e-12,3.203972874456696e-12,2.3412298003023115e-12,1.7674354705302179e-12,3.797369114709284e-11,2.6330749897302303e-11,1.1378075318003199e-11
54,2637.3611414140987,7239.826153609041,3866.3804252681084,3.8822939730412725e-12,2.368167307172328e-12,1.716910962897528e-12,3.373385529441946e-12,2.338088028213302e-12,1.767518165704333e-12,12133.638858588405,126.17384639081884,1.129330885259123e-11
55,2637.3611414140987,7245.70813465973,3866.3804252680534,4.142861989368735e-12,2.369678452405644e-12,1.7194188745307641e-12,3.495312697792852e-12,2.334178747610796e-12,1.7679207815459966e-12,12133.638858587727,120.29186534019827,1.1258466815643564e-11
56,6582.844909907734,29872.88726695287,3866.380425268089,4.277575372562957e-12,2.3737456442363137e-12,1.7274482147473682e-12,3.595730611228364e-12,2.3309747450259243e-12,1.768252917478775e-12,8188.15509009303,1.3258511403374149e-11,1.1448619059678917e-11
57,19830.78084479737,29872.887266953087,3866.380425268073,4.329176972834329e-12,2.3718715621028856e-12,1.7313080345033956e-12,3.676872796640926e-12,2.329316795144846e-12,1.7686189411326592e-12,1.2831786131907577e-11,1.2387677505642033e-11,1.1601424796767804e-11
58,18452.387511313835,25054.595652027918,3866.3804252681175,4.345622163845033e-12,2.3707954974379678e-12,1.7314246996358737e-12,3.742931866158577e-12,2.3265338269540465e-12,1.7679098986977197e-12,1.2991066387438377e-11,2.6193965497061176e-11,1.1590285665172209e-11
59,16458.194585643996,17960.950981715934,3866.3804252681225,4.346449838181497e-12,2.368831045243e-12,1.7325988527306596e-12,3.796842809750818e-12,2.323616622787461e-12,1.7677276708075446e-12,1.3116299782715071e-11,2.6598176420695656e-11,1.15598108254854e-11
60,18499.450316434144,19936.690675013055,3866.3804252680798,4.338712349031751e-12,2.366719929979387e-12,1.7314224121332584e-12,3.840854357096711e-12,2.3208190949604042e-12,1.7670274887761894e-12,1.3276799951216603e-11,2.6813896291192865e-11,1.1562791391155797e-11
61,19974.361837732416,29872.88726695296,3866.380425268101,4.323750470317118e-12,2.3646419617381245e-12,1.7325090353753732e-12,3.87548505349604e-12,2.3178375406153548e-12,1.765707814753533e-12,1.2955831609116264e-11,1.2391684519946305e-11,1.151385323620361e-11
62,20356.879411077844,29872.887266952857,3866.3804252681275,4.291627137532424e-12,2.3598275505206135e-12,1.7300874296662045e-12,3.9027947367495215e-12,2.3150328636327993e-12,1.765948363361102e-12,1.293227982239119e-11,1.2538352798187332e-11,1.1584466310229287e-11
63,20559.417532325173,29872.887266960766,3866.3804252681966,4.236759388683386e-12,2.352542425604739e-12,1.7285177874276586e-12,3.922419080452343e-12,2.3194675663385803e-12,1.7687603844066972e-12,1.2906837296284993e-11,1.7418387872295207e-11,1.1563565350185225e-11
64,4711.084115096355,3319.209696328105,3866.3804252681125,4.1510922765099095e-12,2.339923854491944e-12,1.7213135972902619e-12,3.935712147912509e-12,2.315609979757994e-12,1.7667410476661242e-12,10059.915884904718,4046.790303670612,1.1413765876449336e-11
65,2637.361141414098,3319.209696328105,3866.380425267978,3.996729596475052e-12,2.3331228969753952e-12,1.7166283212719347e-12,3.925860963706635e-12,2.313713279593293e-12,1.7646712975426105e-12,12133.638858584285,4046.7903036724297,1.1340514408297031e-11
66,2637.361141414098,3319.209696328105,3866.380425268113,4.006463156513555e-12,2.3376320203420417e-12,1.7166363105094395e-12,3.962929139290348e-12,2.313532440120567e-12,1.764729642333146e-12,12133.638858586946,4046.7903036733796,1.1226005106159595e-11
67,2637.361141414098,16408.224140595183,3866.380425268123,4.067478598667032e-12,2.3478076293258235e-12,1.718366541376318e-12,4.0085709796267345e-12,2.3153928565836435e-12,1.764697660480734e-12,12133.638858587376,2.6214232175100868e-11,1.141788605737788e-11
68,2713.8824792048495,21685.885919905846,3866.380425268189,4.2020309337341615e-12,2.3548943565649657e-12,1.7185345348781032e-12,4.081114334994709e-12,2.3168546340907788e-12,1.76267762790625e-12,12057.117520796375,2.6510590598483874e-11,1.1377088858120673e-11
69,12076.170901965763,29872.887266952963,3866.3804252681052,4.2814850380123335e-12,2.3602821719764757e-12,1.7190465727692884e-12,4.13774452243067e-12,2.3185799399711617e-12,1.760549012230803e-12,2694.829098037377,1.299477535391196e-11,1.1395478158431164e-11
70,23736.250272724075,29872.887266952835,3866.380425268173,4.3173165879150444e-12,2.3636355772995864e-12,1.7193513912386235e-12,4.189743562260191e-12,2.3201164061294665e-12,1.7592677098414806e-12,5.074784397752936e-12,1.2844369900245695e-11,1.1374055090403503e-11
71,23736.25027272765,29872.88726695294,3866.380425268098,4.334332483252504e-12,2.3662828700421645e-12,1.7213576743948953e-12,4.224112346696658e-12,2.3283290632579223e-12,1.7691903281694276e-12,4.849275916500625e-12,1.2799780442641768e-11,1.1412337193239848e-11
72,23736.250272727288,29872.887266952945,3866.38042526802,4.340788753896373e-12,2.3663721656437708e-12,1.7208145438325127e-12,4.264987100955357e-12,2.3292364702240925e-12,1.766845933486449e-12,4.804895735385705e-12,1.2878878732571982e-11,1.1550082928468733e-11
73,23736.250272727688,29872.88726695293,3866.3804252678565,4.344077831922712e-12,2.3659193998865286e-12,1.720152092283039e-12,4.302874236171768e-12,2.329866396954142e-12,1.764310396933151e-12,4.694403249342533e-12,1.2795694597609874e-11,1.1499061485525558e-11
74,23736.250272727742,29872.887266952923,3866.380425268117,4.352207617293154e-12,2.3651267358905636e-12,1.71886040755921e-12,4.337834102211922e-12,2.3304446224858917e-12,1.7627327576371295e-12,4.624825047992004e-12,1.2793934266589168e-11,1.154324703517411e-11
75,23736.25027272591,29872.887266953017,3866.3804252680347,4.373083824924571e-12,2.3643569178232e-12,1.7183338091141032e-12,4.372037324813524e-12,2.33114006415149e-12,1.761028562227741e-12,4.554678877695937e-12,1.2767670234491549e-11,1.1566956552572901e-11
76,23736.25027272764,29872.887266952956,3866.3804252681057,4.4129112297155995e-12,2.3646714962107384e-12,1.7169579547558576e-12,4.4049245044560615e-12,2.3317860163404306e-12,1.7584342249626485e-12,4.448158726517389e-12,1.2744624920373863e-11,1.1534543742410164e-11
77,14947.987938364955,29872.887266952937,3866.380425268055,4.479980623522735e-12,2.362550519155751e-12,1.7129623242569116e-12,4.437348540167343e-12,2.332436711224808e-12,1.7557796115571195e-12,1.3162945872022665e-11,1.2896118906915056e-11,1.1706659833912229e-11
78,2637.3611414140983,28743.88341265947,3866.3804252681334,4.58600027902375e-12,2.3599684275344168e-12,1.7062554379506782e-12,4.476877454886611e-12,2.332995598405749e-12,1.7530202619339363e-12,12133.63885858317,2.6373440046632104e-11,1.1160613818041354e-11
79,2637.3611414140983,28624.243392974953,3866.3804252684,4.649447822158708e-12,2.3591164153268095e-12,1.7044028176132025e-12,4.504956092022177e-12,2.334335279351966e-12,1.7497184005827472e-12,12133.638858588232,2.6033230209814236e-11,1.1255840613320404e-11
80,2637.3611414140983,29872.887266952883,3866.380425270273,4.691135473259993e-12,2.3617547280073836e-12,1.7069948143788688e-12,4.531210129158042e-12,2.337104936659471e-12,1.7486519106669905e-12,12133.638858585748,1.2711956502104337e-11,1.1174614969188408e-11
81,2637.3611414141064,29872.88726695292,3866.380425264839,4.719959392740684e-12,2.3667859356904503e-12,1.7110824799108936e-12,4.553482676121156e-12,2.3399504798535253e-12,1.7476581154509171e-12,12133.63885858333,1.2622846702985032e-11,1.1269372783849457e-11
82,2637.361141414103,28647.18442341613,3866.3804252747254,4.7322731372586525e-12,2.3683755631019758e-12,1.710725946353153e-12,4.571647904490352e-12,2.343986384201072e-12,1.746058573673107e-12,12133.638858583476,2.5749725735144935e-11,1.1360293568424178e-11
83,2637.3611414141023,28574.042663236476,3866.3804252694154,4.737577976813922e-12,2.3683897570750798e-12,1.7127992247206475e-12,4.58458420043976e-12,2.3480642846620213e-12,1.7455457375443654e-12,12133.638858585557,2.5877747297481436e-11,1.2600882844348558e-11
84,2637.3611414140987,28731.46622225923,3866.3804252618256,4.737531501445708e-12,2.3685597957201575e-12,1.7134433447567743e-12,4.592643202296513e-12,2.3528833462393795e-12,1.7455682740238849e-12,12133.638858587085,2.624637095026276e-11,1.2192653172164602e-11
85,2637.361141414102,29872.8872669596,3866.3804252793666,4.7381574089772876e-12,2.3682752940735056e-12,1.7141641046700725e-12,4.5991160388330464e-12,2.35873762931137e-12,1.7460805549295252e-12,12133.638858584194,1.2691114154743411e-11,1.1538773813436053e-11
86,2637.3611414141055,29872.887266953185,3866.380425298628,4.7350388269520785e-12,2.3712104218080257e-12,1.7155845391830694e-12,4.600279765555413e-12,2.3651783693050987e-12,1.7475152475273498e-12,12133.638858586914,1.3213298460759172e-11,1.1583521010634011e-11
87,2637.3611414141055,29872.887266952854,3866.3804252678133,4.728748519428749e-12,2.3666911758913208e-12,1.7168073548201635e-12,4.595264836214053e-12,2.3793838649456226e-12,1.761839710064165e-12,12133.638858585558,1.2758366228975656e-11,2.4659609460020545e-11
88,2637.3611414140987,15351.076001198751,429.597825029791,4.717724730759934e-12,2.3630236640655527e-12,1.7130509387336137e-12,4.588894410525341e-12,2.3874009794763306e-12,1.7636606040934758e-12,12133.638858586475,2.7156083027745377e-11,1382.402174969874
89,2637.361141414098,14409.349191465302,429.59782502979107,4.703215863396321e-12,2.3578766780936726e-12,1.7095168429143418e-12,4.576986355780658e-12,2.396671643239699e-12,1.7661814578685793e-12,12133.638858588156,2.7165426481638686e-11,1382.40217497032
90,2637.3611414140983,21568.939133968077,429.59782502979107,4.711329887373623e-12,2.3551823090251534e-12,1.7076149412006692e-12,4.572385525951548e-12,2.408103560767999e-12,1.7720280055863345e-12,12133.638858585771,2.583749068097248e-11,1382.4021749703581
91,2637.3611414140983,27499.5866397316,429.5978250297911,4.72234045720634e-12,2.3555066490907e-12,1.709732394658705e-12,4.56206196477361e-12,2.4211892284548524e-12,1.7783001778637632e-12,12133.638858585735,2.6244762384863255e-11,1382.402174970116
92,4324.803610935327,29872.887266952912,2706.294344039907,4.736419082779166e-12,2.3526367186058637e-12,1.7087034793998467e-12,4.5506262650357705e-12,2.4362885070572306e-12,1.7848945440325067e-12,10446.196389064316,1.2840741180255747e-11,2.9423995575396966e-11
93,14355.805524969468,29872.887266952803,3866.380425267734,4.745007301912587e-12,2.349977817239793e-12,1.7077179057995587e-12,4.532625422049285e-12,2.4531209944206536e-12,1.792601588045006e-12,415.1944750340873,1.2838815391192244e-11,2.3897091735690815e-11
94,14407.641020902733,29872.887266952835,3866.3804252678847,4.7488019427904445e-12,2.3475923527720452e-12,1.7069872256675374e-12,4.5092396005056154e-12,2.472320271178941e-12,1.8025587263839057e-12,363.35897909628585,1.2863261202545186e-11,2.7537680641930717e-11
95,14419.778707540494,29872.88726695276,3866.380425268021,4.750260675181128e-12,2.347939610198588e-12,1.7084267333746338e-12,4.478851247598538e-12,2.4969914135250955e-12,1.814584999399904e-12,351.22129245887146,1.2865083747358318e-11,1.2618169320490379e-11
96,14434.942006210591,29872.887266952654,3866.3804252681052,4.746506891919215e-12,2.35635031216099e-12,1.7159324162143812e-12,4.443323872800924e-12,2.5220612346871353e-12,1.8279106883915884e-12,336.0579937906282,1.2848411916634722e-11,1.2719953143422728e-11
97,14417.817676921784,29872.887266952886,3866.3804252683335,4.733843800701445e-12,2.3779856488572374e-12,1.7209540795904325e-12,4.400829736964945e-12,2.5507500953686665e-12,1.8423994539441163e-12,353.18232307870187,1.2897671956322669e-11,1.2722601117516805e-11
98,14383.125390135423,29872.887266952523,3866.3804252681884,4.706243540038105e-12,2.437913682422808e-12,1.728610616406755e-12,4.349610065752345e-12,2.5835532579072114e-12,1.8588955219787898e-12,387.87460986293974,1.2919021157389635e-11,1.273851312604197e-11
99,11002.358198737285,23827.178439826126,3866.3804252681084,4.655153461743392e-12,2.554874891844154e-12,1.746883693981819e-12,4.28815850499808e-12,2.621416166144362e-12,1.8775184147369243e-12,3768.641801258552,2.631977543582192e-11,1.294477207762883e-11
100,2637.3611414140987,16670.855125085764,3866.3804252681284,4.562316539647181e-12,2.7688888396644894e-12,1.7815746449541228e-12,4.213797674262173e-12,2.665934439914978e-12,1.8976918912445623e-12,12133.638858586297,2.6469781639333902e-11,1.302023229499029e-11
101,2637.361141414098,4165.863967516071,3866.380425267893,4.412285586839595e-12,3.227834449744823e-12,1.8481357629056887e-12,4.116749780381076e-12,2.726636204020492e-12,1.920210084087829e-12,12133.638858585295,3200.136032483879,1.4530790125082896e-11
102,2637.361141414098,3319.2096963281047,429.59782502978936,4.295894639789671e-12,3.2461525554715733e-12,1.9711276825843982e-12,4.041294499740617e-12,2.7464718307840584e-12,1.9469418611664266e-12,12133.638858586572,67000.74119282898,1382.4021749704475
103,2637.361141414098,3319.2096963281047,429.5978250297893,4.190272292197306e-12,3.2610138522904727e-12,2.0350337164342376e-12,3.958449751934519e-12,2.768473329056878e-12,1.9725051719001197e-12,12133.638858582473,67000.74119282953,1382.4021749705344
104,2637.361141414098,3319.2096963281047,429.59782502978936,4.285335852641627e-12,3.275570428172181e-12,2.086622547794122e-12,3.959362431545195e-12,2.7905552439040338e-12,1.9971432796122516e-12,12133.638858586986,67000.74119282883,1382.402174970179
105,2637.361141414098,3319.2096963281047,429.5978250297894,4.391200050682826e-12,3.2739111930827236e-12,2.1211177035629973e-12,3.959753057835134e-12,2.8080248503969824e-12,2.021125323343404e-12,12133.638858587643,67000.74119282857,1382.4021749702933
