,Power Emissions,HSC Emissions,CSC Emissions,BSEC Emissions,Total
t76,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t77,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t78,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t79,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t80,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t81,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t82,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t83,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t84,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t85,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t86,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t87,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t88,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t89,892.4041607187879,802.8255357859633,0.8313004915698683,-5484.7421981045345,-3788.6812011082134
t90,5378.977484538206,802.8255357859633,0.8313004915698683,-5484.7421981045345,697.892122711205
t91,892.4041607187878,709.2507402337374,0.8313004915698683,-5484.7421981045345,-3882.2559966604395
t92,0.0,802.6735637040214,0.8313004915698683,-5484.7421981045345,-4681.237333908944
t93,4486.573323819418,802.8255357859633,0.8313004915698683,-5484.7421981045345,-194.51203800758321
t94,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t95,4486.573323819418,802.8255357859633,0.8313004915698683,-5484.7421981045345,-194.51203800758321
t96,4366.650397659776,802.8255357859633,0.8313004915698683,-5484.7421981045345,-314.4349641672252
t97,793.9412972217403,802.8255357859633,0.8313004915698683,-5484.7421981045345,-3887.144064605261
t98,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t99,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t100,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t101,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t102,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t103,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t104,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t105,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t106,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t107,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t108,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t109,7585.318902820237,802.8255357859633,0.8313004915698683,-5484.7421981045345,2904.233540993234
t110,11295.72816450208,802.8255357859633,0.8313004915698683,-5484.7421981045345,6614.642802675077
t111,15680.533925011125,802.8255357859633,0.8313004915698683,-5484.7421981045345,10999.448563184123
t112,19138.633986859913,802.8255357859633,0.8313004915698683,-5484.7421981045345,14457.548625032912
t113,22976.77157875696,802.8255357859633,0.8313004915698683,-5484.7421981045345,18295.68621692996
t114,25095.33851004256,802.8255357859633,0.8313004915698683,-5484.7421981045345,20414.253148215557
t115,26490.633826862515,802.8255357859633,0.8313004915698683,-5484.7421981045345,21809.548465035514
t116,26169.359678363257,802.8255357859633,0.22996026487773402,-5484.7421981045345,21487.672976309565
t117,25472.187968630195,802.8255357859633,0.8313004915698683,-5484.7421981045345,20791.102606803193
t118,25080.028881905346,802.8255357859633,0.8313004915698683,-5484.7421981045345,20398.943520078345
t119,25030.03990029349,802.8255357859633,0.8313004915698683,-5484.7421981045345,20348.95453846649
t120,24921.482774909167,802.8255357859633,0.8313004915698683,-5484.7421981045345,20240.397413082166
t121,11554.062310534886,802.8255357859633,0.8313004915698683,-5484.7421981045345,6872.976948707884
t122,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t123,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t124,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t125,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t126,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t127,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t128,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t129,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t130,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t131,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t132,0.0,802.8255357859633,0.8313004915698683,-5484.7421981045345,-4681.085361827001
t133,3231.6514211606186,802.8255357859633,0.8313004915698683,-5484.7421981045345,-1449.4339406663826
t134,15095.415155434632,802.8255357859633,0.8313004915698683,-5484.7421981045345,10414.32979360763
t135,22854.0242085716,802.8255357859633,0.8313004915698683,-5484.7421981045345,18172.9388467446
t136,24562.860682222963,802.8255357859633,0.8313004915698683,-5484.7421981045345,19881.775320395962
t137,23060.027275617344,802.8255357859633,0.8313004915698683,-5484.7421981045345,18378.941913790342
t138,25497.48317183299,802.8255357859633,0.8313004915698683,-5484.7421981045345,20816.39781000599
t139,23399.042274402975,802.8255357859633,0.8313004915698683,-5484.7421981045345,18717.956912575974
t140,24778.842867285064,802.8255357859633,0.8313004915698683,-5484.7421981045345,20097.757505458063
t141,24429.99921872853,802.8255357859633,0.8313004915698683,-5484.7421981045345,19748.91385690153
t142,20240.149170511748,802.8255357859633,0.8313004915698683,-5484.7421981045345,15559.063808684747
t143,20087.323845173385,802.8255357859633,0.8313004915698683,-5484.7421981045345,15406.238483346384
t144,18046.13073748887,802.8255357859633,0.8313004915698683,-5484.7421981045345,13365.04537566187
t145,18387.475672241715,802.8255357859633,0.8313004915698683,-5484.7421981045345,13706.390310414714
t146,10091.000085144125,802.8255357859633,0.8313004915698683,-5484.7421981045345,5409.914723317123
