,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level,Source_Zone_CO2_Net,Sink_Zone_CO2_Net,Pipe_Level
Pipe,1,1,1,2,2,2
Zone,"[""z1""]","[""z2""]",NA,"[""z2""]","[""z3""]",NA
t51,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t52,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t53,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t54,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t55,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t56,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t57,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t58,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t59,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t60,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t61,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t62,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t63,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t64,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t65,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t66,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t67,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t68,7926.5158611208135,-7926.5158611208135,0.0,3018.8467872250503,-3018.8467872250503,0.0
t69,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t70,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t71,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
t72,7926.5158611208135,-7926.5158611208135,0.0,3018.84678722505,-3018.84678722505,0.0
