,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
t47,13510.368242651408,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17.774666666667486,-13492.59357598474
t48,12106.474101566,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-23.14666666666666,-12083.327434899333
t49,11172.194247733585,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-11144.86758106692
t50,10638.33354700921,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-10611.006880342544
t51,10350.385058823229,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-10323.058392156561
t52,10253.525252398535,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-22.94666666666667,-10230.578585731868
t53,10447.03028239815,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13.626666666666662,-10433.403615731482
t54,11239.34314726709,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-3.0466666666666633,-11236.296480600424
t55,12886.220299768274,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-12886.220299768274
t56,14455.667811137282,0.0,0.0,-25.66528821131797,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-14430.002522925965
t57,15157.230091629248,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15157.230091629248
t58,15572.338313649185,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15572.338313649185
t59,15892.864915462047,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15892.864915462047
t60,16040.296260814375,0.0,0.0,-3.457101259335438,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16036.83915955504
t61,16017.021515307992,0.0,0.0,-1.200493576744946,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16015.821021731244
t62,16022.733847146807,0.0,25.66528821131797,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16048.399135358124
t63,15927.544842871308,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15927.544842871308
t64,15806.69055038449,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15806.69055038449
t65,15838.217757120181,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15838.217757120181
t66,15826.657781317095,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15826.657781317095
t67,15586.00010323465,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15586.00010323465
t68,15348.53999871006,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-2.1466666666666647,-15346.393332043395
t69,15386.996298554564,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10.126666666666662,-15376.869631887897
t70,14920.319104410382,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15.306666666666663,-14905.012437743715
t71,13499.587546174751,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-21.706666666666663,-13477.880879508084
t72,12067.057825918411,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-25.766666666666662,-12041.291159251745
t73,11073.408999961754,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-11046.082333295086
t74,10492.257489133839,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-10464.930822467173
t75,10131.79642545577,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-10104.469758789102
t76,10015.66029498966,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-22.586666666666666,-9993.073628322993
t77,10195.083535403806,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12.846666666666664,-10182.23686873714
t78,10896.558407630433,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.8066666666666649,-10894.751740963766
t79,12527.861049872583,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-12527.861049872583
t80,14038.014252512201,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-14038.014252512201
t81,14821.990793339728,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-14821.990793339728
t82,15274.931663442496,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15274.931663442496
t83,15642.749075358895,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15642.749075358895
t84,15801.436015928542,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15801.436015928542
t85,15857.134081161597,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15857.134081161597
t86,15981.141094321983,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15981.141094321983
t87,16021.075556187192,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16021.075556187192
t88,16049.992181776983,0.0,0.0,-13.15302222194101,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16036.83915955504
t89,16048.826393152563,0.0,11.13271800865087,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-16059.959111161214
t90,15939.104818674394,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15939.104818674394
t91,15566.032872302047,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-15566.032872302047
t92,15212.743916637779,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.8666666666666636,-15211.877249971112
t93,15259.9674716118,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9.206666666666663,-15250.760804945132
t94,14945.891776690125,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14.606666666666662,-14931.285110023458
t95,13497.08573239237,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-21.306666666666665,-13475.779065725705
t96,12012.170667576545,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-25.526666666666664,-11986.644000909879
t97,10964.114683278023,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-10936.788016611355
t98,10307.29787628445,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.32666666666666,-10279.971209617785
t99,9959.327695300655,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-27.206666666666667,-9932.121028633988
t100,9828.13886835789,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-22.126666666666665,-9806.012201691223
t101,9981.780343383483,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11.826666666666668,-9969.953676716817
t102,10540.7627852995,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.16666666666666785,-10540.596118632833
t103,12127.465524329302,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-12127.465524329302
t104,13662.840492357474,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-13662.840492357474
