Conventional_ethanol_co2_per_mmbtu,Conventional_ethanol_price_per_mmbtu,Bio_ethanol_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3,Load_mmbtu_z4,Load_mmbtu_z5,Load_mmbtu_z6,Load_mmbtu_z7,Load_mmbtu_z8,Load_mmbtu_z9
,,,230,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,231,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,232,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,233,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,234,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,235,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,236,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,237,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,238,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,239,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,240,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,241,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,242,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,243,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,244,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,245,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,246,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,247,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,248,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,249,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,250,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,251,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,252,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,253,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,254,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,255,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,256,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,257,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,258,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,259,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,260,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,261,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,262,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,263,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,264,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,265,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,266,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,267,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,268,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,269,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,270,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,271,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,272,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,273,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,274,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
,,,275,692.65,415.8,397.95,938.38,997.58,1040.24,1569.36,881.63,315.01
