Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
,,,,,,,259,14771,7366,1812
,,,,,,,260,14771,7366,1812
,,,,,,,261,14771,7366,1812
,,,,,,,262,14771,7366,1812
,,,,,,,263,14771,7366,1812
,,,,,,,264,14771,7366,1812
,,,,,,,265,14771,7366,1812
,,,,,,,266,14771,7366,1812
,,,,,,,267,14771,7366,1812
,,,,,,,268,14771,7366,1812
,,,,,,,269,14771,7366,1812
,,,,,,,270,14771,7366,1812
,,,,,,,271,14771,7366,1812
,,,,,,,272,14771,7366,1812
,,,,,,,273,14771,7366,1812
,,,,,,,274,14771,7366,1812
,,,,,,,275,14771,7366,1812
,,,,,,,276,14771,7366,1812
,,,,,,,277,14771,7366,1812
,,,,,,,278,14771,7366,1812
,,,,,,,279,14771,7366,1812
,,,,,,,280,14771,7366,1812
,,,,,,,281,14771,7366,1812
,,,,,,,282,14771,7366,1812
,,,,,,,283,14771,7366,1812
,,,,,,,284,14771,7366,1812
,,,,,,,285,14771,7366,1812
,,,,,,,286,14771,7366,1812
,,,,,,,287,14771,7366,1812
,,,,,,,288,14771,7366,1812
,,,,,,,289,14771,7366,1812
,,,,,,,290,14771,7366,1812
,,,,,,,291,14771,7366,1812
,,,,,,,292,14771,7366,1812
,,,,,,,293,14771,7366,1812
,,,,,,,294,14771,7366,1812
,,,,,,,295,14771,7366,1812
,,,,,,,296,14771,7366,1812
,,,,,,,297,14771,7366,1812
,,,,,,,298,14771,7366,1812
,,,,,,,299,14771,7366,1812
,,,,,,,300,14771,7366,1812
,,,,,,,301,14771,7366,1812
,,,,,,,302,14771,7366,1812
,,,,,,,303,14771,7366,1812
,,,,,,,304,14771,7366,1812
,,,,,,,305,14771,7366,1812
,,,,,,,306,14771,7366,1812
,,,,,,,307,14771,7366,1812
,,,,,,,308,14771,7366,1812
,,,,,,,309,14771,7366,1812
,,,,,,,310,14771,7366,1812
,,,,,,,311,14771,7366,1812
,,,,,,,312,14771,7366,1812
,,,,,,,313,14771,7366,1812
,,,,,,,314,14771,7366,1812
,,,,,,,315,14771,7366,1812
,,,,,,,316,14771,7366,1812
,,,,,,,317,14771,7366,1812
,,,,,,,318,14771,7366,1812
,,,,,,,319,14771,7366,1812
,,,,,,,320,14771,7366,1812
,,,,,,,321,14771,7366,1812
,,,,,,,322,14771,7366,1812
,,,,,,,323,14771,7366,1812
,,,,,,,324,14771,7366,1812
,,,,,,,325,14771,7366,1812
,,,,,,,326,14771,7366,1812
,,,,,,,327,14771,7366,1812
,,,,,,,328,14771,7366,1812
,,,,,,,329,14771,7366,1812
,,,,,,,330,14771,7366,1812
,,,,,,,331,14771,7366,1812
,,,,,,,332,14771,7366,1812
,,,,,,,333,14771,7366,1812
,,,,,,,334,14771,7366,1812
,,,,,,,335,14771,7366,1812
,,,,,,,336,14771,7366,1812
,,,,,,,337,14771,7366,1812
,,,,,,,338,14771,7366,1812
,,,,,,,339,14771,7366,1812
,,,,,,,340,14771,7366,1812
,,,,,,,341,14771,7366,1812
,,,,,,,342,14771,7366,1812
,,,,,,,343,14771,7366,1812
,,,,,,,344,14771,7366,1812
,,,,,,,345,14771,7366,1812
,,,,,,,346,14771,7366,1812
,,,,,,,347,14771,7366,1812
,,,,,,,348,14771,7366,1812
,,,,,,,349,14771,7366,1812
,,,,,,,350,14771,7366,1812
,,,,,,,351,14771,7366,1812
,,,,,,,352,14771,7366,1812
,,,,,,,353,14771,7366,1812
,,,,,,,354,14771,7366,1812
,,,,,,,355,14771,7366,1812
,,,,,,,356,14771,7366,1812
,,,,,,,357,14771,7366,1812
,,,,,,,358,14771,7366,1812
,,,,,,,359,14771,7366,1812
,,,,,,,360,14771,7366,1812
,,,,,,,361,14771,7366,1812
,,,,,,,362,14771,7366,1812
,,,,,,,363,14771,7366,1812
,,,,,,,364,14771,7366,1812
,,,,,,,365,14771,7366,1812
,,,,,,,366,14771,7366,1812
,,,,,,,367,14771,7366,1812
,,,,,,,368,14771,7366,1812
,,,,,,,369,14771,7366,1812
,,,,,,,370,14771,7366,1812
,,,,,,,371,14771,7366,1812
,,,,,,,372,14771,7366,1812
,,,,,,,373,14771,7366,1812
,,,,,,,374,14771,7366,1812
,,,,,,,375,14771,7366,1812
,,,,,,,376,14771,7366,1812
,,,,,,,377,14771,7366,1812
,,,,,,,378,14771,7366,1812
,,,,,,,379,14771,7366,1812
,,,,,,,380,14771,7366,1812
,,,,,,,381,14771,7366,1812
,,,,,,,382,14771,7366,1812
,,,,,,,383,14771,7366,1812
,,,,,,,384,14771,7366,1812
,,,,,,,385,14771,7366,1812
,,,,,,,386,14771,7366,1812
,,,,,,,387,14771,7366,1812
,,,,,,,388,14771,7366,1812
,,,,,,,389,14771,7366,1812
,,,,,,,390,14771,7366,1812
,,,,,,,391,14771,7366,1812
,,,,,,,392,14771,7366,1812
,,,,,,,393,14771,7366,1812
,,,,,,,394,14771,7366,1812
,,,,,,,395,14771,7366,1812
,,,,,,,396,14771,7366,1812
,,,,,,,397,14771,7366,1812
,,,,,,,398,14771,7366,1812
,,,,,,,399,14771,7366,1812
,,,,,,,400,14771,7366,1812
,,,,,,,401,14771,7366,1812
,,,,,,,402,14771,7366,1812
,,,,,,,403,14771,7366,1812
,,,,,,,404,14771,7366,1812
,,,,,,,405,14771,7366,1812
,,,,,,,406,14771,7366,1812
,,,,,,,407,14771,7366,1812
,,,,,,,408,14771,7366,1812
,,,,,,,409,14771,7366,1812
,,,,,,,410,14771,7366,1812
,,,,,,,411,14771,7366,1812
,,,,,,,412,14771,7366,1812
,,,,,,,413,14771,7366,1812
,,,,,,,414,14771,7366,1812
,,,,,,,415,14771,7366,1812
,,,,,,,416,14771,7366,1812
,,,,,,,417,14771,7366,1812
,,,,,,,418,14771,7366,1812
,,,,,,,419,14771,7366,1812
,,,,,,,420,14771,7366,1812
,,,,,,,421,14771,7366,1812
,,,,,,,422,14771,7366,1812
,,,,,,,423,14771,7366,1812
,,,,,,,424,14771,7366,1812
,,,,,,,425,14771,7366,1812
,,,,,,,426,14771,7366,1812
,,,,,,,427,14771,7366,1812
,,,,,,,428,14771,7366,1812
,,,,,,,429,14771,7366,1812
,,,,,,,430,14771,7366,1812
,,,,,,,431,14771,7366,1812
,,,,,,,432,14771,7366,1812
,,,,,,,433,14771,7366,1812
,,,,,,,434,14771,7366,1812
,,,,,,,435,14771,7366,1812
,,,,,,,436,14771,7366,1812
,,,,,,,437,14771,7366,1812
,,,,,,,438,14771,7366,1812
,,,,,,,439,14771,7366,1812
,,,,,,,440,14771,7366,1812
,,,,,,,441,14771,7366,1812
,,,,,,,442,14771,7366,1812
,,,,,,,443,14771,7366,1812
,,,,,,,444,14771,7366,1812
,,,,,,,445,14771,7366,1812
,,,,,,,446,14771,7366,1812
,,,,,,,447,14771,7366,1812
,,,,,,,448,14771,7366,1812
,,,,,,,449,14771,7366,1812
,,,,,,,450,14771,7366,1812
,,,,,,,451,14771,7366,1812
,,,,,,,452,14771,7366,1812
,,,,,,,453,14771,7366,1812
,,,,,,,454,14771,7366,1812
,,,,,,,455,14771,7366,1812
,,,,,,,456,14771,7366,1812
,,,,,,,457,14771,7366,1812
,,,,,,,458,14771,7366,1812
,,,,,,,459,14771,7366,1812
,,,,,,,460,14771,7366,1812
,,,,,,,461,14771,7366,1812
,,,,,,,462,14771,7366,1812
,,,,,,,463,14771,7366,1812
,,,,,,,464,14771,7366,1812
,,,,,,,465,14771,7366,1812
,,,,,,,466,14771,7366,1812
,,,,,,,467,14771,7366,1812
,,,,,,,468,14771,7366,1812
,,,,,,,469,14771,7366,1812
,,,,,,,470,14771,7366,1812
,,,,,,,471,14771,7366,1812
,,,,,,,472,14771,7366,1812
,,,,,,,473,14771,7366,1812
,,,,,,,474,14771,7366,1812
,,,,,,,475,14771,7366,1812
,,,,,,,476,14771,7366,1812
,,,,,,,477,14771,7366,1812
,,,,,,,478,14771,7366,1812
,,,,,,,479,14771,7366,1812
,,,,,,,480,14771,7366,1812
,,,,,,,481,14771,7366,1812
,,,,,,,482,14771,7366,1812
,,,,,,,483,14771,7366,1812
,,,,,,,484,14771,7366,1812
,,,,,,,485,14771,7366,1812
,,,,,,,486,14771,7366,1812
,,,,,,,487,14771,7366,1812
,,,,,,,488,14771,7366,1812
,,,,,,,489,14771,7366,1812
,,,,,,,490,14771,7366,1812
,,,,,,,491,14771,7366,1812
,,,,,,,492,14771,7366,1812
,,,,,,,493,14771,7366,1812
