Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,SE_reference_naturalgas_ccs90,SE_reference_naturalgas_ccs100,MIDAT_reference_naturalgas_ccs90,MIDAT_reference_uranium,MIDAT_reference_naturalgas_ccs100,NE_reference_naturalgas_ccs90,NE_reference_naturalgas_ccs100
48,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
49,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
50,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
51,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
52,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
53,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
54,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
55,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
56,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
57,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
58,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
59,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
60,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
61,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
62,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
63,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
64,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
65,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
66,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
67,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
68,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
69,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
70,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
71,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
72,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
73,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
74,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
75,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
76,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
77,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
78,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
79,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
80,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
81,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
82,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
83,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
84,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
85,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
86,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
87,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
88,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
89,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
90,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
91,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
92,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
93,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
94,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
95,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
96,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
97,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
98,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
99,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
100,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
101,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
102,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
103,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
104,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
105,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
106,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
107,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
108,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
109,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
110,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
111,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
112,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
113,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
114,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
115,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
116,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
117,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
118,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
119,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
120,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
121,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
122,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
123,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
124,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
125,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
126,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
127,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
128,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
129,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
130,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
131,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
132,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
133,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
134,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
135,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
136,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
137,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
138,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
139,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
140,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
141,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
142,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
143,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
144,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
145,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
146,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
147,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
148,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
149,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
150,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
151,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
152,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
153,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
154,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
155,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
156,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
157,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
158,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
159,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
160,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
161,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
162,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
163,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
164,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
165,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
166,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
167,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
168,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
169,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
170,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
171,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
172,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
173,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
174,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
175,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
176,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
177,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
178,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
179,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
180,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
181,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
182,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
183,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
184,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
185,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
186,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
187,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
188,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
189,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
190,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
191,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
192,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
193,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
194,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
195,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
196,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
197,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
198,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
199,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
200,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
201,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
202,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
203,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
204,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
205,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
206,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
207,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
208,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
209,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
210,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
211,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
212,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
213,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
214,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
215,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
216,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
217,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
218,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
219,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
220,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
221,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
222,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
223,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
224,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
225,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
226,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
227,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
228,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
229,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
230,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
231,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
232,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
233,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
234,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
235,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
236,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
237,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
238,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
239,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
240,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
241,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
242,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
243,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
244,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
245,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
246,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
247,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
248,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
249,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
250,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
251,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
252,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
253,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
254,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
255,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
256,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
257,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
258,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
259,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
260,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
261,0,3.58,4.4,0.73,3.68,0.73,4.15,4.21,4.06,0.73,4.11,4.88,4.93
