Global_conventional_jetfuel_price_per_mmbtu,Conventional_jetfuel_co2_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Bio_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1
,,,,467,59245
,,,,468,59245
,,,,469,59245
,,,,470,59245
,,,,471,59245
,,,,472,59245
,,,,473,59245
,,,,474,59245
,,,,475,59245
,,,,476,59245
,,,,477,59245
,,,,478,59245
,,,,479,59245
,,,,480,59245
,,,,481,59245
,,,,482,59245
,,,,483,59245
,,,,484,59245
,,,,485,59245
,,,,486,59245
,,,,487,59245
,,,,488,59245
,,,,489,59245
,,,,490,59245
,,,,491,59245
,,,,492,59245
,,,,493,59245
,,,,494,59245
,,,,495,59245
,,,,496,59245
,,,,497,59245
,,,,498,59245
,,,,499,59245
,,,,500,59245
,,,,501,59245
,,,,502,59245
,,,,503,59245
,,,,504,59245
,,,,505,59245
,,,,506,59245
,,,,507,59245
,,,,508,59245
,,,,509,59245
,,,,510,59245
,,,,511,59245
,,,,512,59245
,,,,513,59245
,,,,514,59245
,,,,515,59245
,,,,516,59245
,,,,517,59245
,,,,518,59245
,,,,519,59245
,,,,520,59245
,,,,521,59245
,,,,522,59245
,,,,523,59245
,,,,524,59245
,,,,525,59245
,,,,526,59245
,,,,527,59245
,,,,528,59245
,,,,529,59245
,,,,530,59245
,,,,531,59245
,,,,532,59245
,,,,533,59245
,,,,534,59245
,,,,535,59245
,,,,536,59245
,,,,537,59245
,,,,538,59245
,,,,539,59245
,,,,540,59245
,,,,541,59245
,,,,542,59245
,,,,543,59245
,,,,544,59245
,,,,545,59245
,,,,546,59245
,,,,547,59245
,,,,548,59245
,,,,549,59245
,,,,550,59245
,,,,551,59245
,,,,552,59245
,,,,553,59245
,,,,554,59245
,,,,555,59245
,,,,556,59245
,,,,557,59245
,,,,558,59245
,,,,559,59245
,,,,560,59245
,,,,561,59245
,,,,562,59245
,,,,563,59245
,,,,564,59245
,,,,565,59245
,,,,566,59245
,,,,567,59245
,,,,568,59245
,,,,569,59245
,,,,570,59245
,,,,571,59245
,,,,572,59245
,,,,573,59245
,,,,574,59245
,,,,575,59245
,,,,576,59245
,,,,577,59245
,,,,578,59245
,,,,579,59245
,,,,580,59245
,,,,581,59245
,,,,582,59245
,,,,583,59245
,,,,584,59245
,,,,585,59245
,,,,586,59245
,,,,587,59245
,,,,588,59245
,,,,589,59245
,,,,590,59245
,,,,591,59245
,,,,592,59245
,,,,593,59245
,,,,594,59245
,,,,595,59245
,,,,596,59245
,,,,597,59245
,,,,598,59245
,,,,599,59245
,,,,600,59245
,,,,601,59245
,,,,602,59245
,,,,603,59245
,,,,604,59245
,,,,605,59245
,,,,606,59245
,,,,607,59245
,,,,608,59245
,,,,609,59245
,,,,610,59245
,,,,611,59245
,,,,612,59245
,,,,613,59245
,,,,614,59245
,,,,615,59245
,,,,616,59245
,,,,617,59245
,,,,618,59245
,,,,619,59245
,,,,620,59245
,,,,621,59245
,,,,622,59245
,,,,623,59245
,,,,624,59245
,,,,625,59245
,,,,626,59245
,,,,627,59245
,,,,628,59245
,,,,629,59245
,,,,630,59245
,,,,631,59245
,,,,632,59245
,,,,633,59245
,,,,634,59245
,,,,635,59245
,,,,636,59245
,,,,637,59245
,,,,638,59245
,,,,639,59245
,,,,640,59245
,,,,641,59245
,,,,642,59245
,,,,643,59245
,,,,644,59245
,,,,645,59245
,,,,646,59245
,,,,647,59245
,,,,648,59245
,,,,649,59245
,,,,650,59245
,,,,651,59245
,,,,652,59245
,,,,653,59245
,,,,654,59245
,,,,655,59245
,,,,656,59245
,,,,657,59245
,,,,658,59245
,,,,659,59245
,,,,660,59245
,,,,661,59245
,,,,662,59245
,,,,663,59245
,,,,664,59245
,,,,665,59245
,,,,666,59245
,,,,667,59245
,,,,668,59245
,,,,669,59245
,,,,670,59245
,,,,671,59245
,,,,672,59245
,,,,673,59245
,,,,674,59245
,,,,675,59245
,,,,676,59245
,,,,677,59245
,,,,678,59245
,,,,679,59245
,,,,680,59245
,,,,681,59245
,,,,682,59245
,,,,683,59245
,,,,684,59245
,,,,685,59245
,,,,686,59245
,,,,687,59245
,,,,688,59245
,,,,689,59245
,,,,690,59245
,,,,691,59245
,,,,692,59245
,,,,693,59245
,,,,694,59245
,,,,695,59245
,,,,696,59245
,,,,697,59245
,,,,698,59245
,,,,699,59245
,,,,700,59245
,,,,701,59245
,,,,702,59245
,,,,703,59245
,,,,704,59245
,,,,705,59245
,,,,706,59245
,,,,707,59245
,,,,708,59245
,,,,709,59245
,,,,710,59245
,,,,711,59245
,,,,712,59245
,,,,713,59245
,,,,714,59245
,,,,715,59245
,,,,716,59245
,,,,717,59245
,,,,718,59245
,,,,719,59245
,,,,720,59245
,,,,721,59245
,,,,722,59245
,,,,723,59245
,,,,724,59245
,,,,725,59245
,,,,726,59245
,,,,727,59245
,,,,728,59245
,,,,729,59245
,,,,730,59245
,,,,731,59245
,,,,732,59245
,,,,733,59245
,,,,734,59245
,,,,735,59245
,,,,736,59245
,,,,737,59245
,,,,738,59245
,,,,739,59245
,,,,740,59245
,,,,741,59245
,,,,742,59245
,,,,743,59245
,,,,744,59245
,,,,745,59245
,,,,746,59245
,,,,747,59245
,,,,748,59245
,,,,749,59245
,,,,750,59245
,,,,751,59245
,,,,752,59245
,,,,753,59245
,,,,754,59245
,,,,755,59245
,,,,756,59245
,,,,757,59245
,,,,758,59245
,,,,759,59245
,,,,760,59245
,,,,761,59245
,,,,762,59245
,,,,763,59245
,,,,764,59245
,,,,765,59245
,,,,766,59245
,,,,767,59245
,,,,768,59245
,,,,769,59245
,,,,770,59245
,,,,771,59245
,,,,772,59245
,,,,773,59245
,,,,774,59245
,,,,775,59245
,,,,776,59245
,,,,777,59245
,,,,778,59245
,,,,779,59245
,,,,780,59245
,,,,781,59245
,,,,782,59245
,,,,783,59245
,,,,784,59245
,,,,785,59245
,,,,786,59245
,,,,787,59245
,,,,788,59245
,,,,789,59245
,,,,790,59245
,,,,791,59245
,,,,792,59245
,,,,793,59245
,,,,794,59245
,,,,795,59245
,,,,796,59245
,,,,797,59245
,,,,798,59245
,,,,799,59245
,,,,800,59245
,,,,801,59245
,,,,802,59245
,,,,803,59245
,,,,804,59245
,,,,805,59245
,,,,806,59245
,,,,807,59245
,,,,808,59245
,,,,809,59245
,,,,810,59245
,,,,811,59245
,,,,812,59245
,,,,813,59245
,,,,814,59245
,,,,815,59245
,,,,816,59245
,,,,817,59245
,,,,818,59245
,,,,819,59245
,,,,820,59245
,,,,821,59245
,,,,822,59245
,,,,823,59245
,,,,824,59245
,,,,825,59245
,,,,826,59245
,,,,827,59245
,,,,828,59245
,,,,829,59245
,,,,830,59245
,,,,831,59245
,,,,832,59245
,,,,833,59245
,,,,834,59245
,,,,835,59245
,,,,836,59245
,,,,837,59245
,,,,838,59245
,,,,839,59245
,,,,840,59245
,,,,841,59245
,,,,842,59245
,,,,843,59245
,,,,844,59245
,,,,845,59245
,,,,846,59245
,,,,847,59245
,,,,848,59245
,,,,849,59245
,,,,850,59245
,,,,851,59245
,,,,852,59245
,,,,853,59245
,,,,854,59245
,,,,855,59245
,,,,856,59245
,,,,857,59245
,,,,858,59245
,,,,859,59245
,,,,860,59245
,,,,861,59245
,,,,862,59245
,,,,863,59245
,,,,864,59245
,,,,865,59245
,,,,866,59245
,,,,867,59245
,,,,868,59245
,,,,869,59245
,,,,870,59245
,,,,871,59245
,,,,872,59245
,,,,873,59245
,,,,874,59245
,,,,875,59245
,,,,876,59245
,,,,877,59245
,,,,878,59245
,,,,879,59245
,,,,880,59245
,,,,881,59245
,,,,882,59245
,,,,883,59245
,,,,884,59245
,,,,885,59245
,,,,886,59245
,,,,887,59245
,,,,888,59245
,,,,889,59245
,,,,890,59245
,,,,891,59245
,,,,892,59245
,,,,893,59245
,,,,894,59245
,,,,895,59245
,,,,896,59245
,,,,897,59245
,,,,898,59245
,,,,899,59245
,,,,900,59245
,,,,901,59245
,,,,902,59245
,,,,903,59245
,,,,904,59245
,,,,905,59245
,,,,906,59245
,,,,907,59245
,,,,908,59245
,,,,909,59245
,,,,910,59245
,,,,911,59245
,,,,912,59245
,,,,913,59245
,,,,914,59245
,,,,915,59245
,,,,916,59245
,,,,917,59245
,,,,918,59245
,,,,919,59245
,,,,920,59245
,,,,921,59245
,,,,922,59245
,,,,923,59245
,,,,924,59245
,,,,925,59245
,,,,926,59245
,,,,927,59245
,,,,928,59245
,,,,929,59245
,,,,930,59245
,,,,931,59245
,,,,932,59245
,,,,933,59245
,,,,934,59245
,,,,935,59245
,,,,936,59245
,,,,937,59245
,,,,938,59245
,,,,939,59245
,,,,940,59245
,,,,941,59245
,,,,942,59245
,,,,943,59245
,,,,944,59245
,,,,945,59245
,,,,946,59245
,,,,947,59245
,,,,948,59245
,,,,949,59245
,,,,950,59245
,,,,951,59245
,,,,952,59245
,,,,953,59245
,,,,954,59245
,,,,955,59245
,,,,956,59245
,,,,957,59245
,,,,958,59245
,,,,959,59245
,,,,960,59245
,,,,961,59245
