Time_Index,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8
51,0.35126189,1,1,1,1,1,1,1,1,1,0.35126189,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.528450266,0.60392645,0.72034094,0.175206183,0.227792434,0.722902828,0.743357068,0.067539369
52,0.351772037,1,1,1,1,1,1,1,1,1,0.351772037,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.500127822,0.572212197,0.702850158,0.209530898,0.230888351,0.698292394,0.740236859,0.065759509
53,0.352257322,1,1,1,1,1,1,1,1,1,0.352257322,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.472729088,0.580999799,0.678064685,0.247750529,0.237098327,0.667339623,0.737212805,0.070555769
54,0.352771271,1,1,1,1,1,1,1,1,1,0.352771271,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.455615014,0.578842675,0.648976207,0.291338698,0.250057103,0.632411906,0.732497916,0.090139976
55,0.353219636,1,1,1,1,1,1,1,1,1,0.353219636,0.021821326,1,1,1,1,1,0.006391663,0.03402111,0.028114025,0,0,0.049359491,0.042131239,0.002220224,0.435377213,0.571949951,0.622025694,0.353321617,0.278554506,0.585045378,0.71645988,0.115152539
56,0.353704921,1,1,1,1,1,1,1,1,1,0.353704921,0.3172466,1,1,1,1,1,0.296627131,0.214517432,0.417792192,0.17122023,0.186691482,0.479498661,0.472956507,0.204062643,0.421834871,0.546310899,0.590562176,0.422116965,0.30767567,0.545326932,0.682553056,0.143185701
57,0.354251682,1,1,1,1,1,1,1,1,1,0.354251682,0.687607855,1,1,1,1,1,0.740068783,0.408946129,0.777385818,0.629535385,0.656144113,0.763613098,0.783244563,0.669458567,0.191883103,0.302709119,0.262931035,0.395181805,0.240024139,0.351923656,0.418564089,0.151189779
58,0.354700047,1,1,1,1,1,1,1,1,1,0.354700047,0.713215445,1,1,1,1,1,0.76632243,0.507219945,0.759138029,0.705873694,0.741202472,0.716306838,0.744217482,0.741058349,0.056326757,0.181046323,0.143092831,0.184691573,0.065939231,0.28133283,0.327897022,0.064494286
59,0.355213005,1,1,1,1,1,1,1,1,1,0.355213005,0.65937573,1,1,1,1,1,0.704442558,0.546436236,0.696650128,0.631836051,0.695055742,0.646777113,0.677560577,0.672036613,0.027824552,0.162647477,0.115565718,0.137847887,0.033525212,0.219226816,0.246895191,0.02602462
60,0.35566137,1,1,1,1,1,1,1,1,1,0.35566137,0.626334578,1,1,1,1,1,0.659765233,0.566535737,0.660698805,0.57709434,0.659942598,0.620213037,0.646155945,0.619542228,0.013951306,0.161951853,0.08568461,0.186529097,0.034742013,0.15955317,0.173057035,0.043415182
61,0.356146348,1,1,1,1,1,1,1,1,1,0.356146348,0.638955471,1,1,1,1,1,0.65593064,0.569836422,0.673697948,0.589715706,0.658312127,0.654711321,0.670314549,0.625693143,0.01025495,0.167245111,0.058501256,0.230141738,0.031333876,0.109804465,0.114136447,0.051597887
62,0.356693415,1,1,1,1,1,1,1,1,1,0.356693415,0.682691387,1,1,1,1,1,0.689595197,0.551666648,0.719991995,0.655719262,0.68507231,0.718185061,0.725974309,0.683542641,0.006244827,0.15676288,0.038673603,0.262681321,0.028911801,0.073118563,0.068413582,0.063257151
63,0.35714178,1,1,1,1,1,1,1,1,1,0.35714178,0.703859047,1,1,1,1,1,0.734461728,0.542101007,0.752388392,0.696944063,0.689994515,0.710532096,0.746616552,0.738683413,0.003093983,0.149329219,0.028392206,0.28914151,0.034400696,0.049187822,0.038750577,0.079340977
64,0.357656036,1,1,1,1,1,1,1,1,1,0.357656036,0.471025101,1,1,1,1,1,0.597735079,0.390874819,0.52587251,0.450181299,0.589009213,0.314218028,0.416599488,0.557257744,0.001889423,0.146205826,0.023832376,0.281511083,0.043761865,0.035535312,0.024655781,0.091200791
65,0.358141014,1,1,1,1,1,1,1,1,1,0.358141014,0.079267563,1,1,1,1,1,0.132416679,0.064026766,0.072534152,0.053929474,0.201813461,0.012577438,0.030895114,0.100592952,0.004175851,0.153117136,0.04601796,0.448283252,0.075407299,0.048000116,0.04604266,0.186774407
66,0.358589379,1,1,1,1,1,1,1,1,1,0.358589379,0.00E+00,1,1,1,1,1,0,0,0,0,0,0,0,0,0.014223474,0.230366326,0.088101097,0.596521261,0.135782387,0.049971328,0.074073548,0.311517739
67,0.359135149,1,1,1,1,1,1,1,1,1,0.359135149,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.029597513,0.273115308,0.13267393,0.659622682,0.202668171,0.049436935,0.092284997,0.417291268
68,0.359620127,1,1,1,1,1,1,1,1,1,0.359620127,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.048611133,0.301658342,0.16948212,0.690251593,0.269576787,0.052673042,0.101042763,0.510558119
69,0.360068492,1,1,1,1,1,1,1,1,1,0.360068492,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.070319512,0.310133927,0.196391877,0.70907502,0.318286853,0.05896209,0.096820241,0.566433177
70,0.360582748,1,1,1,1,1,1,1,1,1,0.360582748,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.092969271,0.295124129,0.209698186,0.735552942,0.365772463,0.069775299,0.085968508,0.612634882
71,0.361063924,1,1,1,1,1,1,1,1,1,0.361063924,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.115046019,0.26583162,0.208960059,0.759432718,0.391128224,0.0907351,0.067840134,0.646555536
72,0.361577873,1,1,1,1,1,1,1,1,1,0.361577873,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.130241278,0.222182174,0.202116306,0.77668824,0.413251873,0.115706123,0.049553883,0.662299523
73,0.362063158,1,1,1,1,1,1,1,1,1,0.362063158,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.1434311,0.176999084,0.180811822,0.78495702,0.416698733,0.146609106,0.03642735,0.663803175
74,0.362511523,1,1,1,1,1,1,1,1,1,0.362511523,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.147703888,0.126501079,0.151178496,0.784947654,0.419590928,0.172770135,0.028992286,0.655581427
75,0.363024481,1,1,1,1,1,1,1,1,1,0.363024481,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.140283331,0.087338286,0.116461842,0.784199049,0.410790919,0.197674242,0.028281732,0.647554154
76,0.363542271,1,1,1,1,1,1,1,1,1,0.363542271,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.129615517,0.053166901,0.080057188,0.781157765,0.387946347,0.220805983,0.02947132,0.642797281
77,0.364019607,1,1,1,1,1,1,1,1,1,0.364019607,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.122832697,0.034401438,0.054479687,0.775966453,0.360917151,0.235306466,0.032254085,0.637426868
78,0.364504891,1,1,1,1,1,1,1,1,1,0.364504891,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.114746271,0.019240155,0.045119074,0.771584254,0.325837959,0.248970238,0.035263479,0.62924826
79,0.364953256,1,1,1,1,1,1,1,1,1,0.364953256,0.010776677,1,1,1,1,1,0.003428324,0.037235424,0.0074909,0.00E+00,0,0.015831519,0.028504608,0,0.111237698,0.010149794,0.040042255,0.766289674,0.280362025,0.250634205,0.038981272,0.617163027
80,0.365467206,1,1,1,1,1,1,1,1,1,0.365467206,0.156379877,1,1,1,1,1,0.147831568,0.25342037,0.12211409,0.15050485,0.062131609,0.193823486,0.280700416,0.075009221,0.110892323,0.00623345,0.042352399,0.753576321,0.232097272,0.245894213,0.047310676,0.598972632
81,0.365985302,1,1,1,1,1,1,1,1,1,0.365985302,0.393607068,1,1,1,1,1,0.405412332,0.417829213,0.276286629,0.588700049,0.275700395,0.428648689,0.461481245,0.311398687,0.101848477,0.004191458,0.037870262,0.659405054,0.176747211,0.187927187,0.045763814,0.503893499
82,0.366462638,1,1,1,1,1,1,1,1,1,0.366462638,0.471190218,1,1,1,1,1,0.466977682,0.42547996,0.363616319,0.679059054,0.486006011,0.507567354,0.387960619,0.407050572,0.037285626,0.004359296,0.017049976,0.333628198,0.07454842,0.09869637,0.014381976,0.173932376
83,0.366946625,1,1,1,1,1,1,1,1,1,0.366946625,0.48851506,1,1,1,1,1,0.469406327,0.378198494,0.44242458,0.61668833,0.597287822,0.516566297,0.360468374,0.456795302,0.012645543,0.001443458,0.014934759,0.235651126,0.010673797,0.124628889,0.018420857,0.087958124
84,0.367431603,1,1,1,1,1,1,1,1,1,0.367431603,0.493618511,1,1,1,1,1,0.465813952,0.326839077,0.512543135,0.568302024,0.601973925,0.511984512,0.366482093,0.513436518,0.021250035,0.008599486,0.023636754,0.216721115,0.005028362,0.182170172,0.050180268,0.086581285
85,0.367908939,1,1,1,1,1,1,1,1,1,0.367908939,0.518568248,1,1,1,1,1,0.523375275,0.306691265,0.532822466,0.583655962,0.611035959,0.522530432,0.437101294,0.57254796,0.031877852,0.025530621,0.048850644,0.230002373,0.002934874,0.232638515,0.092923398,0.091630995
86,0.368427035,1,1,1,1,1,1,1,1,1,0.368427035,0.558972968,1,1,1,1,1,0.597471272,0.287034186,0.542474622,0.652040388,0.614009083,0.567992353,0.521516819,0.640414383,0.038792734,0.052046699,0.082668313,0.262018183,0.001851511,0.264750379,0.135213688,0.097757097
87,0.368904371,1,1,1,1,1,1,1,1,1,0.368904371,0.590862106,1,1,1,1,1,0.655560112,0.287206858,0.589830777,0.706770453,0.632776106,0.557023234,0.60507152,0.685210444,0.042616598,0.078555446,0.114095128,0.305366694,0.002076849,0.284161066,0.17625252,0.103640878
88,0.36938935,1,1,1,1,1,1,1,1,1,0.36938935,0.409932371,1,1,1,1,1,0.553583877,0.223887567,0.465279988,0.470203667,0.479337446,0.263376729,0.369687359,0.507844692,0.040784618,0.087814213,0.138863379,0.31248862,0.001777034,0.36963695,0.210173714,0.10122003
89,0.369874634,1,1,1,1,1,1,1,1,1,0.369874634,0.065316758,1,1,1,1,1,0.121966641,0.043401759,0.066043189,0.059249122,0.125272025,0.011347557,0.02790573,0.090720763,0.073419226,0.097746501,0.218676522,0.4805394,0.007023202,0.55206466,0.383623548,0.174798974
90,0.37035197,1,1,1,1,1,1,1,1,1,0.37035197,0.00E+00,1,1,1,1,1,0,0,0,0,0,0,0,0,0.101228595,0.134136544,0.307411254,0.596066194,0.022501933,0.677386092,0.563218678,0.246949949
91,0.370868462,1,1,1,1,1,1,1,1,1,0.370868462,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.107411977,0.143389623,0.365678427,0.665471079,0.050593405,0.739667969,0.676305824,0.27861803
92,0.371382718,1,1,1,1,1,1,1,1,1,0.371382718,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.102799841,0.136014092,0.39889618,0.702826194,0.075442699,0.765319861,0.735078432,0.300104139
93,0.371831083,1,1,1,1,1,1,1,1,1,0.371831083,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.085711552,0.146923775,0.398565036,0.704733387,0.107850326,0.769751297,0.755103558,0.319722805
94,0.372316367,1,1,1,1,1,1,1,1,1,0.372316367,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.065102316,0.137791172,0.375021418,0.674195498,0.1485714,0.759118266,0.756198231,0.337793883
95,0.372830317,1,1,1,1,1,1,1,1,1,0.372830317,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0556764,0.122119826,0.345422605,0.624554587,0.174507839,0.736297091,0.747579549,0.34927809
96,0.373311493,1,1,1,1,1,1,1,1,1,0.373311493,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.054902805,0.107256821,0.313729845,0.557259865,0.22192531,0.712860773,0.723688823,0.362862874
97,0.373825749,1,1,1,1,1,1,1,1,1,0.373825749,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.054466893,0.083227755,0.276672145,0.461560772,0.237212973,0.687854329,0.688253998,0.378036914
98,0.374274114,1,1,1,1,1,1,1,1,1,0.374274114,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.055841432,0.084478926,0.236953135,0.344948628,0.2536933,0.65208042,0.638756622,0.38281901
99,0.374759092,1,1,1,1,1,1,1,1,1,0.374759092,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.064365832,0.062146463,0.196486213,0.247307681,0.24929445,0.610793655,0.577172864,0.382565624
100,0.37527205,1,1,1,1,1,1,1,1,1,0.37527205,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.092650852,0.042608485,0.154975903,0.190857233,0.228828803,0.578040453,0.502527236,0.375933577
101,0.375753227,1,1,1,1,1,1,1,1,1,0.375753227,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.113289736,0.036186349,0.125911207,0.157530905,0.205489286,0.546166141,0.414480338,0.355051614
102,0.376238205,1,1,1,1,1,1,1,1,1,0.376238205,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.132096701,0.066707746,0.109914397,0.138069431,0.198391611,0.517984804,0.337153789,0.340149253
