Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,MIDAT_reference_uranium
214,0,4.01,4.93,0.82,4.12,0.82,0.82
215,0,4.01,4.93,0.82,4.12,0.82,0.82
216,0,4.01,4.93,0.82,4.12,0.82,0.82
217,0,4.01,4.93,0.82,4.12,0.82,0.82
218,0,4.01,4.93,0.82,4.12,0.82,0.82
219,0,4.01,4.93,0.82,4.12,0.82,0.82
220,0,4.01,4.93,0.82,4.12,0.82,0.82
221,0,4.01,4.93,0.82,4.12,0.82,0.82
222,0,4.01,4.93,0.82,4.12,0.82,0.82
223,0,4.01,4.93,0.82,4.12,0.82,0.82
224,0,4.01,4.93,0.82,4.12,0.82,0.82
225,0,4.01,4.93,0.82,4.12,0.82,0.82
226,0,4.01,4.93,0.82,4.12,0.82,0.82
227,0,4.01,4.93,0.82,4.12,0.82,0.82
228,0,4.01,4.93,0.82,4.12,0.82,0.82
229,0,4.01,4.93,0.82,4.12,0.82,0.82
230,0,4.01,4.93,0.82,4.12,0.82,0.82
231,0,4.01,4.93,0.82,4.12,0.82,0.82
232,0,4.01,4.93,0.82,4.12,0.82,0.82
233,0,4.01,4.93,0.82,4.12,0.82,0.82
234,0,4.01,4.93,0.82,4.12,0.82,0.82
235,0,4.01,4.93,0.82,4.12,0.82,0.82
236,0,4.01,4.93,0.82,4.12,0.82,0.82
237,0,4.01,4.93,0.82,4.12,0.82,0.82
238,0,4.01,4.93,0.82,4.12,0.82,0.82
239,0,4.01,4.93,0.82,4.12,0.82,0.82
240,0,4.01,4.93,0.82,4.12,0.82,0.82
241,0,4.01,4.93,0.82,4.12,0.82,0.82
242,0,4.01,4.93,0.82,4.12,0.82,0.82
243,0,4.01,4.93,0.82,4.12,0.82,0.82
244,0,4.01,4.93,0.82,4.12,0.82,0.82
245,0,4.01,4.93,0.82,4.12,0.82,0.82
246,0,4.01,4.93,0.82,4.12,0.82,0.82
247,0,4.01,4.93,0.82,4.12,0.82,0.82
248,0,4.01,4.93,0.82,4.12,0.82,0.82
249,0,4.01,4.93,0.82,4.12,0.82,0.82
250,0,4.01,4.93,0.82,4.12,0.82,0.82
251,0,4.01,4.93,0.82,4.12,0.82,0.82
252,0,4.01,4.93,0.82,4.12,0.82,0.82
253,0,4.01,4.93,0.82,4.12,0.82,0.82
254,0,4.01,4.93,0.82,4.12,0.82,0.82
255,0,4.01,4.93,0.82,4.12,0.82,0.82
256,0,4.01,4.93,0.82,4.12,0.82,0.82
257,0,4.01,4.93,0.82,4.12,0.82,0.82
258,0,4.01,4.93,0.82,4.12,0.82,0.82
259,0,4.01,4.93,0.82,4.12,0.82,0.82
260,0,4.01,4.93,0.82,4.12,0.82,0.82
261,0,4.01,4.93,0.82,4.12,0.82,0.82
262,0,4.01,4.93,0.82,4.12,0.82,0.82
263,0,4.01,4.93,0.82,4.12,0.82,0.82
264,0,4.01,4.93,0.82,4.12,0.82,0.82
265,0,4.01,4.93,0.82,4.12,0.82,0.82
266,0,4.01,4.93,0.82,4.12,0.82,0.82
267,0,4.01,4.93,0.82,4.12,0.82,0.82
268,0,4.01,4.93,0.82,4.12,0.82,0.82
269,0,4.01,4.93,0.82,4.12,0.82,0.82
270,0,4.01,4.93,0.82,4.12,0.82,0.82
271,0,4.01,4.93,0.82,4.12,0.82,0.82
272,0,4.01,4.93,0.82,4.12,0.82,0.82
273,0,4.01,4.93,0.82,4.12,0.82,0.82
274,0,4.01,4.93,0.82,4.12,0.82,0.82
275,0,4.01,4.93,0.82,4.12,0.82,0.82
276,0,4.01,4.93,0.82,4.12,0.82,0.82
277,0,4.01,4.93,0.82,4.12,0.82,0.82
278,0,4.01,4.93,0.82,4.12,0.82,0.82
279,0,4.01,4.93,0.82,4.12,0.82,0.82
280,0,4.01,4.93,0.82,4.12,0.82,0.82
281,0,4.01,4.93,0.82,4.12,0.82,0.82
282,0,4.01,4.93,0.82,4.12,0.82,0.82
283,0,4.01,4.93,0.82,4.12,0.82,0.82
284,0,4.01,4.93,0.82,4.12,0.82,0.82
285,0,4.01,4.93,0.82,4.12,0.82,0.82
286,0,4.01,4.93,0.82,4.12,0.82,0.82
