,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
t9,4.342763566262223,0,0,0.14414306403959157,-0.0590944345277106,0.0,25.94105418329159,0,29.14709041189585,-1.221775953,116.82758657835073,0,0,0.07067441207508839,-54.37242866301598,0.0,-37.49727243316453,0,3.817223420076906,-21.21133646,0.698361772501072,0,0,0.10271503408013531,-0.08933948454877365,0.0,11.926556058596626,0,12.202110892459233,-0.436182474,0.7439086851194929,0,0,0.11101852429740881,-0.1745048564438371,0.0,-0.31522352635195716,0,0.03207691045126317,-0.333121902,39.855212621337984,0,0,0.05889097414428132,-9.806655848480345,0.0,-0.01430199842704374,0,21.584275928405056,-8.508869806,2.628157866618395,0,0,0.6744059770092801,-0.016690943262240382,0.0,11.83550812523148,0,14.705213509427276,-0.416167502,90.97281263116182,0,0,24.539969593017965,-0.03005414993498577,0.0,14.776416521330292,0,113.3067425413865,-16.95240204,10.57731714197409,0,0,0.12188230681205159,-0.10974481449214665,0.0,-6.1418373906423005,0,0.6393178344818792,-3.808299395,0.9774780953083535,0,0,0.06705867364898681,-0.1084230993102631,0.0,0.7493578898985988,0,0.19100603837584337,-1.494465507,12.634314907668093,0,0,0.054198114937346095,-9.474703500368255,0.0,0.0548671293229362,0,0.1906350013903888,-3.078041636
t10,4.34660893564057,0,0,0.20127792737511618,-0.053914716932912235,0.0,28.212960009138552,0,29.041604282051527,-3.665327859,116.82333499759854,0,0,0.0697383609612072,-19.706391604660453,0.0,-30.445684576033916,0,3.1069877736915856,-63.63400939,0.7051960004201641,0,0,0.14513996610552027,-0.07079990919890064,0.0,12.66264464631816,0,12.133633267475107,-1.308547422,0.7461393535476524,0,0,0.14681029193473016,-0.12325622462300535,0.0,0.26025573786778583,0,0.030583438557366872,-0.999365706,39.8526762076363,0,0,0.059162344891719586,-4.480093683765764,0.0,-0.01996719684862361,0,9.885168237743828,-25.52660942,2.630152737220697,0,0,0.3231861712084924,-0.0173352325799748,0.0,13.023148565451557,0,14.710649720131048,-1.248502507,90.97757795926117,0,0,53.09940211858226,-0.030671332796797523,0.0,14.774964261917582,0,107.96406688279706,-50.85720611,10.577364782629486,0,0,0.13164904283594575,-0.09373467309707155,0.0,1.1767175686809968,0,0.3670985168795275,-11.42489819,0.9821461174759756,0,0,0.09200181736736765,-0.07418366761524572,0.0,3.6704991559699987,0,0.18706688702825883,-4.483396522,12.634451772469468,0,0,0.054556523339685484,-3.336114236550166,0.0,0.06972484635287031,0,0.1884939844420693,-9.234124907
t11,4.3482937687092855,0,0,0.19579768079222942,-0.053481796374512856,0.0,28.199491248159028,0,29.024773028116194,-3.665327859,116.82026405483745,0,0,0.06139995381451081,-19.43383347900531,0.0,-30.818786854465174,0,2.9950342710086963,-63.63400939,0.7087915560994846,0,0,0.13405137817441157,-0.07562079696237221,0.0,12.693939979438547,0,12.152614680580255,-1.308547422,0.747015338997951,0,0,0.14392709977870904,-0.1284224360397309,0.0,0.2675360912625117,0,0.030690373829620362,-0.999365706,39.8514541939154,0,0,0.059305614001442644,-4.71171270899934,0.0,-0.01656310991763253,0,9.65587455483006,-25.52660942,2.6311622130789165,0,0,0.26025459558241126,-0.01723130500035839,0.0,13.081681628740514,0,14.707364611232402,-1.248502507,90.97988004643891,0,0,21.761887250613658,-0.02912477797112129,0.0,14.773670198505009,0,76.62910659342039,-50.85720611,10.577557874694165,0,0,0.16057943090899218,-0.09118783109935537,0.0,1.1610150316234602,0,0.38306630195744207,-11.42489819,0.9845324514744695,0,0,0.09187631881084699,-0.07406445786212638,0.0,3.667709692276474,0,0.1866574685298355,-4.483396522,12.634945226364314,0,0,0.05465315676838725,-3.336342258317499,0.0,0.06923956488628907,0,0.18837076853161572,-9.234124907
t12,4.348246140373466,0,0,0.20375054845245616,-0.05381923913578273,0.0,28.18685009002681,0,29.019699666547115,-3.665327859,116.81919511481749,0,0,0.06383891010964247,-18.90796551570785,0.0,-31.232389887893238,0,3.108669217155803,-63.63400939,0.7106160133873115,0,0,0.1366239928713174,-0.07600900947434899,0.0,12.690961086529384,0,12.153644647143865,-1.308547422,0.7474677273267684,0,0,0.14675677097518428,-0.12278284023276079,0.0,0.25902855111828177,0,0.03110448901762325,-0.999365706,39.85039418401398,0,0,0.05963414584508694,-4.916812777371986,0.0,-0.01642992159634615,0,9.450176196720918,-25.52660942,2.631304804350282,0,0,0.04140003335556678,-0.022560207512610644,0.0,2.214684348134585,0,3.61632645715794,-1.248502507,90.97703599438204,0,0,0.023274966015238072,-17.06550295571543,0.0,14.253987470295904,0,37.33158935079636,-50.85720611,10.57690994209958,0,0,0.1516824320133687,-0.09248571038206015,0.0,1.1573320286533568,0,0.3685404882144346,-11.42489819,0.9856394924467837,0,0,0.09184117843349085,-0.07345969246094974,0.0,3.666167726487382,0,0.1867921687368787,-4.483396522,12.635351638782643,0,0,0.05463062576140675,-3.3351058635269917,0.0,0.06753532329679787,0,0.1882868031440883,-9.234124907
t13,4.346077408047255,0,0,0.2017552187744198,-0.05412148930547872,0.0,28.166588184975407,0,28.994971449321763,-3.665327859,116.81909486199127,0,0,0.06818036804238387,-18.38751841586902,0.0,-31.766679412585557,0,3.099067997407844,-63.63400939,0.7110601669126312,0,0,0.12891997156163715,-0.07698679475549539,0.0,12.699268168239106,0,12.15371407578805,-1.308547422,0.7476599810296947,0,0,0.14832000391273442,-0.12316066618690542,0.0,0.2571562226925493,0,0.030609821278255844,-0.999365706,39.84901285814766,0,0,0.05925319142824041,-13.660213572756815,0.0,-0.02086693960257678,0,0.7005761030467281,-25.52660942,2.6317322070195504,0,0,0.023887151951683692,-0.3289669539439341,0.0,2.193755848528401,0,3.2719057323858514,-1.248502507,90.97917501043892,0,0,0.029806348885219228,-49.51701112238161,0.0,10.443606837072082,0,1.0783709498435365,-50.85720611,10.576255050685399,0,0,0.1275303438313666,-0.09412947622363715,0.0,1.1741069790398058,0,0.3588646931630978,-11.42489819,0.9855885576253363,0,0,0.09107582487245025,-0.07334808069445566,0.0,3.6668943102192055,0,0.18681407585270737,-4.483396522,12.63540092437057,0,0,0.05457163845577237,-3.3348147511475874,0.0,0.06721255041468692,0,0.18824544092352807,-9.234124907
t14,4.3417221002327535,0,0,0.21601691700697034,-0.05218917132201847,0.0,28.14481878392102,0,28.985040756668916,-3.665327859,116.81897806170048,0,0,0.06814380143970475,-17.83386555663203,0.0,-32.38104948724569,0,3.0381974150952393,-63.63400939,0.7102237508313722,0,0,0.12606973972869137,-0.07662915219050659,0.0,12.697127945593481,0,12.148244847793245,-1.308547422,0.7472984498407329,0,0,0.1494998329175976,-0.12283998664259886,0.0,0.25573689970109753,0,0.030329475647017348,-0.999365706,39.846829956314124,0,0,0.060243874070876724,-13.686522797685233,0.0,-0.022299554428480764,0,0.6716420441014654,-25.52660942,2.632988075602702,0,0,0.013212445282033993,-0.30599660914248317,0.0,1.9381404599472294,0,3.029841850519613,-1.248502507,90.98567127410607,0,0,0.03048786069533714,-48.409527990742916,0.0,8.39738051100424,0,0.146805530893263,-50.85720611,10.575969803798605,0,0,0.10159778744524947,-0.0952152919350084,0.0,1.1794363902995812,0,0.33689048543857064,-11.42489819,0.9842886795203967,0,0,0.09051091792463814,-0.07315770221879957,0.0,3.668587853804542,0,0.18683321286094462,-4.483396522,12.634881354291316,0,0,0.05446971539048036,-3.3340807777927846,0.0,0.06704196952414743,0,0.18818734024331085,-9.234124907
t15,4.33383180944361,0,0,0.1636771774376902,-0.05297810890640825,0.0,9.384185937469967,0,10.16338894227504,-3.665327859,116.81879006735903,0,0,0.06729429983878665,-17.380702496190285,0.0,-32.95446465448259,0,2.916907812355147,-63.63400939,0.7080209337019999,0,0,0.12787736186451099,-0.07520762222252732,0.0,12.678996663286062,0,12.13113990046021,-1.308547422,0.7463112238559784,0,0,0.14981911860216288,-0.12185851816846639,0.0,0.2553692222074786,0,0.03027532632736536,-0.999365706,39.84407794440837,0,0,0.06223254678250277,-14.152359333676404,0.0,-0.02531909358897204,0,0.20202262975566523,-25.52660942,2.6375272474896283,0,0,0.01289578465951326,-0.43961898439356906,0.0,1.9399829470575085,0,2.902284473643267,-1.248502507,90.99395578094757,0,0,0.03106507330480467,-47.82526475462937,0.0,7.805811972539104,0,0.14836194799580182,-50.85720611,10.577212984280994,0,0,0.12131573033102452,-0.09549310567017524,0.0,1.2604993068084807,0,0.43863671158048123,-11.42489819,0.9816166960177015,0,0,0.09012595259945753,-0.07273071986338954,0.0,3.6714230153988106,0,0.18703840798274426,-4.483396522,12.633725060608269,0,0,0.054173537637968824,-3.3325206123747204,0.0,0.06710221423829504,0,0.18835527894000118,-9.234124907
t16,4.320927951695991,0,0,0.05628885555621964,-0.5410779898644301,0.0,-2.4686705574774566,0,0.1456922927405028,-1.221775953,116.81869509096265,0,0,0.06438313582268045,-51.067332863322264,0.0,-41.342788503955816,0,3.261620385339424,-21.21133646,0.703207963902458,0,0,0.08697963193829243,-0.1087270894696179,0.0,11.962634364785764,0,12.207912382987102,-0.436182474,0.7438953743802595,0,0,0.11676188948526676,-0.17365653124748828,0.0,-0.3225426682999426,0,0.03133614814826001,-0.333121902,39.83500663809161,0,0,0.04492678111550996,-25.204013263843024,0.0,-6.071326054712378,0,0.0957242804819392,-8.508869806,2.6447759235712414,0,0,0.013506351416263987,-0.24378734602347749,0.0,1.9886250489565143,0,3.9869524617506262,-0.416167502,91.00339225430946,0,0,0.02279019479779861,-54.230671735069514,0.0,-0.5972072413040532,0,19.24590141855994,-16.95240204,10.577225703316444,0,0,0.12423744749347597,-0.0784229777448105,0.0,-5.78701125940793,0,1.027729504487338,-3.808299395,0.9763739664759431,0,0,0.06626227388392081,-0.10633917289110073,0.0,0.7488928957338417,0,0.19072444203276814,-1.494465507,12.631245389959107,0,0,0.05406835281033064,-9.467387062492646,0.0,0.050747219712728435,0,0.19063224981977517,-3.078041636
t17,4.325292215508748,0,0,0.09274336947863017,-0.08936796959595537,0.0,3.812758084036401,0,6.919649732257967,-1.221775953,116.81713652042289,0,0,0.060570161967749336,-50.46926671618764,0.0,-41.8483806350757,0,3.348722856960419,-21.21133646,0.7003602984651226,0,0,0.09191007036662459,-0.09667985505065928,0.0,11.950352993003268,0,12.209761018614556,-0.436182474,0.7428397456857725,0,0,0.10992094591810234,-0.16561708530594377,0.0,-0.32126109080490556,0,0.03276059932317969,-0.333121902,39.83036800924139,0,0,0.04055212143239562,-25.236939912928666,0.0,-3.801191108151029,0,2.323919289424615,-8.508869806,2.6625967900134224,0,0,0.6645726183946845,-0.001287141562448825,0.0,11.865922535690261,0,14.775637286377039,-0.416167502,91.03532039121671,0,0,70.92249506389594,-0.004306866133666717,0.0,30.30980995827569,0,175.31091649308456,-16.95240204,10.57613248219693,0,0,0.12176354758485836,-0.09713544228166619,0.0,-5.766198581742907,0,1.0262625965873897,-3.808299395,0.9744085425214393,0,0,0.06680887608053583,-0.10568083555459945,0.0,0.74984519917958,0,0.19091626105712575,-1.494465507,12.631072131981563,0,0,0.05409769347317723,-9.465469615200389,0.0,0.049165425353850184,0,0.19082398543845797,-3.078041636
t18,4.331166204596902,0,0,0.18661639336931296,-0.054778983654235336,0.0,25.809672325308473,0,29.050899972450637,-1.221775953,116.81914948845467,0,0,0.07087797209732775,-48.70493231407603,0.0,-43.44590908484395,0,3.5278495874625095,-21.21133646,0.6981282696023744,0,0,0.09310364287999928,-0.09228653699469405,0.0,11.949354118106,0,12.212117005423835,-0.436182474,0.7431121723698499,0,0,0.11276773359883552,-0.16605252122270758,0.0,-0.32427055816182565,0,0.032434910414332885,-0.333121902,39.84422187180356,0,0,0.05676314588919712,-11.862598866085964,0.0,-0.016177072396406967,0,19.513339259040585,-8.508869806,2.6658895317633764,0,0,0.3101328600579255,-0.0018051738829123313,0.0,12.21794438318708,0,14.775994084955906,-0.416167502,91.03816186196309,0,0,70.91598069963835,-0.001883981012411596,0.0,30.311857798753465,0,175.31171432516226,-16.95240204,10.576068742899594,0,0,0.11789852075180976,-0.09614615381299337,0.0,-6.199016914431008,0,0.5905047862375699,-3.808299395,0.9746333458998594,0,0,0.0667908261984038,-0.10617225623005913,0.0,0.7501072313996826,0,0.1908936260980459,-1.494465507,12.633030055483712,0,0,0.05409542132697504,-9.467370518101013,0.0,0.0490596609352503,0,0.1907729694750706,-3.078041636
