Resource,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,Total
t338,0.0,0.0,270.33869789947346,0.0,5348.7,0.0,0.0,94.64399999999999,66.52799999999999,0.0,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,874.575,1854.099,0.0,7357.365000000001,3398.2740000000003,0.0,0.0,711.0475733340704,0.0,76.189347774,188.817079266,209.55772926,0.0,0.0,0.0,955.2528954,0.0,73.73613425399999,86.74839324,0.0,342.987838425,0.0,0.0,0.0,42595.05563103633,0.585,0.765,0.0,1549.5299999999997,7652.754000000001,0.0,446.07988962,3.958140165052155,0.0,3.9334302701999992,0.0,0.0,0.0,9478.014014860708,0.0,3977.554319100001,0.0,7252.360524899999,320.45313943800005,427.270852584,0.0,979.06867056,455.14359974700005,0.0,3405.671071829631,0.0,0.0,436.5,201.5235,413.6535,688.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,631.0709999999999,0.0,0.0,1298.0,0.0,0.0,10188.973281497496,7790.049027995828,0.0,0.0,0.0,0.0,0.0,153279.86342781654
t339,0.0,0.0,270.33869789947346,0.0,5348.7,0.0,0.0,94.64399999999999,66.52799999999999,0.0,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,839.592,1784.133,0.0,7847.856,3398.2740000000003,0.0,0.0,677.2201575023628,0.0,76.189347774,182.19191858999997,244.48401747,0.0,0.0,0.0,955.2528954,0.0,69.39871459199999,82.41097357800001,0.0,342.987838425,0.0,0.0,0.0,42781.77053285106,0.54,0.675,0.0,1549.5299999999997,7652.754000000001,0.0,446.07988962,3.958140165052155,0.0,3.9334302701999992,0.0,3.0044161475999998,0.0,9156.377269974239,0.0,3977.554319100001,0.0,7252.360524899999,320.45313943800005,427.270852584,0.0,979.06867056,455.14359974700005,0.0,3411.058292849252,0.0,0.0,436.5,180.31050000000002,413.6535,688.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,540.918,0.0,0.0,1298.0,0.0,0.0,11459.272004321036,7714.490462405589,0.0,0.0,0.0,0.0,0.0,154607.9132515236
t340,0.0,0.0,270.33869789947346,0.0,5348.7,10.142999999999999,10.142999999999999,94.64399999999999,66.52799999999999,0.0,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,769.626,1889.0819999999999,0.0,8828.838000000002,3398.2740000000003,0.0,0.0,722.428239325699,0.0,82.81450844999999,178.87933825199997,279.41030567999996,0.0,0.0,0.0,955.2528954,0.0,56.386455606000006,78.07355391600001,0.0,251.524414845,0.0,0.0,0.0,45047.480056165594,0.495,0.585,0.0,1394.577,7566.768000000001,0.0,446.07988962,3.958140165052155,0.0,5.2445736936,0.0,3.0044161475999998,0.0,8659.45054741545,0.0,3977.554319100001,0.0,7252.360524899999,320.45313943800005,427.270852584,0.0,856.68508674,455.14359974700005,0.0,3545.965520633505,0.0,0.0,436.5,180.31050000000002,392.4405000000001,647.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,450.765,0.0,0.0,1298.0,0.0,0.0,11736.497194024987,8348.023247248004,0.0,0.0,0.0,0.0,0.0,157919.23366235668
t341,0.0,0.0,498.2032187396841,0.0,5348.7,20.285999999999998,20.285999999999998,94.64399999999999,66.52799999999999,0.0,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,979.5240000000001,2063.9970000000003,0.0,9319.329000000002,3398.2740000000003,0.0,0.0,729.5471049600001,0.0,86.12708878800001,188.817079266,279.41030567999996,10.132598680200001,0.0,0.0,955.2528954,0.0,65.06129493,99.760652226,0.0,274.39027074,0.0,0.0,0.0,50071.61074566659,0.45,0.495,0.0,1394.577,7566.768000000001,0.0,446.07988962,3.958140165052155,1.3111434234,9.178003963799998,0.0,6.0088322951999995,0.0,9410.195622777626,0.0,3977.554319100001,0.0,7252.360524899999,320.45313943800005,373.86199601100003,0.0,856.68508674,455.14359974700005,0.0,4696.595333871841,0.0,0.0,436.5,201.5235,424.26000000000005,607.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,270.459,0.0,0.0,1298.0,0.0,0.0,11838.083113475648,9799.105729884794,2519.632113730314,0.0,0.0,0.0,0.0,169911.1554895799
t342,0.0,0.0,604.8000000000001,0.0,5348.7,20.285999999999998,10.142999999999999,70.983,66.52799999999999,172.368,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,1084.473,1994.0310000000002,0.0,9809.82,3398.2740000000003,1918.8719999999998,0.0,729.5471049600001,0.0,86.12708878800001,185.504498928,279.41030567999996,40.530394720800004,0.0,0.0,955.2528954,0.0,73.73613425399999,117.110330874,0.0,342.987838425,0.0,0.0,0.0,54255.57713234692,0.45,0.36,0.0,1239.6239999999998,7480.782,183.83399999999997,446.07988962,4.749768198062587,1.3111434234,13.111434233999999,0.0,6.0088322951999995,5.8095729989999985,14030.195124200976,0.0,3977.554319100001,0.0,7252.360524899999,320.45313943800005,320.45313943800005,0.0,734.3015029200001,455.14359974700005,354.97564038,7170.574225264142,0.0,0.0,436.5,190.91700000000003,424.26000000000005,567.0,355.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,180.30599999999995,0.0,0.0,1298.0,0.0,0.0,12038.406769056199,11398.968167558674,6791.103835820529,0.0,0.0,0.0,0.0,190418.69049832964
t343,0.0,0.0,604.8000000000001,0.0,5348.7,10.142999999999999,0.0,70.983,66.52799999999999,474.01200000000006,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,1119.456,1994.0310000000002,0.0,10790.802000000001,3398.2740000000003,3837.7439999999997,0.0,729.5471049600001,0.0,96.064829802,172.25417757600002,349.2628821,81.06078944160001,0.0,0.0,955.2528954,0.0,65.06129493,108.43549155,0.0,297.256126635,0.0,0.0,0.0,55233.0,0.36,0.27,0.0,929.718,7480.782,1011.0870000000001,446.07988962,7.1246522970938795,1.3111434234,17.0448645042,0.0,6.0088322951999995,20.3335054965,18170.870112000004,1035.0581863858192,3977.554319100001,0.0,7252.360524899999,267.04428286499996,267.04428286499996,0.0,367.15075146000004,455.14359974700005,1301.57734806,8325.000000000002,0.0,0.0,436.5,180.31050000000002,360.62100000000004,688.5,924.3000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,270.459,0.0,0.0,1298.0,516.5581164454212,0.0,11799.157616723678,12041.029062027177,8800.274891985699,0.0,0.0,0.0,0.0,205631.83721995552
t344,0.0,0.0,604.8000000000001,0.0,5348.7,0.0,0.0,70.983,66.52799999999999,904.932,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,1084.473,2063.9970000000003,0.0,10300.311000000002,3398.2740000000003,5756.616,0.0,729.5471049600001,0.0,99.37741014,185.504498928,314.33659389,116.5248848223,0.0,0.0,955.2528954,0.0,69.39871459199999,99.760652226,0.0,320.12198252999997,0.0,0.0,0.0,55233.0,0.36,0.18,0.0,1084.671,7480.782,2297.9249999999997,446.07988962,7.1246522970938795,2.6222868468,19.667151351,0.0,3.0044161475999998,40.667010993,18170.870112000004,2587.396639793406,3977.554319100001,0.0,7252.360524899999,267.04428286499996,267.04428286499996,0.0,244.76716764,455.14359974700005,2839.80512304,8325.000000000002,0.0,0.0,436.5,169.704,318.19500000000005,809.9999999999999,1635.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,270.459,0.0,0.0,1298.0,137.34152540680267,0.0,11753.586391360046,12269.364184381175,8558.281530309481,0.0,35.208634303,0.0,0.0,212358.9836078144
t345,0.0,0.0,604.8000000000001,0.0,5348.7,0.0,0.0,47.321999999999996,66.52799999999999,1292.7600000000002,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,1119.456,2063.9970000000003,0.0,10790.802000000001,3398.2740000000003,7195.77,0.0,729.5471049600001,0.0,96.064829802,192.129659604,331.799737995,131.7237828426,0.0,0.0,955.2528954,0.0,69.39871459199999,86.74839324,0.0,342.987838425,0.0,0.0,0.0,54875.782690391745,0.315,0.135,0.0,1239.6239999999998,7394.796,3400.929,446.07988962,7.1246522970938795,3.9334302701999992,22.289438197799996,0.0,3.0044161475999998,72.6196624875,18170.870112000004,1942.3944900354668,3977.554319100001,0.0,7252.360524899999,213.635426292,213.635426292,0.0,244.76716764,438.28642938600007,4378.032898020001,8312.837839816737,0.0,0.0,436.5,159.09750000000003,286.3755,891.0,2275.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,360.6119999999999,0.0,0.0,1298.0,0.0,0.0,11842.830118147076,12491.365528865113,7452.905537521298,0.0,0.0,0.0,0.0,216143.49109964797
t346,0.0,0.0,604.8000000000001,0.0,5348.7,0.0,0.0,70.983,66.52799999999999,1422.036,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,1119.456,1959.0480000000002,0.0,11771.784,3398.2740000000003,8634.923999999999,0.0,729.5471049600001,0.0,102.689990478,188.817079266,384.18917031,146.9226808629,0.0,0.0,955.2528954,0.0,69.39871459199999,91.085812902,0.0,388.71955021499997,0.0,0.0,0.0,54978.66330144696,0.315,0.09,0.0,1549.5299999999997,7394.796,3860.5139999999997,446.07988962,7.1246522970938795,6.5557171169999995,24.9117250446,0.0,9.0132484428,101.66752748249999,18170.870112000004,950.2136892096455,3977.554319100001,0.0,7252.360524899999,213.635426292,213.635426292,0.0,367.15075146000004,438.28642938600007,5324.634605700001,8171.990662711217,0.0,0.0,436.5,137.88450000000003,243.9495,931.5,2559.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,450.765,0.0,0.0,1298.0,0.0,0.0,11748.839386688616,12363.638394806863,6581.548873880889,0.0,0.0,0.0,0.0,218839.5098082238
t347,0.0,0.0,604.8000000000001,0.0,5348.7,0.0,0.0,0.0,66.52799999999999,1292.7600000000002,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,1259.388,2623.7250000000004,0.0,12262.275000000001,3398.2740000000003,8634.923999999999,0.0,729.5471049600001,0.0,106.00257081599997,218.63030230799998,279.41030567999996,151.98898020300004,0.0,0.0,955.2528954,0.0,69.39871459199999,143.134848846,0.0,342.987838425,0.0,0.0,0.0,55233.0,0.27,0.0,0.0,1239.6239999999998,7394.796,3768.5969999999998,446.07988962,7.1246522970938795,11.8002908106,23.6005816212,0.0,15.022080737999998,87.14359498500001,18170.870112000004,1337.6992108210848,3977.554319100001,0.0,7252.360524899999,267.04428286499996,213.635426292,0.0,367.15075146000004,438.28642938600007,5206.30939224,8325.000000000002,0.0,0.0,436.5,116.67150000000001,265.1625,647.9999999999999,2630.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,450.765,0.0,0.0,1298.0,268.28061718681175,0.0,11576.048397166522,12312.57611006103,4487.113748628553,0.0,0.0,0.0,0.0,217935.0491187686
t348,0.0,0.0,604.8000000000001,0.0,5348.7,10.142999999999999,0.0,47.321999999999996,66.52799999999999,1249.6680000000001,0.0,0.0,7560.000000000001,0.0,10926.92011979687,7302.600000000001,1714.167,2693.691,0.0,14714.730000000001,3398.2740000000003,8155.206,0.0,729.5471049600001,0.0,125.878052844,215.31772196999995,401.652314415,162.12157888320002,0.0,0.0,955.2528954,0.0,78.07355391600001,229.883242086,0.0,388.71955021499997,0.0,0.0,0.0,54381.08146705821,0.27,0.0,0.0,1394.577,7308.81,3768.5969999999998,446.07988962,7.1246522970938795,13.111434233999999,30.156298738199997,0.0,21.0309130332,61.000516489499994,18170.870112000004,1433.2630185313544,3977.554319100001,0.0,7252.360524899999,320.45313943800005,267.04428286499996,0.0,489.53433528,438.28642938600007,4969.658965320001,8325.000000000002,0.0,0.0,436.5,116.67150000000001,233.34300000000002,891.0,2772.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5385.015025562858,0.0,0.0,0.0,540.918,0.0,0.0,1298.0,0.0,0.0,11271.290638814538,12061.528741144926,932.8236340560121,0.0,0.0,0.0,0.0,216095.04997235496
