BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t9,2.2306727908718507e6,0.0030775494206341054,-1.2873286830441123e6,0.0,0.0,0.0,1.0367758162295752e-5,-33311.89523531538,-409.2798853942395,-908649.9017,1.0154855571229119e6,0.03284536356657934,-342882.78716053197,0.0,0.0,0.0,9.903263522574303e-6,33311.93194601163,-409.2960838419485,-703940.8904,372611.13594811386,0.3288856677987432,-106816.2459953318,0.0,0.0,0.0,8.263596850176489e-6,-0.03671069624945322,-0.01619844770896759,-264497.2092
t10,2.2803253415889386e6,0.003469371897761547,-1.2873286820402013e6,0.0,0.0,0.0,1.04751597216645e-5,-33311.89480861648,-409.279881544687,-958302.4518,1.0561174878499003e6,0.03370338884963989,-358702.83659932506,0.0,0.0,0.0,9.97466856228081e-6,33311.917877164684,-409.29676663191196,-728752.7549,368600.81161368714,0.33373150449417777,-94726.74451519868,0.0,0.0,0.0,8.307837550465465e-6,-0.023068548199344896,-0.0168850872249678,-272576.402
t11,2.2711851873394856e6,0.03809942553271305,-1.2264985997973147e6,0.0,0.0,0.0,1.0563807385793222e-5,-33311.89075844995,-409.2798592830862,-1.01e6,1.0960516946161333e6,0.034998803362506145,-381486.44269521796,0.0,0.0,0.0,1.0015127394778298e-5,33311.93938288191,-409.29655371615104,-745903.359,363508.61242893385,0.3338912333505315,-82995.18319789479,0.0,0.0,0.0,8.340025874567813e-6,-0.04862443196532973,-0.016694433064840933,-279215.7386
t12,2.1830497369539654e6,0.03384059485583034,-1.0783632249006492e6,0.0,0.0,0.0,1.0651754597004233e-5,-33311.8922734774,-409.2798684396326,-1.07e6,1.1181247655733076e6,0.03579061144071949,-389389.9447317417,0.0,0.0,0.0,1.0044170379745205e-5,33311.92376214741,-409.2968654298552,-760072.8982,356857.93902387086,0.3333291358971866,-72126.765905035,0.0,0.0,0.0,8.357886599608364e-6,-0.03148867000489464,-0.01699699022262067,-283433.499
t13,2.1365018835373526e6,0.03619913574528574,-991815.2933130861,0.0,0.0,0.0,1.0716003021529428e-5,-33311.89176034644,-409.2798638146742,-1.11e6,1.141186791291649e6,0.03622828727899373,-396810.87691689713,0.0,0.0,0.0,1.00886742461892e-5,33311.93265075986,-409.29662096507025,-775714.0063,356022.9846499442,0.33102247973520404,-67859.4168305457,0.0,0.0,0.0,8.383749280740457e-6,-0.04089041341779054,-0.016757150396098996,-286865.8833
t14,2.107199183677957e6,0.03554289581718277,-922512.6031990382,0.0,0.0,0.0,1.078338230919351e-5,-33311.89142101136,-409.27986121937687,-1.15e6,1.1589326887861884e6,0.03629611461121886,-402746.31176547304,0.0,0.0,0.0,1.0129041337424847e-5,33311.9454375716,-409.296295218314,-787524.4842,362750.6856741726,0.3312276993522767,-70965.6505809021,0.0,0.0,0.0,8.413720925074228e-6,-0.05401656024504753,-0.01643399893712029,-290487.3397
t15,2.0746652210495549e6,0.035714345711397255,-859978.6843102452,0.0,0.0,0.0,1.0842699296860163e-5,-33311.89117378817,-409.2798607710737,-1.18e6,1.104739768488659e6,0.034019044845828905,-334656.93212938926,0.0,0.0,0.0,1.0176323917011532e-5,33311.92266629748,-409.2962087524085,-801420.9488,376455.02085309516,0.33183142129519405,-83579.21081815938,0.0,0.0,0.0,8.43624289287861e-6,-0.03149250931313241,-0.016347981334804855,-291578.1398
t16,1.8847212477183528e6,0.03781435804717205,-660034.7456037183,0.0,0.0,0.0,1.0853598043055798e-5,-33311.89334148919,-409.27987603079356,-1.19e6,953034.082114739,0.03257738895035213,-171223.8642058878,0.0,0.0,0.0,1.0200858497462339e-5,33311.57338842364,-409.29957280155156,-813147.9872,328660.00522147905,0.3286772073900126,-34431.962604150234,0.0,0.0,0.0,8.418563504236247e-6,0.31995306554884917,-0.019696770758015486,-292930.7319
t17,1.31835824960224e6,0.036984376571579505,-83671.89680555955,0.0,0.0,0.0,1.0832295112719574e-5,-33311.95538677007,-409.2802252310484,-1.2e6,612699.764020795,171187.48532440065,-0.02964815262907143,0.0,0.0,0.0,1.020276290213724e-5,33311.12084732372,-409.2933874010626,-815362.9259,242607.70362914365,51074.42908148444,-0.035608286301182776,0.0,0.0,0.0,8.392260108460182e-6,0.8345394463442687,-0.013162170014220372,-293352.508
t18,413030.3351174354,777525.5614121708,-0.03355187431946531,0.0,0.0,0.0,1.0760222240802257e-5,-0.09081489716462103,-0.002227338525113422,-1.19e6,360797.53827987285,430840.5886095076,-0.0299532132825254,0.0,0.0,0.0,1.018236148616261e-5,11481.46516674291,-135.96035600395058,-801800.2192,230473.28635905072,72003.23472122918,-0.03218128745050587,0.0,0.0,0.0,8.402874600107982e-6,-11481.374351845745,-135.95812866542548,-290392.8037
t19,241669.4560453087,918886.4283815623,-0.02944363578886021,0.0,0.0,0.0,1.0752834494079691e-5,-0.0889694947092189,-0.002227353123283623,-1.16e6,384216.14287488157,397712.93214005185,-0.029952707454326752,0.0,0.0,0.0,1.0180754615628117e-5,11481.436262955125,-135.9600361681847,-792090.8989,241180.86267031176,60633.87404579859,-0.032254289338492684,0.0,0.0,0.0,8.412119527472616e-6,-11481.347293460416,-135.9578088150614,-289731.0516
t20,266923.36231319857,873632.5232534035,-0.02855231480271707,0.0,0.0,0.0,1.0762154506330008e-5,-0.09505196320360734,-0.00217653764554384,-1.14e6,407839.3776591867,382342.75017866935,-0.029431798889619068,0.0,0.0,0.0,1.0225232856445993e-5,11481.297891772194,-135.95827246747413,-800343.8211,244812.46550231578,60928.99966850524,-0.031290044610266673,0.0,0.0,0.0,8.439087587708487e-6,-11481.20283980899,-135.9560959298286,-293657.932
t21,281482.74527114595,829073.1361493039,-0.025607440992483,0.0,0.0,0.0,1.0725831269690472e-5,-0.09603367974704942,-0.0021572680925657753,-1.11e6,418149.1699237863,333021.16845447844,-0.02878544031498234,0.0,0.0,0.0,1.0137937106742219e-5,11481.340785330702,-135.95874610142798,-761332.0757,246292.41867888154,48468.36685419804,-0.03159021018311507,0.0,0.0,0.0,8.3866762522164e-6,-11481.244751650955,-135.95658883333542,-282677.2109
t22,287952.16686783364,752603.7123372959,-0.02514928728120213,0.0,0.0,0.0,1.0612969090603767e-5,-0.09542404657992139,-0.0021540937774253313,-1.04e6,422808.18595050176,263863.2615743312,-0.028006506562002223,0.0,0.0,0.0,9.964122638277844e-6,11481.52346204459,-135.9609036366092,-696833.3646,245541.23756753764,26254.756950604864,-0.03231080023912579,0.0,0.0,0.0,8.2631013436074e-6,-11481.42803799801,-135.95874954283178,-259712.2327
t23,288734.6106175946,656976.3625205875,-0.025616344234788216,0.0,0.0,0.0,1.0456161049296406e-5,-0.0961581078838511,-0.002152154704854707,-945155.0933,423791.6982920503,200246.28757461556,-0.02786771373311945,0.0,0.0,0.0,9.784289549469972e-6,11482.30229240675,-135.9701331572749,-634200.6634,243218.6954794168,2791.57996405639,-0.03219751265078935,0.0,0.0,0.0,8.133947409020588e-6,-11482.206134298865,-135.96798100257004,-233925.7183
t24,276418.50225858885,580458.6002174387,-0.026720803446636007,0.0,0.0,0.0,1.027860219420974e-5,-0.09833266488089652,-0.0021342825180756817,-856321.2191,422958.2346365077,154118.52523365334,-0.027834342720240213,0.0,0.0,0.0,9.634966364059198e-6,11490.045637900696,-136.06132838582445,-587246.9974,235125.45113491887,0.039257360375965236,-10414.267973124308,0.0,0.0,0.0,8.024953490988137e-6,-11489.947305235815,-136.05919410330637,-212618.7563
t25,262091.12551738933,528342.4152031232,-0.027468401050772286,0.0,0.0,0.0,1.0126317679783762e-5,-0.10040007774273753,-0.002116083549414659,-789877.6532,422636.3381206181,123628.49917455,-0.027328156743721625,0.0,0.0,0.0,9.539114516462656e-6,11490.049006593099,-136.0613306264955,-556435.0764,233819.80198961124,0.038254833841535385,-22823.60963938474,0.0,0.0,0.0,7.957500134680911e-6,-11489.948606515356,-136.05921454294608,-198903.763
