Time_Index,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK0 0 CCGT,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,BE0 0 CCGT_CCS,DE0 0 CCGT_CCS,DK0 0 CCGT_CCS,DK3 0 CCGT_CCS,FR0 0 CCGT_CCS,GB4 0 CCGT_CCS,GB5 0 CCGT_CCS,NL0 0 CCGT_CCS,NO3 0 CCGT_CCS,SE3 0 CCGT_CCS
11,0.9,0.9,0.9,0.9,0.9,0.18,0.225,0.036,0.9,0.09,0.9,0.9,0.9,0.9,0.9,0.9,0.243,0.27,0.9,0.027,0.729,0.081,0.9,0.9,0.9,0.081,0.081,0.063,0.027,0.9,1.0,0.9,0.9,0.9,0.9,0.243,0.261,0.9,0.225,0.9,0.9,0.9,0.9,0.9,0.333,0.225,0.9,0.099,0.45,0.162,0.9,0.9,0.612,0.801,0.9,0.315,0.027,0.9,0.9,0.9,0.9,0.9,0.27,0.252,0.9,0.135,0.882,0.036,0.9,0.9,0.9,0.9,0.144,0.243,0.09,0.063,0.9,0.9,0.315,0.342,0.135,0.09,0.9,0.9,0.9,0.9,0.9,0.9,0.18,0.225,0.9,0.189,0.468,0.135,0.838223472,0.495063897,0.98052324,0.271497592,0.518469462,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.9,0.9,0.9,0.9,0.9,0.135,0.189,0.018,0.9,0.072,0.9,0.9,0.9,0.9,0.9,0.9,0.243,0.225,0.9,0.018,0.729,0.081,0.9,0.9,0.9,0.063,0.063,0.045,0.045,0.9,1.0,0.9,0.9,0.9,0.9,0.243,0.252,0.9,0.189,0.9,0.9,0.9,0.9,0.9,0.315,0.207,0.9,0.108,0.441,0.18,0.9,0.9,0.594,0.747,0.9,0.315,0.027,0.9,0.9,0.9,0.9,0.9,0.252,0.225,0.9,0.135,0.882,0.045,0.9,0.9,0.9,0.9,0.108,0.225,0.063,0.063,0.9,0.9,0.306,0.315,0.135,0.126,0.9,0.9,0.9,0.9,0.9,0.9,0.189,0.243,0.9,0.18,0.468,0.144,0.83801671,0.493889105,0.979636609,0.271378205,0.518286002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.9,0.9,0.9,0.9,0.9,0.117,0.162,0.018,0.9,0.117,0.9,0.9,0.9,0.9,0.9,0.9,0.261,0.189,0.9,0.027,0.729,0.072,0.9,0.9,0.9,0.054,0.054,0.045,0.036,0.9,1.0,0.9,0.9,0.9,0.9,0.234,0.27,0.9,0.171,0.9,0.9,0.9,0.9,0.9,0.306,0.198,0.9,0.117,0.441,0.18,0.9,0.9,0.549,0.675,0.9,0.315,0.027,0.9,0.9,0.9,0.9,0.9,0.216,0.198,0.9,0.135,0.882,0.045,0.9,0.9,0.9,0.9,0.108,0.225,0.063,0.063,0.9,0.9,0.288,0.306,0.126,0.072,0.9,0.9,0.9,0.9,0.9,0.9,0.207,0.252,0.9,0.18,0.468,0.108,0.837893847,0.492634754,0.978758357,0.271259029,0.518102317,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.9,0.9,0.9,0.9,0.9,0.09,0.144,0.009,0.9,0.126,0.9,0.9,0.9,0.9,0.9,0.9,0.261,0.162,0.9,0.027,0.729,0.063,0.9,0.9,0.9,0.045,0.045,0.036,0.036,0.9,1.0,0.9,0.9,0.9,0.9,0.234,0.279,0.9,0.162,0.9,0.9,0.9,0.9,0.9,0.306,0.18,0.9,0.126,0.441,0.153,0.9,0.9,0.45,0.621,0.9,0.261,0.036,0.9,0.9,0.9,0.9,0.9,0.189,0.189,0.9,0.135,0.882,0.045,0.9,0.9,0.9,0.9,0.099,0.216,0.063,0.063,0.9,0.9,0.279,0.306,0.126,0.036,0.9,0.9,0.9,0.9,0.9,0.9,0.216,0.27,0.9,0.198,0.468,0.072,0.837890475,0.491879632,0.977893203,0.27113914,0.517918275,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.9,0.9,0.9,0.9,0.9,0.081,0.135,0.009,0.9,0.099,0.9,0.9,0.9,0.9,0.9,0.9,0.252,0.153,0.9,0.027,0.729,0.045,0.9,0.9,0.9,0.045,0.045,0.027,0.018,0.9,1.0,0.9,0.9,0.9,0.9,0.225,0.279,0.9,0.162,0.9,0.9,0.9,0.9,0.9,0.288,0.162,0.9,0.126,0.441,0.108,0.9,0.9,0.387,0.594,0.9,0.216,0.036,0.9,0.9,0.9,0.9,0.9,0.171,0.189,0.9,0.135,0.882,0.036,0.9,0.9,0.9,0.9,0.099,0.198,0.081,0.045,0.9,0.9,0.27,0.324,0.126,0.009,0.9,0.9,0.9,0.9,0.9,0.9,0.234,0.279,0.9,0.225,0.468,0.009,0.837848699,0.491139519,0.977039644,0.271018864,0.517737148,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.9,0.9,0.9,0.9,0.9,0.108,0.153,0.027,0.9,0.054,0.9,0.9,0.9,0.9,0.9,0.9,0.252,0.144,0.9,0.027,0.729,0.009,0.9,0.9,0.9,0.045,0.045,0.036,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.234,0.279,0.9,0.189,0.9,0.9,0.9,0.9,0.9,0.252,0.153,0.9,0.117,0.441,0.063,0.9,0.9,0.342,0.576,0.9,0.198,0.036,0.9,0.9,0.9,0.9,0.9,0.18,0.207,0.9,0.126,0.882,0.027,0.9,0.9,0.9,0.9,0.117,0.216,0.09,0.018,0.9,0.9,0.279,0.333,0.117,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.252,0.279,0.9,0.243,0.468,0.0,0.837681046,0.490397526,0.976182492,0.270898958,0.517555448,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.9,0.9,0.9,0.9,0.9,0.162,0.207,0.045,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.243,0.162,0.9,0.036,0.729,0.0,0.9,0.9,0.9,0.054,0.045,0.045,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.234,0.252,0.9,0.216,0.9,0.9,0.9,0.9,0.9,0.207,0.153,0.9,0.099,0.441,0.009,0.9,0.9,0.324,0.567,0.9,0.207,0.0,0.9,0.9,0.9,0.9,0.9,0.207,0.243,0.9,0.153,0.882,0.0,0.9,0.9,0.9,0.9,0.162,0.243,0.117,0.0,0.9,0.9,0.279,0.324,0.117,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.261,0.279,0.9,0.261,0.468,0.0,0.837459168,0.489417743,0.975316281,0.270779235,0.517374767,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.9,0.9,0.9,0.9,0.9,0.216,0.27,0.081,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.234,0.18,0.9,0.045,0.729,0.0,0.9,0.9,0.9,0.063,0.054,0.054,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.225,0.225,0.9,0.216,0.9,0.9,0.9,0.9,0.9,0.171,0.171,0.9,0.09,0.441,0.0,0.9,0.9,0.342,0.558,0.9,0.234,0.0,0.9,0.9,0.9,0.9,0.9,0.252,0.279,0.9,0.18,0.873,0.0,0.9,0.9,0.9,0.9,0.234,0.297,0.162,0.0,0.9,0.9,0.27,0.306,0.117,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.261,0.261,0.9,0.27,0.468,0.0,0.837236632,0.488497767,0.974447564,0.270658352,0.517194181,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.9,0.9,0.9,0.9,0.9,0.243,0.288,0.099,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.225,0.162,0.9,0.045,0.729,0.0,0.9,0.9,0.9,0.072,0.072,0.054,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.216,0.198,0.9,0.225,0.9,0.9,0.9,0.9,0.9,0.171,0.207,0.9,0.09,0.441,0.0,0.9,0.9,0.396,0.549,0.9,0.252,0.0,0.9,0.9,0.9,0.9,0.9,0.288,0.306,0.9,0.207,0.873,0.0,0.9,0.9,0.9,0.9,0.288,0.315,0.189,0.0,0.9,0.9,0.252,0.27,0.099,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.27,0.252,0.9,0.279,0.468,0.0,0.837018305,0.486500383,0.973581916,0.270538443,0.517011459,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.9,0.9,0.9,0.9,0.9,0.261,0.297,0.117,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.207,0.144,0.9,0.045,0.729,0.0,0.9,0.9,0.9,0.081,0.081,0.063,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.198,0.189,0.9,0.216,0.9,0.9,0.9,0.9,0.9,0.189,0.252,0.9,0.099,0.432,0.0,0.9,0.9,0.432,0.504,0.9,0.243,0.0,0.9,0.9,0.9,0.9,0.9,0.315,0.333,0.9,0.216,0.873,0.0,0.9,0.9,0.9,0.9,0.315,0.315,0.198,0.0,0.9,0.9,0.234,0.243,0.099,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.279,0.243,0.9,0.288,0.468,0.0,0.836798621,0.484365517,0.972724927,0.270418942,0.516828399,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.9,0.9,0.9,0.9,0.9,0.252,0.297,0.108,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.189,0.117,0.9,0.045,0.729,0.0,0.9,0.9,0.9,0.081,0.081,0.054,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.189,0.18,0.9,0.207,0.9,0.9,0.9,0.9,0.9,0.252,0.297,0.9,0.108,0.432,0.0,0.9,0.9,0.396,0.441,0.9,0.207,0.0,0.9,0.9,0.9,0.9,0.9,0.324,0.342,0.9,0.225,0.873,0.0,0.9,0.9,0.9,0.9,0.306,0.27,0.18,0.0,0.9,0.9,0.216,0.207,0.09,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.279,0.243,0.9,0.297,0.468,0.0,0.836580409,0.482213238,0.971870589,0.270297824,0.516647081,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.9,0.9,0.9,0.9,0.9,0.243,0.288,0.099,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.18,0.108,0.9,0.045,0.729,0.0,0.9,0.9,0.9,0.072,0.081,0.054,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.18,0.18,0.9,0.207,0.9,0.9,0.9,0.9,0.9,0.342,0.36,0.9,0.117,0.432,0.0,0.9,0.9,0.324,0.36,0.9,0.162,0.0,0.9,0.9,0.9,0.9,0.9,0.324,0.342,0.9,0.216,0.873,0.0,0.9,0.9,0.9,0.9,0.297,0.234,0.162,0.0,0.9,0.9,0.189,0.18,0.081,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.288,0.243,0.9,0.297,0.468,0.0,0.836352888,0.480830176,0.971013222,0.270176524,0.516464693,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
