Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,CCS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,CCS_Percentage,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster
PHS_5,5,0,0,1,0,0,0,0,0,0,0,1000,0,0,1000,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,none,0,1,0,0,0,0,1,1,12.00000005,0,0,0.894427191,0.894427191,12,12,0,0,1,1,1,0,0,7,0,0,0,1,PHS,0.8,1,1,5,5
PHS_6,6,0,0,1,0,0,0,0,0,0,-1,240,0,0,2240,-1,-1,0,0,0,114000,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,12.00000005,0,0,0.894427191,0.894427191,12,12,0,0,1,1,1,0,0,2,0,0,0,1,PHS,0.93,0,0,6,6
Storage_bat_1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,12000,13000,0,2000,3000,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,6,0,0,0,1,Storage_bat,0.8,1,1,1,1
Storage_bat_2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,12000,13000,0,2000,3000,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,12,0,0,1,0,Storage_bat,0.95,0,0,2,2
Storage_bat_3,3,0,0,2,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,12000,13000,0,2000,3000,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,12,0,0,1,0,Storage_bat,0.95,0,0,3,3
Storage_bat_4,4,0,0,2,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,12000,13000,0,2000,3000,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,12,0,0,1,0,Storage_bat,0.95,0,0,4,4
Storage_bat_5,5,0,0,2,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,12000,13000,0,2000,3000,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,2,0,0,0,1,Storage_bat,0.93,0,0,5,5
Storage_bat_6,6,0,0,2,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,12000,13000,0,2000,3000,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,4.17E-05,0.921954446,0.921954446,0.25,200,0,0,1,1,1,0,0,7,1,0,0,1,Storage_bat,0.8,1,1,6,6
PV_Distr_2,2,0,0,0,0,0,1,0,0,1,1,1524.2,0,0,-1,-1,-1,0,0,0,60000,0,0,6000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,PV_Distr,0.93,0,0,2,2
PV_Distr_3,3,0,0,0,0,0,1,0,0,1,1,498.2,0,0,-1,-1,-1,0,0,0,60000,0,0,6000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,PV_Distr,0.8,1,1,3,3
PV_Distr_4,4,0,0,0,0,0,1,0,0,1,1,725.2427184,0,0,-1,-1,-1,0,0,0,60000,0,0,6000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,PV_Distr,0.8,1,1,4,4
PV_Distr_5,5,0,0,0,0,0,1,0,0,1,1,611.6504854,0,0,-1,-1,-1,0,0,0,60000,0,0,6000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,PV_Distr,0.93,0,0,5,5
PV_Distr_6,6,0,0,0,0,0,1,0,0,1,1,470.8737864,0,0,-1,-1,-1,0,0,0,60000,0,0,6000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,1,PV_Distr,0.8,1,1,6,6
