Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21481.00545581648,-21622.024392531763,-22001.327755668415
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21627.625967222408,-21678.73549478322,-22094.615401735144
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21353.143312666492,-21340.54384551136,-21693.34586150296
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21505.4507938948,-21431.409305350833,-21762.07525668246
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21682.993630343935,-21501.245357023625,-21862.539671111826
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21749.667697556182,-21558.681877032574,-22014.582797294
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21755.958505747323,-21704.68306713192,-22132.866808251012
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21247.692213642727,-21375.911533668626,-21898.19651420829
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21228.48355762593,-21474.640845640395,-21900.269616794198
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21264.457954572626,-21587.6081324354,-21962.60638361652
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21341.51998524721,-21708.01036680915,-22075.305323882054
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21063.775457577034,-21236.763156812547,-21584.596829731403
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21109.840418822914,-21315.356384450133,-21667.049531911434
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21142.248821640453,-21442.347239479517,-21746.68069106656
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21256.68984290082,-21588.940489466073,-21858.717606883038
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21496.851669125987,-21778.81413338695,-22008.820139214607
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21135.14121311456,-21304.0544411148,-21668.874361106507
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21328.3945674536,-21263.57275287972,-21748.75642153458
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21459.51428446079,-21487.091680456528,-21790.570625731874
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21552.71191880396,-21719.95115321948,-21889.94605663975
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21650.91950845111,-21862.077764903246,-22059.97482836227
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21212.852126433783,-21385.401223855744,-21667.577990015216
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21316.186814370754,-21434.959353272232,-21749.0237808925
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21384.157707229624,-21406.457451783834,-21832.338282434324
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21458.195353385086,-21384.950853158265,-21947.060221632142
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21605.70391886049,-21517.97315655536,-22075.021805778913
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21249.193693368794,-21183.66598863664,-21596.52986858367
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21454.869345962114,-21398.07474750334,-21698.223103845932
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21535.991346733917,-21555.367185037543,-21861.099239147257
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21635.46719850156,-21590.41904419677,-22181.81731612311
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21716.969781551834,-21709.09529860683,-22326.12612839348
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21287.590056599765,-21283.8809068023,-21892.22029803539
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21414.1593912685,-21416.38576015717,-21971.327371385494
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21505.155061487643,-21616.52156935804,-21956.276005282165
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21592.166100278217,-21764.542856324773,-22036.852272987864
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21164.49958907548,-21234.9020917038,-21770.355599814746
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21220.383472411042,-21333.020661888862,-21890.514193338848
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21245.041557778048,-21417.12916674682,-21960.362159051256
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21360.644561382,-21607.785681889847,-22076.099799405183
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21590.926329300575,-21784.07892709312,-22221.65986030556
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21208.31039440974,-21384.70974365689,-21675.326942288095
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21402.20919164627,-21463.08812883098,-21719.73411858701
