Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MB_natural_gas_combined_cycle,MC_natural_gas_combined_cycle,MD_natural_gas_combined_cycle,MF_natural_gas_combined_cycle,MH_natural_gas_combined_cycle,MG_natural_gas_combined_cycle,MJ_natural_gas_combined_cycle,MB_battery,MC_battery,MD_battery,MF_battery,MH_battery,MG_battery,MJ_battery,Total
t38,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.4010325633435,6570.221510405868,7073.993098481293,6381.981551605478,6673.179759869523,7057.403880057277,645.2066088716514,0.0,1612.5270779396856,0.0,2366.4231640102416,1330.1299504035983,641.3910871679423,70339.95884499625
t39,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,862.9226012158855,8997.538123036831,5756.1492560893175,6570.793990314765,7074.727718378815,6382.3831120703535,6673.179759869523,7058.722713226231,644.8853206477517,0.0,1613.087770755124,0.0,2366.4231640102416,1328.7998204531948,642.0331202882305,70342.42208333629
t40,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8997.538123036831,5755.631076327185,6570.221510405868,7073.613858210325,6378.986094450486,6674.042655729355,7058.98775201401,645.3686490842437,0.0,1613.087770755124,0.0,2365.987292510224,1330.1299504035983,642.0331202882305,70340.189853799
t41,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8998.93907016714,5755.50527193138,6570.221510405868,7073.076888369826,6381.969328397548,6676.733445187091,7058.001234365423,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70346.05140394923
t42,11151.210370125335,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5757.590924099392,6571.513412561292,7072.509034670466,6381.020764877724,6676.733445187091,7057.992019495746,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70351.29386081672
t43,11151.28593881933,0.0,3219.5883653694887,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8999.395397824757,5755.4010325633435,6573.720367106103,7074.352009381108,6382.3831120703535,6676.733445187091,7058.025954381307,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70351.71466484781
t44,11151.425528980002,0.0,3219.624520115412,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9000.510963425839,5755.4010325633435,6572.40206207407,7072.509034670466,6378.986094450486,6673.179759869523,7057.403880057277,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70342.27191835135
t45,11151.351212538379,0.0,3219.5652428546946,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9001.71239691187,5755.565089344063,6571.985724900213,7076.275375818058,6380.095416587292,6675.935302260473,7058.55361913981,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70351.86842249979
t46,11153.097640570199,0.0,3219.671545759582,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,9002.32960480005,5758.465970850954,6573.720367106103,7076.275375818058,6379.719725968722,6675.64290705248,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70360.9143572897
t47,11152.865277236086,0.0,3219.9369543583075,0.0,0.0,0.0,0.0,0.0,0.0,863.786387603489,8998.734514808972,5758.465970850954,6570.983762491786,7076.275375818058,6382.3831120703535,6674.066800886494,7061.162177218629,645.3686490842437,0.0,1613.087770755124,0.0,2366.4231640102416,1330.1299504035983,642.0331202882305,70355.70298788458
