Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MB_natural_gas_combined_cycle,MC_natural_gas_combined_cycle,MD_natural_gas_combined_cycle,MF_natural_gas_combined_cycle,MH_natural_gas_combined_cycle,MG_natural_gas_combined_cycle,MJ_natural_gas_combined_cycle,MB_battery,MC_battery,MD_battery,MF_battery,MH_battery,MG_battery,MJ_battery
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-22.684049308103447
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-22.67819022242807,-23.13106651486329,-22.684049308103454,-22.684049308103447
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-22.67819022242807,-23.131066514863292,-20.48285963250454,-20.08152430385134,-22.684049308103454,-22.684049308103447
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-23.131066514863292,-23.131066514863292,-20.48285963250454,-20.08152430385134,-22.684049308103454,-22.684049308103447
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-23.131066514863292,-23.131066514863292,-20.48285963250454,-20.08152430385134,-22.684049308103454,-22.684049308103447
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-23.131066514863292,-23.131066514863292,-20.48285963250454,-19.688,-22.684049308103454,-22.684049308103447
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-23.131066514863292,-23.131066514863292,-20.48285963250454,-19.688,-22.684049308103454,-22.684049308103447
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-23.131066514863292,-22.684049308103447,-20.48285963250454,-19.688,-22.684049308103454,-22.684049308103447
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-22.966632437861822,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103454,-23.131066514863292,-22.684049308103447,-20.48285963250454,-19.688,-22.684049308103454,-22.684049308103447
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.4078795093107,-97.60331276899294,-118.65299532715638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.34101493447115,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-121.01086598890997,-22.684049308103447
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.4078795093107,-97.60331276899294,-118.65299532715638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.34101493447115,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-121.01086598890997,-22.684049308103447
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
