CO2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_hr_Per_Pipe,Pipe_length_miles,CO2PipeLoss_tonne_per_mile_per_tonne,CO2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,CO2_len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,CO2Pipe_Inv_Cost_per_mile_yr_Mean,CO2Pipe_Inv_Cost_per_mile_yr_C1,CO2Pipe_Inv_Cost_per_mile_yr_C2,CO2Pipe_Fixed_OM_Cost_per_mile_yr_Mean,CO2Pipe_Fixed_OM_Cost_per_mile_yr_C1,CO2Pipe_Fixed_OM_Cost_per_mile_yr_C2,CO2Pipe_Energy_MWh_per_mile_per_tonne_Mean,CO2Pipe_Energy_MWh_per_mile_per_tonne_E1,CO2Pipe_Energy_MWh_per_mile_per_tonne_E2
13,0,1,0,0,0,-1,0,0,0,0,1000,0,1141.552511,1786.881075,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
14,0,1,0,0,0,0,-1,0,0,0,1000,0,1141.552511,1305.749215,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
15,0,1,0,0,0,0,0,-1,0,0,1000,0,1141.552511,471.9752684,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
16,0,1,0,0,0,0,0,0,-1,0,1000,0,1141.552511,1118.98045,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
17,0,1,0,0,0,0,0,0,0,-1,1000,0,1141.552511,1366.238432,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
18,0,0,1,-1,0,0,0,0,0,0,1000,0,1141.552511,288.5453516,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
19,0,0,1,0,-1,0,0,0,0,0,1000,0,1141.552511,1250.135373,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
20,0,0,1,0,0,-1,0,0,0,0,1000,0,1141.552511,1766.273904,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
21,0,0,1,0,0,0,-1,0,0,0,1000,0,1141.552511,1335.968077,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
22,0,0,1,0,0,0,0,-1,0,0,1000,0,1141.552511,612.2626098,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
23,0,0,1,0,0,0,0,0,-1,0,1000,0,1141.552511,561.7480857,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
24,0,0,1,0,0,0,0,0,0,-1,1000,0,1141.552511,931.3602107,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
25,0,0,0,1,-1,0,0,0,0,0,1000,0,1141.552511,1395.510078,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
26,0,0,0,1,0,-1,0,0,0,0,1000,0,1141.552511,2046.048162,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
27,0,0,0,1,0,0,-1,0,0,0,1000,0,1141.552511,1604.583233,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
28,0,0,0,1,0,0,0,-1,0,0,1000,0,1141.552511,823.9759379,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
29,0,0,0,1,0,0,0,0,-1,0,1000,0,1141.552511,724.4588638,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
30,0,0,0,1,0,0,0,0,0,-1,1000,0,1141.552511,770.7726184,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
31,0,0,0,0,1,-1,0,0,0,0,1000,0,1141.552511,1349.199134,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
32,0,0,0,0,1,0,-1,0,0,0,1000,0,1141.552511,918.2967296,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
33,0,0,0,0,1,0,0,-1,0,0,1000,0,1141.552511,672.0932602,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
34,0,0,0,0,1,0,0,0,-1,0,1000,0,1141.552511,1679.828147,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
35,0,0,0,0,1,0,0,0,0,-1,1000,0,1141.552511,2158.514257,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
36,0,0,0,0,0,1,-1,0,0,0,1000,0,1141.552511,483.4399884,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
37,0,0,0,0,0,1,0,-1,0,0,1000,0,1141.552511,1320.112636,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
38,0,0,0,0,0,1,0,0,-1,0,1000,0,1141.552511,1778.265372,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
39,0,0,0,0,0,1,0,0,0,-1,1000,0,1141.552511,2594.586609,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
40,0,0,0,0,0,0,1,-1,0,0,1000,0,1141.552511,843.0302747,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
41,0,0,0,0,0,0,1,0,-1,0,1000,0,1141.552511,1453.344048,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
42,0,0,0,0,0,0,1,0,0,-1,1000,0,1141.552511,2215.037606,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
43,0,0,0,0,0,0,0,1,-1,0,1000,0,1141.552511,1008.271753,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
44,0,0,0,0,0,0,0,1,0,-1,1000,0,1141.552511,1543.177482,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
45,0,0,0,0,0,0,0,0,1,-1,1000,0,1141.552511,854.1133221,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
