,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t2061,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14743.0
t2062,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13841.0
t2063,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12516.0
t2064,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11304.0
t2065,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10549.0
t2066,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10128.0
t2067,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9932.0
t2068,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9868.0
t2069,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10137.0
t2070,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11111.0
t2071,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12943.0
t2072,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14006.0
t2073,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14207.0
t2074,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14232.0
t2075,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14320.0
t2076,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14333.0
t2077,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14265.0
t2078,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14226.0
t2079,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13956.0
t2080,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13727.0
t2081,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13760.0
t2082,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13917.0
t2083,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14071.0
t2084,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14606.0
t2085,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14350.0
t2086,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13387.0
t2087,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12001.0
t2088,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10781.0
t2089,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9979.0
t2090,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9565.0
t2091,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9357.0
t2092,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9322.0
t2093,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9601.0
t2094,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10562.0
t2095,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12401.0
t2096,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13475.0
t2097,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13781.0
t2098,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13989.0
t2099,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14150.0
t2100,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14174.0
t2101,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14079.0
t2102,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14009.0
t2103,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13787.0
t2104,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13704.0
t2105,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13813.0
t2106,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14063.0
t2107,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14314.0
t2108,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14802.0
t2109,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14525.0
t2110,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13593.0
t2111,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12245.0
t2112,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11070.0
t2113,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10307.0
t2114,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9901.0
t2115,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9721.0
t2116,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9686.0
t2117,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9984.0
t2118,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10956.0
t2119,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12685.0
t2120,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13676.0
t2121,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13857.0
t2122,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13889.0
t2123,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13917.0
t2124,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13811.0
t2125,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13574.0
t2126,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13429.0
t2127,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13160.0
t2128,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12914.0
t2129,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12816.0
t2130,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12807.0
t2131,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12886.0
t2132,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13599.0
t2133,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13595.0
t2134,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12978.0
t2135,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11995.0
t2136,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10921.0
t2137,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10077.0
t2138,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9615.0
t2139,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9378.0
t2140,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9307.0
t2141,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9383.0
t2142,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9735.0
t2143,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10376.0
t2144,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11274.0
t2145,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12296.0
t2146,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12917.0
t2147,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13271.0
t2148,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13333.0
t2149,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13218.0
t2150,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12915.0
t2151,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12633.0
t2152,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12455.0
t2153,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12474.0
t2154,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12636.0
t2155,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12769.0
t2156,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13316.0
t2157,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13255.0
t2158,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12726.0
t2159,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11929.0
t2160,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11007.0
t2161,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10271.0
t2162,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9815.0
t2163,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9597.0
t2164,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9511.0
t2165,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9552.0
t2166,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9820.0
t2167,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10216.0
t2168,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10800.0
t2169,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11539.0
t2170,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12016.0
t2171,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12195.0
t2172,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12226.0
t2173,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12219.0
t2174,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12143.0
t2175,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12063.0
t2176,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12134.0
t2177,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12487.0
t2178,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13015.0
t2179,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13397.0
t2180,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13844.0
t2181,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13492.0
t2182,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12616.0
t2183,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11491.0
t2184,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10458.0
t2185,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9776.0
t2186,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9405.0
t2187,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9266.0
t2188,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9287.0
t2189,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9621.0
t2190,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10696.0
t2191,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12536.0
t2192,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13636.0
t2193,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13962.0
t2194,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14100.0
t2195,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14169.0
t2196,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14065.0
t2197,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13865.0
t2198,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13717.0
t2199,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13466.0
t2200,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13269.0
t2201,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13260.0
t2202,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13448.0
t2203,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13589.0
t2204,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14340.0
t2205,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14403.0
t2206,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13538.0
t2207,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12226.0
t2208,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11000.0
t2209,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10242.0
t2210,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9856.0
t2211,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9696.0
t2212,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9714.0
t2213,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10062.0
t2214,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11133.0
t2215,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12916.0
t2216,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13890.0
t2217,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13977.0
t2218,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13956.0
t2219,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13933.0
t2220,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13812.0
t2221,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13629.0
t2222,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13478.0
t2223,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13276.0
t2224,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13139.0
t2225,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13129.0
t2226,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13256.0
t2227,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13386.0
t2228,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14130.0
t2229,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14212.0
t2230,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13270.0
t2231,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11929.0
t2232,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10702.0
t2233,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9897.0
t2234,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9497.0
t2235,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9291.0
t2236,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9261.0
t2237,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9531.0
t2238,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10538.0
t2239,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12267.0
t2240,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13244.0
t2241,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13412.0
t2242,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13452.0
t2243,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13540.0
t2244,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13541.0
t2245,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13423.0
t2246,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13392.0
t2247,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13278.0
t2248,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13136.0
t2249,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13138.0
t2250,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13260.0
t2251,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13379.0
t2252,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14025.0
t2253,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13994.0
t2254,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13081.0
t2255,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11783.0
t2256,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10556.0
t2257,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9818.0
t2258,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9426.0
t2259,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9253.0
t2260,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9254.0
t2261,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9577.0
t2262,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10590.0
t2263,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12367.0
t2264,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13386.0
t2265,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13593.0
t2266,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13698.0
t2267,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13771.0
t2268,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13726.0
t2269,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13585.0
t2270,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13492.0
t2271,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13257.0
t2272,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13066.0
t2273,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13025.0
t2274,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13113.0
t2275,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13196.0
t2276,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13828.0
t2277,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13973.0
t2278,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13246.0
t2279,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12042.0
t2280,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10880.0
t2281,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10104.0
t2282,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9698.0
t2283,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9513.0
t2284,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9502.0
t2285,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9754.0
t2286,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10575.0
t2287,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11843.0
t2288,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12815.0
t2289,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13257.0
t2290,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13471.0
t2291,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13527.0
t2292,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13399.0
t2293,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13187.0
t2294,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12996.0
t2295,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12721.0
t2296,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12490.0
t2297,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12453.0
t2298,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12533.0
t2299,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12581.0
t2300,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13140.0
t2301,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13284.0
t2302,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12681.0
t2303,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11730.0
t2304,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10732.0
t2305,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9988.0
t2306,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9555.0
t2307,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9336.0
t2308,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9263.0
t2309,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9379.0
t2310,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9761.0
t2311,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10312.0
t2312,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11164.0
t2313,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12006.0
t2314,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12447.0
t2315,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12547.0
t2316,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12469.0
t2317,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12277.0
t2318,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12030.0
t2319,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11804.0
t2320,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11763.0
t2321,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11980.0
t2322,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12296.0
t2323,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12537.0
t2324,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13039.0
t2325,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13026.0
t2326,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12427.0
t2327,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11528.0
t2328,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10541.0
t2329,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9733.0
t2330,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9264.0
t2331,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-8984.0
t2332,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-8883.0
t2333,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-8928.0
t2334,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9182.0
t2335,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9621.0
t2336,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10426.0
t2337,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11345.0
t2338,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11916.0
t2339,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12114.0
t2340,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12229.0
t2341,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12124.0
t2342,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11689.0
t2343,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11250.0
t2344,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11005.0
t2345,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10950.0
t2346,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11075.0
t2347,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11376.0
t2348,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12248.0
t2349,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12684.0
