Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioGasoline_fraction,BioJetfuel_fraction,BioDiesel_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
MIDAT_FT_High_Diesel_CCS_53_Wood,8,2,1.806,19.01,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
NE_FT_High_Diesel_CCS_53_Wood,9,2,1.826,18.89,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
CA_FT_High_Diesel_CCS_99_Wood,1,2,1.843,19.36,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
NW_FT_High_Diesel_CCS_99_Wood,2,2,1.818,19.32,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
SW_FT_High_Diesel_CCS_99_Wood,3,2,1.798,19.14,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
TX_FT_High_Diesel_CCS_99_Wood,4,2,1.821,18.99,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
NCEN_FT_High_Diesel_CCS_99_Wood,5,2,1.802,19.06,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
CEN_FT_High_Diesel_CCS_99_Wood,6,2,1.802,19.07,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
SE_FT_High_Diesel_CCS_99_Wood,7,2,1.821,19.14,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
MIDAT_FT_High_Diesel_CCS_99_Wood,8,2,1.806,19.01,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
NE_FT_High_Diesel_CCS_99_Wood,9,2,1.826,18.89,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
CA_FT_High_Jetfuel_CCS_75_Wood,1,2,1.843,19.36,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
NW_FT_High_Jetfuel_CCS_75_Wood,2,2,1.818,19.32,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
SW_FT_High_Jetfuel_CCS_75_Wood,3,2,1.798,19.14,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
TX_FT_High_Jetfuel_CCS_75_Wood,4,2,1.821,18.99,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
NCEN_FT_High_Jetfuel_CCS_75_Wood,5,2,1.802,19.06,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
CEN_FT_High_Jetfuel_CCS_75_Wood,6,2,1.802,19.07,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
